TOTAL,380226,
DNS,Cantidad,
SIN DNS,46885,"12,33%"
ns21.dattatec.com,21898,"5,76%"
ns3.hostmar.com,21616,"5,69%"
ns1.sedoparking.com,14198,"3,73%"
ns1.elserver.com,12839,"3,38%"
ns1.dnspoint.net,10497,"2,76%"
ns1.godns.net,6580,"1,73%"
dns1.servidoraweb.net,6083,"1,60%"
ns1.cdmon.net,6002,"1,58%"
ns01.000webhost.com,4347,"1,14%"
ns1.dreamhost.com,4138,"1,09%"
dns1.www.com.ar - 190.61.5.251,4037,"1,06%"
ns1.nuthost.com,4008,"1,05%"
ns1.allytech.com,3846,"1,01%"
ns1.donweb.com,3680,"0,97%"
ns1.mydomain.com,3144,"0,83%"
ns1.afraid.org,3138,"0,83%"
ns1.hostinger-ar.com,3000,"0,79%"
dns1.cvtci.com.ar - 24.232.0.17,2663,"0,70%"
ns1.wiroos.com,2529,"0,67%"
ns3.freeservers.com,2448,"0,64%"
ns1.mesi.com.ar - 69.25.11.11,2394,"0,63%"
dns1.sucursalonline.com,2204,"0,58%"
ns1.dixnet.com,2050,"0,54%"
ns1.lineadns.com,2039,"0,54%"
ns1.towebs.com,1814,"0,48%"
dns1.iplanisp.com.ar - 200.69.193.111,1728,"0,45%"
ns1.mediatemple.net,1389,"0,37%"
ns1.bluehost.com,1310,"0,34%"
ns1.datawebdns.com,1250,"0,33%"
ns1.outdns.net,1224,"0,32%"
ns1.wix.com,1131,"0,30%"
dns1.calu.net,1085,"0,29%"
ns1.unlugar.com,1078,"0,28%"
gulp.arnet.com.ar - 200.45.0.115,989,
ns10.hosting-ar.com,986,
ns1.sitelutions.com,930,
ns35.tudns35.info,862,
ns1.duplika.com,853,
dns1.dnslatino.com,808,
ns9.hostmar.com,772,
ns1.mesi.com.ar,761,
dns1.advance.com.ar - 209.13.119.20,746,
ns1.netfirms.com,746,
ns1.dnsprivados13.com,738,
dns1.cscdns.net,731,
dns1.stabletransit.com,730,
NS1.HOSTMONSTER.COM,709,
dns1.www.com.ar,692,
ns01.trademarkarea.com,687,
dns1.wavenet.com.ar - 181.119.19.5,681,
ns5.hostmar.com,652,
ns1.huxley.com.ar - 200.43.193.119,627,
dns1.grupoxmundo.com,605,
ns10.bahiaservers.com,603,
ns.rednetargentina.net,602,
dns1.alsolnet.com,588,
ns1.dnsprivados21.info,586,
ns1.sitioshispanos.com,583,
ns2.zoneedit.com,574,
ns.datamarkets.com.ar - 200.32.3.129,555,
ns1.digitalocean.com,529,
ns1.linode.com,498,
ns1.mardelhosting.net,491,
ns1.g2khosting.com,482,
ns3.zoneedit.com,475,
ns1.infocomercial.net,471,
ns1.gblx.net.ar - 200.0.194.44,462,
ns1.sinectis.com.ar - 216.244.192.2,459,
dinamic1.cdmon.net,443,
dns1.cvtci.com.ar,439,
ns1.ibizdns.com,436,
ns1.dnscheck.com.ar - 190.228.129.101,432,
ns3.networktechinternational.com,425,
ns1.webfaction.com,422,
dns1.hostingtelefonica.com.ar,415,
ns1.arsesco.com.ar - 190.228.129.103,410,
ns1.digitar.net,397,
ns1.awardspace.com,383,
dnsps1.mercadolibre.com,373,
ns1.justhost.com,363,
mns01.domaincontrol.com,361,
ns5.dixnet.com,357,
ns1.mimejorhosting.com,355,
ns1.cecenet.net,352,
ns1.bodis.com,344,
ns7.zoneedit.com,344,
ns1.byet.org,339,
dns1.iplanisp.com.ar,336,
ns1.hrdns.info,335,
ns1.dnsexit.com,335,
ns1.buscadorprop.com,332,
