MUNI	g	h	hhh
MONTE LEÑA 	139366	134846	141990
MONTE MAIZ 	405179	392040	412809
MONTE RALO 	142801	138170	145490
MORRISON 	250164	242052	254875
MORTEROS 	790398	764767	805282
NOETINGER 	312060	301941	317937
NONO 	201635	195096	205432
OBISPO TREJO 	227851	220462	232142
OLAETA 	144576	139887	147298
OLIVA 	602228	582699	613569
ONCATIVO 	610939	591128	622444
ORDOÑEZ 	222682	215461	226875
PAMPAYASTA SUD 	167181	161760	170329
PASCANAS 	230359	222888	234697
PASCO 	166360	160965	169493
PILAR 	647875	626865	660075
PIQUILLIN 	176871	171136	180202
PORTEÑA 	341321	330252	347748
POZO DEL MOLLE 	344754	333574	351246
PUEBLO ITALIANO 	184883	178887	188364
QUEBRACHO HERRADO 	134489	130127	137021
QUILINO 	332370	321592	338629
REDUCCION 	182999	177064	186445
RIO CEBALLOS 	827484	800650	843067
RIO CUARTO 	6214921	6013381	6331957
RIO DE LOS SAUCES 	169876	164367	173075
RIO PRIMERO 	427320	413463	435367
RIO SEGUNDO 	878519	850030	895063
RIO TERCERO 	1891139	1829813	1926752
ROSALES 	142665	138039	145352
SACANTA 	239166	231410	243670
SAIRA 	151965	147037	154827
SALDAN 	508788	492288	518369
SALSACATE 	211073	204229	215048
SALSIPUEDES 	455777	440997	464360
SAMPACHO 	427279	413423	435325
SAN AGUSTIN 	256313	248001	261140
SAN ANTONIO DE ARREDONDO 	249630	241535	254331
SAN ANTONIO DE LITIN 	171535	165972	174765
SAN BASILIO 	249344	241259	254040
SAN CARLOS MINAS 	188467	182355	192016
SAN ESTEBAN 	150871	145978	153712
SAN FRANCISCO 	2574572	2491083	2623054
SAN FRANCISCO DEL CHAÑAR 	252662	244468	257419
SAN JAVIER Y YACANTO 	181819	175923	185243
SAN JOSE 	205586	198919	209458
SAN JOSE DE LA DORMIDA 	321070	310658	327116
SAN JOSE DE LAS SALINAS 	150822	145931	153663
SAN MARCOS SIERRAS 	199811	193332	203574
SAN MARCOS SUD 	242328	234470	246892
SAN PEDRO 	308043	298054	313844
SAN PEDRO NORTE 	162350	157085	165407
SANTA CATALINA 	267130	258468	272161
SANTA EUFEMIA 	217972	210903	222076
SANTA MARIA 	436413	422261	444632
SANTA ROSA DE CALAMUCHITA 	577567	558838	588444
SANTA ROSA DE RIO PRIMERO 	448890	434334	457344
SANTIAGO TEMPLE 	225033	217736	229271
SARMIENTO 	177410	171656	180750
SEBASTIAN EL CANO 	224619	217335	228849
SEEBER 	150191	145321	153020
SERRANO 	247606	239577	252269
SERREZUELA 	232246	224714	236619
SILVIO PELLICO 	136212	131795	138777
SINSACATE 	177157	171413	180494
TANCACHA 	334672	323819	340974
TANTI 	339907	328884	346308
TICINO 	206752	200048	210646
TIO PUJIO 	225030	217733	229268
TOLEDO 	271706	262895	276823
TOSQUITA 	138527	134035	141135
TRANSITO 	241769	233929	246322
UCACHA 	326936	316334	333093
UNQUILLO 	772384	747337	786929
VALLE HERMOSO 	343510	332370	349979
VIAMONTE 	188977	182849	192536
VICUÑA MACKENNA 	527465	510360	537398
VILLA ALLENDE 	1134535	1097744	1155900
VILLA ASCASUBI 	212515	205624	216517
VILLA CARLOS PAZ 	2258937	2185683	2301477
VILLA CONCEPCION DEL TIO 	190133	183967	193713
VILLA CURA BROCHERO 	341374	330303	347802
VILLA DE LAS ROSAS 	270204	261442	275292
VILLA DE MARIA 	329911	319213	336124
VILLA DE SOTO 	467136	451988	475933
VILLA DEL DIQUE 	239579	231810	244090
VILLA DEL ROSARIO 	700663	677941	713857
VILLA DEL TOTORAL 	478746	463221	487762
VILLA DOLORES 	1291667	1249780	1315991
VILLA FONTANA 	158437	153299	161421
VILLA GIARDINO 	307626	297650	313419
VILLA GRAL. BELGRANO 	414310	400874	422112
VILLA HUIDOBRO 	360575	348882	367365
VILLA MARIA 	3109449	3008614	3168004
VILLA NUEVA 	843195	815850	859072
VILLA PQUE.SANTA ANA 	218538	211451	222653
VILLA ROSSI 	139945	135407	142580
VILLA RUMIPAL 	220420	213272	224571
VILLA SANTA CRUZ DEL LAGO 	204737	198098	208592
VILLA SARMIENTO 	315899	305655	321848
VILLA TULUMBA 	187009	180944	190530
VILLA VALERIA 	244140	236223	248738
VILLA YACANTO 	181499	175614	184917
WENCESLAO ESCALANTE 	179882	174049	183269
