DEPARTAMENTO 	TOTALABRIL	06-JUNIO	h
NOETINGER 	611929	725521	737883
NONO 	399008	473076	481136
OBISPO TREJO 	441557	523523	532443
OLAETA 	279529	331419	337065
OLIVA 	1168270	1385137	1408737
ONCATIVO 	1181713	1401076	1424947
ORDOÑEZ 	435835	516739	525543
PAMPAYASTA SUD 	323055	383024	389550
PASCANAS 	447244	530267	539301
PASCO 	322288	382115	388625
PILAR 	1253891	1486652	1511981
PIQUILLIN 	344116	407994	414946
PORTEÑA 	660358	782940	796280
POZO DEL MOLLE 	668067	792081	805576
PUEBLO ITALIANO 	358412	424944	432184
QUEBRACHO HERRADO 	260009	308274	313526
QUILINO 	647506	767704	780783
REDUCCION 	354152	419894	427048
RIO CEBALLOS 	1626404	1928315	1961169
RIO CUARTO 	12068541	14308833	14552622
RIO DE LOS SAUCES 	331201	392683	399373
RIO PRIMERO 	830819	985044	1001827
RIO SEGUNDO 	1696182	2011044	2045308
RIO TERCERO 	3652959	4331060	4404852
ROSALES 	275680	326855	332424
SACANTA 	463163	549141	558497
SAIRA 	293578	348076	354006
SALDAN 	983476	1166040	1185906
SALSACATE 	420591	498666	507162
SALSIPUEDES 	888612	1053565	1071515
SAMPACHO 	820357	972641	989212
SAN AGUSTIN 	502478	595753	605904
SAN ANTONIO DE ARREDONDO 	484468	574400	584187
SAN ANTONIO DE LITIN 	332758	394528	401250
SAN BASILIO 	479550	568570	578257
SAN CARLOS MINAS 	380877	451580	459273
SAN ESTEBAN 	292496	346792	352700
SAN FRANCISCO 	4985983	5911534	6012254
SAN FRANCISCO DEL CHAÑAR 	483181	572874	582635
SAN JAVIER Y YACANTO 	351532	416788	423889
SAN JOSE 	398333	472276	480322
SAN JOSE DE LA DORMIDA 	641744	760872	773835
SAN JOSE DE LAS SALINAS 	303790	360183	366319
SAN MARCOS SIERRAS 	387328	459229	467053
SAN MARCOS SUD 	470373	557689	567190
SAN PEDRO 	609381	722501	734810
SAN PEDRO NORTE 	318402	377507	383939
SANTA CATALINA 	516944	612904	623347
SANTA EUFEMIA 	420723	498822	507321
SANTA MARIA 	845675	1002658	1019741
SANTA ROSA DE CALAMUCHITA 	1148181	1361318	1384512
SANTA ROSA DE RIO PRIMERO 	873310	1035423	1053065
SANTIAGO TEMPLE 	435493	516334	525131
SARMIENTO 	341852	405311	412216
SEBASTIAN EL CANO 	440862	522699	531605
SEEBER 	290367	344268	350134
SERRANO 	480889	570157	579871
SERREZUELA 	450410	534020	543118
SILVIO PELLICO 	262393	311101	316401
SINSACATE 	340784	404044	410928
TANCACHA 	647297	767455	780531
TANTI 	663187	786295	799692
TICINO 	398910	472960	481018
TIO PUJIO 	441020	522887	531795
TOLEDO 	528560	626677	637354
TOSQUITA 	267526	317187	322591
TRANSITO 	467656	554467	563914
UCACHA 	632785	750250	763033
UNQUILLO 	1484380	1759927	1789912
VALLE HERMOSO 	672965	797888	811482
VIAMONTE 	369212	437749	445207
VICUÑA MACKENNA 	1006355	1193165	1213495
VILLA ALLENDE 	2236813	2652034	2697220
VILLA ASCASUBI 	410920	487199	495500
VILLA CARLOS PAZ 	4321013	5123124	5210411
VILLA CONCEPCION DEL TIO 	367201	435365	442783
VILLA CURA BROCHERO 	679701	805874	819604
VILLA DE LAS ROSAS 	527416	625321	635975
VILLA DE MARIA 	646234	766195	779249
VILLA DE SOTO 	909307	1078103	1096471
VILLA DEL DIQUE 	471160	558622	568139
VILLA DEL ROSARIO 	1362647	1615596	1643122
VILLA DEL TOTORAL 	917589	1087921	1106457
VILLA DOLORES 	2517135	2984393	3035240
VILLA FONTANA 	307154	364171	370375
VILLA GIARDINO 	587370	696403	708268
VILLA GRAL. BELGRANO 	806001	955619	971902
VILLA HUIDOBRO 	694244	823117	837141
VILLA MARIA 	6100909	7233426	7356666
VILLA NUEVA 	1639129	1943401	1976513
VILLA PQUE.SANTA ANA 	423866	502548	511110
VILLA ROSSI 	273015	323695	329210
VILLA RUMIPAL 	430176	510030	518720
VILLA SANTA CRUZ DEL LAGO 	389242	461497	469360
VILLA SARMIENTO 	621824	737254	749815
VILLA TULUMBA 	377838	447976	455609
VILLA VALERIA 	467796	554634	564083
VILLA YACANTO 	353529	419155	426296
WENCESLAO ESCALANTE 	347462	411962	418981
YCHO CRUZ 	381638	452482	460191
