ID,Departamento,LOCALIDAD,TIPO,Latitude,Longitude,web,Pop 2008,01/09,02/09,03/09,04/09,05/09,06/09,07/09,08/09,09/09,10/09,11/09,12/09,01/10,02/10,03/10,04/10,05/10,06/10,07/10,08/10,09/10,10/10,11/10,12/10,01/11,02/11,03/11,04/11,05/11,06/11,07/11,08/11,09/11,10/11,11/11,12/11,01/12,02/12,03/12,04/12,05/12,06/12,07/12,08/12,09/12,10/12,11/12,12/12,01/13,02/13,03/13,04/13,05/13,06/13,07/13,08/13,09/13,10/13,11/13,12/13,01/14,02/14,03/14,04/14
182,SANTA MARIA,ALTA GRACIA ,Municipio,-31.657180786133,-64.433776855469,http://www.altagracia.gov.ar/,46858,1183079,1388215,1255955,1325501,1427399,1514394,1460195,1414314,1423318,1513335,1455894,1568687,1549925,1720298,1636054,1659178,1989349,2082339,1958973,1895446,1995863,1906062,2026730,1764260,2282236,2261742,2241108,2198672,2711514,2721110,2599708,2652430,2702813,2604456,2903348,2810377,3150918,2723919,2680147,2560905,3349095,3321261,3096737,3311774,3218053,"3478083,5","3558371,6","3468310,6",3836053,4134822,3645439,3813680,4521616,4598654,4476920,"4556133,7","4415248,2","4579223,37","4760658,72","4640142,33","5468009,45","5819459,42","4895472,67",5257998
183,UNION,ALTO ALEGRE ,Municipio,-32.345451354980,-62.884021759033,,979,96057,112712,101974,107620,115894,122957,118556,114831,115562,122871,118207,127365,125842,139675,132835,134712,161520,169070,159053,153895,162048,154757,164555,143244,185300,183636,178813,177495,218896,219670,209870,214126,218193,210253,234382,226877,254368,219897,216363,206737,270366,268120,249994,267354,259788,"280779,5",287261,"279990,5",309678,333797,294290,307872,365022,371241,"361413,9","367808,6","356435,1","369672,66","384319,53","374590,46","441422,79","469794,73","395202,83",424468
184,CRUZ DEL EJE,ALTO DE LOS QUEBRACHOS,Comuna,-30.543630599976,-65.037261962891,,159,13133,15410,13941,14714,15845,16811,16209,15700,15800,16799,16161,17413,17205,19096,18161,18418,22083,23115,21746,21041,22155,21159,22498,19584,25334,25107,26414,24904,30713,30822,"29447,02","30044,2","30614,87","29500,78","32886,36","31833,26",35691,30854,30358,29007,37935,37620,35077,37513,36451,"39396,4","40305,8","39285,7","43451,1","46835,3",41292,43198,51217,52089,"50710,28","51607,53","50011,71","51869,08","53924,19","52559,1","61936,4","65917,29","55451,24",59558
185,SAN JUSTO,ALTOS DE CHIPION ,Municipio,-30.956560134888,-62.337791442871,,1779,115793,135871,122926,129733,139706,148221,142916,138426,139307,148117,142495,153535,151698,168374,160128,162391,194707,203808,191734,185516,195344,186555,198365,172676,223373,221367,214763,213709,263556,264489,252689,257813,262711,253150,282202,273166,306266,264762,260507,248917,325528,322823,300999,321901,312791,338066,"345869,9",337116,372860,401900,354333,370686,439496,446984,435152,"442851,4","429157,5","445095,78","462731,01","451016,95","531484,87","565645,45","475834,79",511071
186,CALAMUCHITA,AMBOY ,Comuna,-32.174880981445,-64.573600769043,,235,14596,17127,15495,16354,17610,18683,18015,17449,17560,18670,17962,19353,19122,21224,20184,20470,24543,25690,24168,23385,24624,23516,25004,21766,28157,27904,30652,28099,34653,34775,"33223,95","33897,73","34541,6","33284,61","37104,43","35916,25",40268,34811,34252,32728,42801,42445,39576,42324,41126,"44449,5","45475,5","44324,6","49024,3","52842,5","46588,3",48738,57786,58770,"57214,49","58226,81","56426,31","58521,91","60840,62","59300,43","69880,49","74371,97","62563,52",67197
187,SAN ALBERTO,AMBUL ,Comuna,-31.491109848022,-65.054161071777,,941,29505,34621,31322,33056,35597,37767,36415,35271,35496,37741,36308,39121,38653,42902,40801,41378,49612,51931,48854,47270,49774,47535,50544,43998,56916,56405,67383,58556,72214,72470,"69236,73","70640,85","71982,63","69363,14","77323,42","74847,33",83917,72545,71379,68203,89195,88453,82474,88201,85705,92630,"94768,3","92369,7","102163,7","110120,7","97087,1",101568,120422,122474,"119231,57","121341,2","117589,07","121956,17","126788,22","123578,56","145626,76","154986,75","130378,65",140034
188,UNION,ANA ZUMARAN ,Comuna,-32.392791748047,-63.058940887451,,198,12600,14784,13375,14117,15201,16128,15551,15062,15158,16117,15505,16706,16506,18321,17423,17670,21186,22176,20862,20186,21255,20299,21584,18789,24305,24087,34124,26739,32976,33092,"31616,1","32257,27","32869,98","31673,82","35308,78","34178,11",38320,33127,32594,31144,40730,40391,37661,40276,39136,"42298,4","43274,8","42179,5","46651,8","50285,2","44333,6",46380,54989,55926,"54445,62","55408,96","53695,59","55689,77","57896,27","56430,62","66498,66","70772,78","59535,8",63945
189,SANTA MARIA,ANISACATE ,Municipio,-31.725320816040,-64.404342651367,,3053,144144,169137,153023,161496,173911,184510,177907,172317,173414,184381,177383,191125,188839,209597,199333,202150,242377,253707,238676,230937,243171,232230,246932,214953,278062,275565,275814,268776,331468,332641,317801,324246,330405,318381,354919,343554,385183,332985,327634,313057,409409,406007,378560,404847,393390,"425177,3","434992,1","423983,5",468937,505460,445636,466202,552744,562161,"547279,9","556963,3","539740,8","559785,98","581965,38","567232,88","668435,41","711398,32","598445,67",642762
190,MARCOS JUAREZ,ARIAS ,Municipio,-33.642059326172,-62.402511596680,,7311,247476,290387,262721,277268,298583,316780,305443,295846,297729,316559,304544,328137,324213,359852,342229,347067,416132,435583,409778,396489,417494,398710,423951,369047,477398,473111,440699,450813,555966,557933,533042,543852,554182,534015,595300,576237,646061,558509,549534,525085,686695,680988,634951,679043,659826,"713142,5","729604,7","711138,5",786540,847800,747457,781953,927107,942903,"917943,1","934184,8","905297,8","938919,29","976120,41","951409,85","1121155,09","1193216,03","1003762,52",1078094
191,SAN JUSTO,ARROYITO ,Municipio,-31.419429779053,-63.050018310547,http://www.municipioarroyito.gob.ar/,21764,591030,693510,627437,662179,713085,756544,729468,706548,711046,756015,727320,783667,774295,859408,817322,828874,993817,1040272,978642,946906,997071,952210,1012492,881370,1140135,1129896,1143375,1106097,1364095,1368921,1307848,1334371,1359717,1310236,1460602,1413829,1585148,1370335,1348314,1288326,1684845,1670843,1557890,1666070,1618921,1749736,"1790126,9",1744821,1929822,2080125,1833929,1918566,2274711,2313468,2252226,2292076,2221200,"2303692,3","2394967,37","2334339,6","2750818,26","2927623,92","2462788,88",2645166
192,GENERAL SAN MARTIN,ARROYO ALGODON ,Municipio,-32.201469421387,-63.164340972900,,713,89717,105274,95244,100518,108245,114842,110732,107253,107936,114762,110406,118959,117537,130457,124068,125822,150860,157912,148556,143739,151354,144544,153695,133790,173071,171516,166197,165517,204124,204846,195707,199676,203469,196064,218565,211566,237202,205058,201763,192786,252121,250026,233124,249312,242256,"261831,6","267875,7","261095,8",288780,311271,274430,287095,340389,346189,"337024,5","342987,6","332381,7","344725,91","358384,36","349311,84","411634,11","438091,41","368533,22",395824
193,GENERAL SAN MARTIN,ARROYO CABRAL ,Municipio,-32.491230010986,-63.400718688965,,2941,141016,165467,149702,157991,170137,180506,174046,168577,169651,180380,173534,186978,184741,205049,195007,197764,237118,248202,233497,225925,237894,227191,241574,210290,272028,269585,270477,263154,324535,325683,311153,317463,323493,311721,347495,336367,377126,326019,320780,306509,400845,397514,370641,396378,385161,"416283,6","425893,1","415114,8",459128,494887,436314,456450,541182,550402,"535832,1","545312,9","528450,6","548076,57","569792,02","555367,69","654453,3","696517,53","585927,59",629317
194,SAN ALBERTO,ARROYO LOS PATOS ,Comuna,-31.767580032349,-65.002838134766,,657,23786,27911,25252,26650,28699,30448,29358,28436,28617,30427,29272,31539,31162,34588,32894,33359,39997,41867,39386,38109,40128,38323,40749,35471,45886,45474,51914,46427,57256,57459,"54895,19","56008,47","57072,31","54995,42","61306,83","59343,62",66534,57518,56594,54076,70719,70132,65390,69931,67952,"73442,9","75138,2","73237,5","81001,7","87310,5","76976,7",80529,95478,97105,"94534,21","96206,86","93231,94","96694,44","100525,59","97980,78","115461,97","122883,15","103372,31",111027
195,JUAREZ CELMAN,ASSUNTA ,Comuna,-33.634338378906,-63.224681854248,,84,11593,13604,12307,12989,13987,14840,14309,13859,13947,14830,14267,15372,15188,16858,16032,16259,19494,20405,19196,18574,19558,18678,19860,17288,22364,22163,23142,21928,27043,27139,"25927,74","26453,56","26956,03","25975,08","28956,05","28028,8",31425,27167,26730,25541,33402,33124,30885,33029,32095,"34688,1","35488,8","34590,6","38258,2","41237,9","36357,2",38035,45096,45864,"44649,79","45439,81","44034,71","45670,1","47479,6","46277,65","54534,25","58039,38","48824,15",52440
196,RIO PRIMERO,ATAHONA ,Comuna,-30.903320312500,-63.706279754639,,223,14986,17585,15909,16790,18081,19183,18496,17915,18029,19170,18442,19871,19633,21791,20724,21017,25199,26377,24815,24010,25282,24144,25673,22348,28909,28650,30503,28536,35192,35317,"33741,17","34425,44","35079,34","33802,78","37682,07","36475,39",40895,35353,34785,33238,43467,43106,40192,42983,41767,"45141,4","46183,5","45014,6","49787,5","53665,2","47313,5",49497,58685,59685,"58105,19","59133,28","57304,75","59432,97","61787,77","60223,61","70968,37","75529,78","63537,5",68243
197,GENERAL SAN MARTIN,AUSONIA ,Municipio,-32.662418365479,-63.242710113525,,1022,97912,114889,103944,109699,118132,125332,120847,117049,117795,125244,120491,129825,128273,142373,135401,137315,164640,172335,162126,156868,165179,157747,167733,146011,188879,187183,176510,179058,220824,221605,211718,216012,220115,212105,236447,228875,256608,221834,218269,208558,272748,270481,252196,269708,262076,"283252,4",289791,"282456,5",312405,336737,296882,310583,368237,374511,364597,371048,"359574,4","372928,53","387704,41","377889,64","445310,6","473932,43","398683,55",428207
198,ISCHILIN,AVELLANEDA ,Comuna,-30.594329833984,-64.206413269043,,460,19664,23074,20875,22031,23725,25171,24270,23507,23657,25153,24199,26073,25761,28593,27193,27577,33065,34611,32560,31504,33173,31681,33686,29324,37933,37593,39999,37435,46167,46331,"44263,6","45161,27","46019,08","44344,42","49433,49","47850,5",53649,46378,45633,43603,57023,56549,52726,56387,54792,"59219,1","60586,1","59052,7","65314,1",70401,"62068,6",64933,76987,78298,"76225,7","77574,41","75175,64","77967,56","81056,73","79004,77","93100,36","99084,28","83352,12",89525
199,UNION,BALLESTEROS ,Municipio,-32.546089172363,-62.981609344482,,3844,164040,192484,174145,183788,197917,209979,202464,196102,197351,209832,201868,217507,214906,238529,226848,230054,275834,288728,271622,262814,276737,264286,281017,244624,316445,313603,308047,303985,374889,376216,359431,366720,373686,360087,401412,388558,435641,376604,370552,354066,463040,459192,428149,457880,444922,"480873,7","491974,2","479522,4",530366,571673,504012,527273,625151,635802,"618971,3","629923,1","610444,5","633115,56","658200,36","641537,97","755997,59","804588,46","676839,5",726961
200,UNION,BALLESTEROS SUR ,Municipio,-32.589118957520,-63.028041839600,,578,86498,101496,91826,96911,104361,110721,106758,103404,104062,110644,106444,114690,113319,125775,119616,121307,145446,152245,143225,138581,145922,139357,148179,128989,166860,165362,160891,159790,197062,197759,188936,192768,196429,189281,211003,204247,228996,197963,194782,186116,243398,241376,225058,240686,233875,"252772,8","258607,8","252062,5",278789,300502,264936,277163,328612,334211,"325364,2","331121,1","320882,1","332799,2","345985,11","337226,47","397392,54","422934,48","355782,83",382129
201,SAN JUSTO,BALNEARIA ,Municipio,-31.008949279785,-62.664810180664,,6197,222342,260895,236038,249108,268259,284608,274422,265800,267492,284409,273614,294811,291285,323305,307472,311818,373869,391345,368160,356221,375093,358216,380894,331566,428912,425061,414322,410985,506847,508641,485948,495803,505221,486835,542706,525327,588982,509166,500984,478695,626026,620823,578854,619050,601531,"650137,3",665145,"648310,3",717050,772898,681420,712868,845199,859599,836844,"851650,8","825315,9","855966,96","889881,4","867353,99","1022102,45","1087796,9","915081,37",982846
202,CRUZ DEL EJE,BAÑADO DE SOTO ,Comuna,-30.794450759888,-65.052917480469,,846,26523,31122,28156,29715,32000,33950,32735,31707,31908,33926,32639,35167,34747,38566,36678,37196,44598,46683,43917,42493,44744,42731,45436,39552,51164,50705,62149,53149,65546,65778,"62843,25","64117,71","65335,59",62958,"70183,2","67935,76",76168,65846,64788,61905,80958,80285,74858,80056,77791,"84076,4","86017,2","83840,1","92729,6","99951,9","88121,9",92189,109302,111164,"108221,46","110136,28","106730,63","110694,46","115080,31","112167,04","132179,26","140674,92","118339,19",127103
203,UNION,BELL VILLE ,Municipio,-32.628379821777,-62.689361572266,http://www.bellvilleciudad.com.ar/,33325,864142,1013976,917372,968169,1042597,1106140,1066552,1033040,1039616,1105366,1063410,1145796,1132092,1256535,1195002,1211893,1453055,1520975,1430867,1384467,1457813,1392220,1480359,1288646,1666984,1652015,1635774,1605569,1980069,1987075,1898423,1936923,1973714,1901890,2120155,2052263,2300942,1989127,1957163,1870087,2445658,2425334,2261375,2418405,2349966,"2539851,7","2598481,7","2532716,4",2801257,3019432,2662063,2784920,3301886,3358144,"3269247,6","3327092,3","3224211,3","3343954,09","3476445,58","3388440,12","3992985,52","4249630,03","3574892,77",3839625
204,JUAREZ CELMAN,BENGOLEA ,Municipio,-33.028091430664,-63.673229217529,,912,94593,110995,100420,105980,114128,121083,116750,113081,113801,120999,116406,125424,123924,137546,130811,132660,159058,166493,156630,151550,159579,152399,162047,141061,182476,180837,175491,174597,215322,216084,206443,210630,214631,206820,230555,223172,250215,216307,212831,203362,265952,263742,245912,262988,255546,"276195,1","282570,8",275419,304622,328347,289485,302845,359062,365180,"355512,9","361803,2","350615,5","363636,87","378044,61","368474,38","434215,52","462124,22","388750,2",417538
205,UNION,BENJAMIN GOULD ,Municipio,-33.587879180908,-62.728668212891,,717,89898,105486,95436,100720,108463,115074,110955,107469,108153,114993,110628,119199,117773,130720,124318,126075,151164,158230,148856,144028,151659,144835,154004,134060,173419,171862,166770,165928,204630,205355,196193,200172,203974,196551,219108,212091,237791,205567,202263,193264,252747,250646,233702,249930,242857,"262481,2","268540,3","261743,6",289496,312044,275111,287808,341234,347048,"337860,7","343838,7","333206,4","345581,26","359273,61","350178,57","412655,48","439178,43","369447,65",396806
