ID,Departamento,LOCALIDAD,TIPO,Latitude,Longitude,web,Pop 2008,01/09,02/09,03/09,04/09,05/09,06/09,07/09,08/09,09/09,10/09,11/09,12/09,01/10,02/10,03/10,04/10,05/10,06/10,07/10,08/10,09/10,10/10,11/10,12/10,01/11,02/11,03/11,04/11,05/11,06/11,07/11,08/11,09/11,10/11,11/11,12/11,01/12,02/12,03/12,04/12,05/12,06/12,07/12,08/12,09/12,10/12,11/12,12/12,01/13,02/13,03/13,04/13,05/13,06/13,07/13,08/13,09/13,10/13,11/13,12/13,01/14,02/14,03/14,04/14
276,PUNILLA,COSQUIN ,Municipio,-31.243619918823,-64.466049194336,http://www.cosquin.gov.ar/,20104,525351,616442,557711,588593,633842,672472,648405,628031,632029,672002,646495,696581,688250,763904,726495,736764,883377,924669,869889,841680,886270,846393,899977,783426,1013435,1004334,986724,973592,1200682,1204931,1151173,1174519,1196828,1153276,1285627,1244459,1395254,1206175,1186793,1133991,1483007,1470683,1371261,1466481,1424981,"1540124,6","1575676,8","1535799,6",1698638,1830934,1614231,1688730,2002210,2036324,"1982418,3","2017494,4","1955109,1","2027719,12","2108059,79","2054695,11","2421281,17","2576907,21","2167756,56",2328286
277,RIO SEGUNDO,COSTASACATE ,Municipio,-31.649580001831,-63.758548736572,,1359,104516,122638,110954,117098,126100,133785,128997,124944,125739,133692,128617,138582,136924,151975,144533,146576,175744,183959,173060,167448,176319,168386,179046,155859,201618,199808,194156,192995,238012,238854,228197,232825,237248,228614,254850,246689,276582,239100,235258,224791,293977,291534,271825,290701,282474,"305299,4",312347,"304441,5",336721,362947,319990,334757,396899,403661,"392975,5","399928,6","387561,9","401955,47","417881,43","407302,73","479971,41","510821,01","429715,14",461536
278,MARCOS JUAREZ,CRUZ ALTA ,Municipio,-33.007080078125,-61.810451507568,,7103,240702,282438,255530,269679,290410,308110,297083,287748,289580,307894,296208,319156,315339,350002,332862,337567,404741,423660,398561,385637,406067,387796,412347,358947,464330,460161,438925,441808,544860,546788,522394,532988,543111,523347,583408,564726,633155,547353,538557,514596,672977,667384,622268,665478,646646,"698896,8","715030,2","696933,8",770828,830864,732526,766333,908588,924068,"899606,4","915523,6","887213,6","920163,53","956621,52","932404,58",1098759,"1169380,46","983711,46",1056558
279,CRUZ DEL EJE,CRUZ DE CAÑA ,Comuna,-31.074800491333,-64.918418884277,,325,15305,17959,16248,17147,18465,19591,18890,18296,18413,19577,18834,20293,20051,22255,21165,21464,25735,26938,25342,24520,25819,24658,26219,22823,29524,29259,39133,31729,39130,39269,"39274,39","40070,87",40832,"37585,08","41898,43","40556,73",45471,39309,38677,36957,48331,47929,44689,47792,46440,"50192,5","51351,1","50051,4","55358,3","59669,9","52607,6",55035,65252,66363,"64606,75","65749,88","63716,75","66083,1","68701,39","66962,21","78909,24","83981,04","70646,9",75879
280,CRUZ DEL EJE,CRUZ DEL EJE ,Municipio,-30.730619430542,-64.796669006348,http://www.cruzdeleje.gov.ar,30850,780099,915362,828152,874010,941199,998561,962824,932571,938508,997863,959988,1034361,1021990,1134331,1078782,1094030,1311738,1373053,1291708,1249820,1316033,1256820,1336386,1163318,1504862,1491348,1501041,1457311,1797230,1803589,1723123,1758068,1791462,1726269,1924380,1862757,2088473,1805451,1776439,1697403,2219827,2201378,2052560,2195090,2132970,"2305322,2","2358538,2","2298843,9",2542590,2740618,2416248,2527760,2996991,3048052,"2967365,7",3019869,"2926488,1","3035173,85","3155431,1","3075551,14","3624273,81","3857219,8","3244787,68",3485074
281,PUNILLA,CUESTA BLANCA ,Comuna,-31.477720260620,-64.580383300781,,371,16167,18970,17163,18113,19506,20695,19953,19327,19450,20680,19895,21436,21180,23508,22357,22673,27184,28456,26769,25901,27273,26046,27695,24110,31187,30907,40411,33216,40963,41108,"51156,35","52193,8","53185,19","39346,1","43861,55","42456,99",47602,41151,40490,38688,50596,50175,46783,50032,48616,"52544,2","53757,1","52397,5","57952,1","62465,7","55072,5",57614,68309,69473,"67633,86","68830,54","66702,15","69179,38","71920,35","70099,68","82606,47","87915,91","73957,01",79434
282,TERCERO ARRIBA,DALMACIO VELEZ ,Municipio,-32.610168457031,-63.579250335693,,1652,109860,128909,116627,123085,132547,140626,135593,131332,132169,140527,135194,145667,143925,159746,151923,154070,184730,193365,181909,176010,185335,176996,188201,163828,211927,210024,209787,204712,252461,253354,242051,246960,251650,242493,270322,261665,293372,253616,249540,238438,311824,309232,288327,308349,299623,"323833,5","331308,8","322923,4",357163,384980,339415,355080,420994,428166,"416832,1","424207,4",411090,"426357,27","443250,06","432029,15","509109,38","541831,8","455802,17",489555
283,ISCHILIN,DEAN FUNES ,Municipio,-30.424249649048,-64.352241516113,,21754,581935,682837,617781,651990,702111,744902,718243,695675,700104,744381,716128,771608,762379,846183,804745,816119,978524,1024263,963582,932335,981728,937557,996911,867806,1122590,1112509,1082083,1074915,1325641,1330331,1270979,1296755,1321386,1273300,1419427,1373973,1540462,1331705,1310305,1252008,1637349,1623741,1513972,1619103,1573284,"1700410,6","1739662,9","1695632,2",1875420,2021486,1782230,1864482,2210587,2248250,"2188735,3","2227461,9","2158583,9","2238750,74","2327452,74","2268533,11","2673272,13","2845093,59","2393362,35",2570598
284,GENERAL ROCA,DEL CAMPILLO ,Municipio,-34.376449584961,-64.495918273926,http://www.munidelcampillo.gov.ar,3727,160731,188600,170632,180080,193924,205743,198379,192146,193369,205599,197795,213119,210570,233716,222271,225413,270269,282903,266142,257512,271154,258954,275348,239690,310060,307276,315872,302401,372937,374256,357559,364811,371740,358212,399321,386534,433372,374643,368623,352222,460628,456800,425919,455495,442605,"478369,3",489412,477026,527604,568696,501387,524527,621895,632491,"615747,7","626642,4","607265,3","629818,29","654772,45","638196,84","752060,36","800398,17","673314,53",723175
285,SANTA MARIA,DESPEÑADEROS ,Municipio,-31.815870285034,-64.291130065918,,6401,227082,266456,241070,254418,273977,290674,280272,271465,273193,290471,279446,301095,297494,330196,314026,318465,381838,399686,376008,363814,383088,365852,389013,338634,438055,434121,412365,416249,513340,515156,492173,502154,511692,493071,549657,532056,596527,515688,507401,484826,634045,628776,586269,626980,609237,"658465,1","673665,1","656614,7",726235,782798,690149,722000,856025,870610,"847563,5","862559,9","835887,7","866931,39","901280,26","878464,28","1035194,98","1101730,93","926803,02",995435
286,SAN JUSTO,DEVOTO ,Municipio,-31.407270431519,-62.305011749268,http://www.devoto.gov.ar/,6052,219052,257034,232546,245422,264289,280397,270362,261867,263534,280201,269565,290449,286975,318521,302923,307204,368337,385554,362712,350950,369543,352916,375258,326661,422566,418772,406981,404511,498864,500629,478294,487994,497263,479167,534158,517052,579705,501146,493093,471155,616166,611045,569737,609299,592057,639897,"654668,4","638099,8",705756,760724,670687,701640,831886,846059,823663,"838236,5","812316,4","842484,75","875865,01","853692,43","1006003,46","1070663,17","900668,06",967365
287,RIO PRIMERO,DIEGO DE ROJAS ,Comuna,-31.028659820557,-63.338920593262,,546,22477,26374,23861,25182,27118,28771,27741,26870,27041,28751,27660,29803,29446,32683,31083,31522,37795,39561,37217,36011,37918,36212,38505,33518,43359,42970,47186,43265,53356,53545,"34052,47","34743,05","35402,98","51249,75","57131,29","55301,8",62003,53601,52739,50393,65903,65355,60937,65168,63324,"68440,8","70020,6","68248,4","75484,8","81363,9","71733,9",75045,88975,90491,"88095,61","89654,33","86882,02","90108,7","93678,92","91307,43","107597,99","114513,73","96331,75",103465
288,SANTA MARIA,DIQUE CHICO ,Comuna,-31.745830535889,-64.365463256836,,247,15821,18565,16797,17726,19089,20252,19528,18914,19035,20238,19470,20979,20728,23006,21880,22189,26604,27848,26198,25349,26691,25491,27104,23594,30521,30247,28106,28799,35517,35643,"40655,16","41479,64","42267,52","34114,64","38029,72","36811,91",41273,35679,35106,33544,43868,43504,40563,43380,42152,"45557,9","46609,6","45429,9","50246,8","54160,3",47750,49954,59227,60236,"58641,27","59678,84","57833,44","59981,3","62357,83","60779,23","71623,13","76226,62","64123,7",68872
289,SAN JUSTO,EL ARAÑADO ,Municipio,-31.741889953613,-62.894489288330,http://www.elaranado.gov.ar/,1734,111197,130478,118047,124584,134161,142337,137243,132931,133777,142238,136839,147440,145677,161690,153772,155946,186979,195719,184123,178153,187591,179150,190492,165822,214507,212581,226217,211700,261079,262003,250314,255390,260241,250771,279550,270598,303387,262273,258059,246578,322469,319789,298170,318875,309851,"334888,4",342619,"333947,3",369356,398123,351002,367201,435365,442783,"431061,8","438688,8","425123,6","440912,12","458381,59","446777,63","526489,2","560328,69","471362,2",506268
290,CRUZ DEL EJE,EL BRETE ,Municipio,-30.666629791260,-64.900436401367,,2004,119122,139776,126459,133462,143722,152481,147024,142404,143311,152374,146591,157947,156058,173213,164731,167059,200303,209666,197245,190848,200959,191917,204067,177639,229793,227730,222059,220215,271581,272541,260382,265663,270709,260858,290794,281482,315590,272823,268439,256496,335439,332652,310164,331701,322314,"348358,6","356400,2","347379,7",384212,414137,365121,381971,452877,460593,"448400,4","456334,3","442223,4","458646,98","476819,12","464748,41","547666,23","582866,84","490321,85",526631
291,RIO PRIMERO,EL CRISPIN ,Comuna,-31.019029617310,-63.606201171875,,197,14333,16818,15216,16058,17293,18347,17690,17134,17243,18334,17638,19004,18777,20841,19821,20101,24101,25227,23733,22963,24180,23092,24554,21374,27649,27401,29354,27351,33730,33850,"81592,79","83247,49","84828,72","32398,44","36116,56","34960,01",39196,33885,33340,31857,41661,41315,38522,41197,40031,43266,"44264,8","43144,5",47719,"51435,6","45347,9",47441,56247,57206,"55691,2","56676,57","54924,01","56963,81","59220,79","57721,61","68019,97","72391,88","60897,82",65408
292,MINAS,EL CHACHO ,Comuna,-30.800170898438,-65.657302856445,,347,17102,20067,18156,19160,20634,21891,21108,20444,20575,21876,21046,22676,22405,24868,23650,23984,28757,30101,28318,27399,28851,27553,29297,25503,32991,32694,40422,34384,42404,42554,"32339,39","32995,23","33621,96","40729,39","45403,59","43949,65",49275,42598,41913,40048,52374,51939,48428,51791,50325,"54391,5","55647,1","54238,6","59989,5","64661,8","57008,7",59640,70711,71915,"70011,66","71250,41","69047,19","71611,51","74448,85","72564,17","85510,66","91006,76","76557,12",82226
293,SAN JUSTO,EL FORTIN ,Municipio,-31.968399047852,-62.300891876221,,1384,106213,124630,112756,118999,128147,135957,131092,126973,127781,135862,130706,140832,139147,154443,146880,148956,178597,186946,175870,170167,179182,171120,181953,158390,204892,203052,197128,196070,241804,242660,231834,236535,241028,232257,258911,250620,280989,242910,239007,228373,298661,296179,276157,295333,286975,"310164,1",317324,"309292,5",342087,368730,325088,340092,403223,410093,"399237,2","406301,1","393737,4","408360,29","424540,02","413792,76","487619,35","518960,52","436562,29",468891
294,COLON,EL MANZANO ,Comuna,-31.084030151367,-64.297569274902,,1258,35495,41650,37682,39769,42826,45436,43810,42433,42704,45404,43681,47065,46502,51614,49086,49780,59686,62476,58775,56869,59882,57187,60808,52933,68474,67859,76620,69006,85102,85403,"26378,78","26913,74","27424,95","81741,76","91122,64","88204,66",98893,85491,84117,80375,105113,104239,97192,103941,101000,"109160,9","111680,7","108854,1","120395,9","129772,9","114413,4",119694,141913,144330,"140509,75","142995,88","138574,13","143720,58","149414,97","145632,52","171615,46","182645,84","153646,15",165024
295,JUAREZ CELMAN,EL RASTREADOR ,Comuna,-33.664779663086,-63.539768218994,,93,11789,13834,12516,13209,14224,15092,14551,14094,14184,15081,14508,15632,15446,17143,16304,16534,19825,20751,19522,18889,19889,18995,20197,17581,22743,22539,23565,22310,27513,27611,"40873,34","41702,25","42494,36","26426,94","29459,76","28516,39",31972,27639,27195,25985,33983,33700,31422,33604,32653,"35291,5","36106,2","35192,3","38923,7","41955,3","36989,6",38697,45880,46662,"45426,52","46230,28","44800,73","46464,57","48305,55","47082,7","55482,93","59049,03","49673,49",53352
296,TULUMBA,EL RODEO ,Comuna,-30.177179336548,-63.864379882812,,325,17651,20711,18738,19776,21296,22594,21786,21101,21235,22578,21721,23404,23124,25666,24409,24754,29680,31068,29227,28279,29777,28438,30238,26322,34050,33744,38883,34568,42631,42782,"38971,12","39761,45","40516,7","40947,97","45647,26","44185,51",49540,42826,42138,40263,52655,52218,48688,52069,50595,"54683,4","55945,7","54529,7","60311,5","65008,8","57314,6",59960,71090,72301,"70387,39","71632,79","69417,75","71995,83","74848,39","72953,6","85969,58","91495,17","76967,98",82668
297,SAN JUSTO,EL TIO ,Municipio,-31.383529663086,-62.827968597412,,1796,116278,136439,123440,130276,140291,148841,143514,139005,139889,148737,143091,154177,152333,169078,160798,163071,195521,204661,192536,186292,196161,187335,199195,173398,224307,222293,215249,214469,264494,265430,253588,258730,263645,254051,283206,274137,307355,265704,261434,249803,326686,323971,302070,323046,313904,"339268,5","347100,1","338315,1",374187,403330,355593,372004,441060,448574,"436699,7","444426,5","430683,9","446678,88","464376,84","452621,11","533375,24","567657,31","477527,22",512889
298,RIO CUARTO,ELENA ,Municipio,-32.572128295898,-64.391548156738,,2997,143433,168303,152268,160700,173054,183600,177030,171467,172559,183472,176508,190183,187908,208564,198350,201154,241183,252456,237500,229798,241972,231085,245715,213894,276691,274207,262240,263493,324953,326103,311554,317873,323911,312123,347943,336801,377613,326440,321194,306904,401362,398027,371119,396890,385658,"416820,6","426442,5","415650,3",459720,495526,436877,457039,541880,551112,"536523,4","546016,4","529132,4","548783,61","570527,08","556084,15","655297,58","697416,07","586683,47",630129
299,CALAMUCHITA,EMBALSE ,Municipio,-32.202629089355,-64.401847839355,http://www.embalse.gov.ar,8499,266676,312916,283103,298779,321748,341357,329140,318798,320828,341118,328171,353595,349366,387770,368780,373993,448416,469377,441569,427250,449884,429642,456842,397680,514435,509816,523044,501393,618344,620531,592847,604870,616359,593929,662090,640888,718547,621172,611190,583998,763739,757393,706191,755229,733856,"793154,5","811463,7","790926,6",874787,942920,831319,869685,1031126,1048693,1020933,1038997,"1006868,9","1044262,65","1085637,6","1058154,61","1246944,65","1327090,57","1116381,06",1199052
300,RIO PRIMERO,ESQUINA ,Comuna,-31.078069686890,-63.793651580811,,320,17226,20214,18288,19300,20784,22050,21261,20593,20724,22035,21199,22841,22568,25049,23822,24159,28966,30320,28524,27599,29061,27753,29510,25689,33231,32932,35549,32959,40647,40791,"49987,49","51001,24","51969,97","39042,27","43522,86","42129,14",47234,40833,40177,38389,50205,49788,46422,49645,48240,"52138,5",53342,"51991,9","57504,6","61983,4","54647,2",57169,67782,68936,"67111,6","68299,04","66187,09","68645,19","71364,99","69558,38","81968,6","87237,04","73385,93",78820
301,COLON,ESTACION GENERAL PAZ ,Municipio,-31.133779525757,-64.141273498535,http://www.generalpaz.gov.ar,2150,121203,142219,128669,135794,146233,155145,149593,144893,145815,155037,149152,160708,158786,176240,167609,169978,203803,213330,200691,194183,204471,195271,207633,180744,233809,231709,227438,224549,276925,277905,265506,270891,276036,265991,296517,287022,321801,278192,273722,261543,342041,339198,316268,338229,328658,"355214,3",363414,"354216,1",391774,422287,372306,389489,461790,469657,"457224,9","465314,8","450926,3","467673,06","486202,83","473894,57","558444,19","594337,54","499971,29",536995
302,COLON,ESTACION JUAREZ CELMAN ,Municipio,-31.257120132446,-64.165901184082,http://www.juarezcelman.gob.ar/,11848,340368,399385,361334,381342,410658,435686,420093,406893,409484,435381,418856,451306,445908,494924,470687,477340,572329,599081,563590,545313,574203,548367,583083,507571,656591,650695,642334,631764,779124,781881,746998,762147,776624,748362,834246,807531,905382,782688,770111,735848,962326,954328,889813,951602,924672,"999389,2","1022459,1","996580,8",1102248,1188096,1047477,1095819,1299237,1321373,"1286394,3","1309155,2","1268673,3","1315790,05","1367923,24","1333294,17","1571173,07","1672158,4","1406660,56",1510828
303,MINAS,ESTANCIA DE GUADALUPE ,Comuna,-31.129739761353,-65.216209411621,,518,21461,25182,22783,24043,25892,27470,26487,25655,25818,27451,26409,28455,28115,31205,29677,30096,36085,37772,35534,34382,36204,34575,36764,32002,41398,41027,48040,42276,52137,52322,"55553,32","56679,94","57756,55","50078,76","55825,92","54038,23",60586,52376,51534,49241,64397,63862,59544,63679,61877,66877,"68420,8",66689,"73760,1","79504,8","70094,9",73330,86942,88423,"86082,73","87605,84","84896,88","88049,83","91538,47","89221,17","105139,51","111897,23","94130,69",101101
304,PUNILLA,ESTANCIA VIEJA ,Comuna,-31.382070541382,-64.531463623047,,715,24559,28817,26072,27515,29630,31436,30311,29359,29545,31414,30222,32563,32174,35710,33961,34441,41295,43225,40665,39346,41430,39566,42071,36624,47375,46950,50666,46984,57943,58149,"38310,36","39087,3","39829,74","55654,75","62041,82","60056,09",67332,58209,57272,54724,71567,70973,66174,70769,68767,"74323,4",76039,"74116,5","81972,8","88357,3","77900,6",81495,96623,98270,"95667,57","97360,27","94349,68","97853,7","101730,78","99156,46","116846,22","124356,38","104611,63",112358
305,GENERAL SAN MARTIN,ETRURIA ,Municipio,-32.940109252930,-63.246910095215,http://www.etruria.gov.ar/,4069,166581,195464,176842,186634,200982,213230,205599,199139,200407,213081,204994,220875,218233,242222,230361,233617,280105,293199,275828,266884,281023,268378,285369,248413,321345,318459,324834,312586,385497,386861,369601,377097,384260,370276,412770,399552,447967,387260,381037,364085,476142,472185,440264,470836,457512,"494480,2","505894,8","493091,6",545373,587849,518273,542192,642840,653792,"636485,2",647747,"627717,2","651029,76","676824,34","659690,48","777388,78","827354,54","695990,88",747531
306,RIO SECO,EUFRASIO LOZA ,Comuna,-29.925180435181,-63.589378356934,,294,16850,19771,17887,18878,20329,21568,20796,20143,20271,21553,20735,22342,22074,24501,23301,23630,28333,29657,27900,26995,28426,27147,28865,25127,32504,32212,35271,32401,39958,40099,"71156,61","72599,67","73978,66","38380,31","42784,92","41414,84",46433,40141,39496,37739,49354,48943,45635,48804,47423,"51254,4","52437,6","51110,4","56529,6","60932,4","53720,7",56200,66632,67768,"65973,72","67141,03","65064,88","67481,3","70154,99","68379,01","80578,82","85757,93","72141,67",77484
307,SANTA MARIA,FALDA DEL CARMEN ,Comuna,-31.583499908447,-64.460731506348,,990,37591,44109,39906,42116,45355,48118,46396,44938,45224,48085,46259,49843,49247,54661,51984,52719,63209,66164,62244,60226,63416,60563,64397,56057,72516,71864,44396,60180,74217,74479,"39890,63","40699,62","41472,68","71286,53","79467,54","76922,79",86244,74556,73358,70094,91668,90906,84761,90647,88081,"95198,6","97396,2","94931,1","104996,6","113174,2","99779,3",104384,123761,125870,"122537,77","124705,9","120849,72","125337,92","130303,96","127005,3","149664,88","159284,42","133993,95",143917
308,SAN JUSTO,FREYRE ,Municipio,-31.164190292358,-62.097980499268,,6604,232167,272421,246467,260114,280111,297183,286546,277543,279310,296974,285702,307837,304155,337590,321057,325595,390387,408635,384426,371959,391665,374043,397722,346216,447862,443841,432680,429159,529261,531135,507438,517729,527563,508364,566705,548559,615029,531683,523140,499865,653711,648279,604453,646426,628134,"678887,9","694559,4","676982,2",748760,807077,711555,744393,882575,897613,"873851,3","889312,9","861813,4","893819,93","929234,16","905711,53","1067302,35","1135901,97","955548,53",1026310
309,MARCOS JUAREZ,GENERAL BALDISSERA ,Municipio,-33.120731353760,-62.303119659424,,2360,126093,147957,133860,141273,152133,161405,155628,150738,151698,161292,155170,167191,165192,183350,174371,176836,212026,221937,208788,202018,212720,203149,216010,188036,243242,241058,245386,236451,291603,292635,279579,285249,290667,280090,312233,302235,338858,292937,288230,275406,360170,357177,333031,356156,346077,"374041,7","382676,1","372990,6",412539,444669,392040,410133,486266,494551,"481459,2","489977,9","474826,7","492461,15","511973,05","499012,42","588043,43","625839,24","526471,28",565458
310,JUAREZ CELMAN,GENERAL CABRERA ,Municipio,-32.814109802246,-63.874340057373,http://www.generalcabrera.gob.ar/,11320,343858,403480,365039,385253,414869,440153,424401,411066,413683,439846,423151,455933,450481,499999,475514,482235,578198,605225,569369,550905,580091,553991,589062,512777,663324,657368,638291,634798,782866,785636,750585,765807,780353,751956,838252,811409,909730,786447,773809,739382,966947,958911,894086,956172,929113,"1004188,4","1027369,1","1001367,5",1107541,1193802,1052507,1101082,1305476,1327718,"1292571,7","1315441,9","1274765,6","1322108,65","1374492,19","1339696,82","1578718,05","1680188,33","1413415,53",1518083
311,JUAREZ CELMAN,GENERAL DEHEZA ,Municipio,-32.757251739502,-63.789020538330,http://www.generaldeheza.gob.ar/,10156,316128,370942,335601,354184,381412,404658,390175,377916,380321,404374,389026,419166,414152,459677,437166,443345,531569,556417,523452,506478,533310,509314,541558,471424,609831,604355,585970,583332,719394,721940,689730,703718,717085,690990,770289,745624,835972,722685,711071,679435,888550,881167,821597,878649,853784,"922772,3","944073,5","920181,1",1017746,1097012,967174,1011810,1199633,1220073,"1187774,4","1208791,4",1171413,"1214916,62","1263053,08","1231079,8","1450721,01","1543964,42","1298820,65",1395003
312,TERCERO ARRIBA,GENERAL FOTHERINGHAM ,Comuna,-32.322971343994,-63.869701385498,,376,17531,20571,18611,19642,21152,22440,21637,20958,21091,22425,21574,23245,22967,25492,24243,24586,29479,30856,29028,28087,29575,28244,30032,26143,33819,33515,36779,33737,41606,41753,"55794,57","56926,08","58007,36","39963,47","44549,77","43123,17",48349,41797,41125,39295,51389,50962,47517,50817,49379,"53368,6","54600,6","53218,7","58861,4","63445,8","55936,6",58518,69381,70563,"68695,08","69910,54","67748,76","70264,85","73048,83","71199,59","83902,63","89295,37","75117,45",80680
313,PTE.ROQUE SAENZ PEÑA,GENERAL LEVALLE ,Municipio,-34.007270812988,-63.922920227051,http://www.generallevalle.com.ar,5759,213527,250551,226680,239232,257623,273324,263542,255261,256886,273133,262766,283123,279737,310486,295281,299455,359045,375828,353563,342098,360221,344014,365792,318421,411907,408208,397071,394423,486422,488143,466365,475823,484861,467217,520836,504157,565248,488647,480795,459404,600799,595806,555528,594104,577291,"623938,1","638341,1","622185,8",688155,741752,653960,684141,811139,824959,803121,"817331,1","792057,4","821473,33","854021,09","832401,49","980913,92","1043961,02","878205,56",943239
314,MARCOS JUAREZ,GENERAL ROCA ,Municipio,-32.730541229248,-61.914821624756,http://www.roca.gov.ar/,2675,136053,159643,144433,152431,164149,174153,167921,162645,163680,174032,167426,180397,178240,197832,188144,190804,228773,239466,225280,217974,229522,219195,233072,202888,262455,260098,249223,250090,308423,309515,295706,301703,307433,296246,330244,319668,358404,309834,304855,291292,380945,377779,352241,376700,366040,"395617,2","404749,6","394505,4",436335,470319,414653,433790,514315,523077,"509230,7","518240,8","502215,7","520867,26","541504,65","527796,42","621962,91","661938,86","556839,17",598074
315,CRUZ DEL EJE,GUANACO MUERTO ,Comuna,-30.478109359741,-65.061889648438,,701,24498,28747,26008,27447,29557,31359,30237,29287,29473,31337,30148,32483,32095,35623,33878,34357,41194,43120,40565,39250,41329,39469,41968,36533,47259,46835,51527,47188,58194,58400,"43329,35","44208,06","45047,77","55896,44","62311,25","60315,88",67625,58460,57523,54964,71880,71282,66463,71077,69065,"74646,1","76369,2","74436,3","82328,8",88741,"78237,9",81849,97042,98696,"96083,01","97783,07","94759,4","98278,63","102173,56","99587,04","117353,63","124896,4","105065,91",112846
316,MINAS,GUASAPAMPA ,Comuna,-31.074399948120,-65.348052978516,,396,17918,21025,19022,20075,21618,22935,22115,21420,21556,22919,22050,23758,23474,26054,24778,25128,30129,31537,29669,28707,30227,28867,30695,26720,34565,34254,44268,36645,45193,45353,"61731,97","62983,89","64180,24","43408,46","48390,11","46840,54",52516,45400,44670,42683,55819,55355,51613,55197,53635,"57969,2","59307,4","57806,3","63935,5","68915,1","60758,5",63563,75362,76646,"74616,84","75937,08","73588,94","76321,93","79345,9","77337,25","91135,33","96992,95","81592,84",87635
317,MARCOS JUAREZ,GUATIMOZIN ,Municipio,-33.461799621582,-62.435810089111,,2592,134212,157484,142480,150369,161929,171798,165649,160444,161466,171678,165161,177957,175829,195156,185599,188223,225678,236227,222232,215026,226417,216230,229919,200143,258904,256579,245201,246496,303992,305067,291457,297368,303016,291989,325498,315075,353254,305382,300475,287106,375471,372351,347179,371287,360780,"389932,5","398933,7","388836,7",430065,463560,408695,427557,506924,515561,"501913,5","510794,2","494999,3","513382,89","533723,74","520212,49","613025,9","652427,42","548837,91",589481
318,RIO SECO,GUTEMBERG ,Comuna,-29.720399856567,-63.514881134033,,709,26883,31544,28538,30119,32434,34411,33179,32137,32341,34387,33082,35645,35218,39090,37175,37701,45203,47316,44513,43069,45351,43311,46053,40088,51858,51393,57866,52209,64387,64615,"29701,54","30303,89","30879,49","61844,68","68942,12","66734,42",74821,64681,63642,60811,79527,78866,73534,78640,76415,"82589,6","84496,1","82357,5","91089,9","98184,4","86563,6",90559,107369,109198,"106307,73","108188,7","104843,27",108737,"113045,29","110183,54","129841,87","138187,31","116246,55",124855
319,TERCERO ARRIBA,HERNANDO ,Municipio,-32.426769256592,-63.731338500977,http://www.hernando.gov.ar/,10913,324649,380941,344647,363731,391693,415566,400694,388104,390574,415276,399513,430465,425316,472068,448950,455296,545898,571415,537563,520130,547686,523044,556156,484132,626272,620647,603441,599599,739455,742072,708964,723343,737083,710260,791771,766416,859284,742838,730901,698383,913330,905739,844509,903152,877593,"948506,1","970401,4","945841,7",1046129,1127605,994146,1040026,1233087,1254096,"1220899,3","1242500,3","1204079,5","1248796,32","1298276,14","1265410,21","1491176,46","1587020,1","1335041,15",1433904
320,JUAREZ CELMAN,HUANCHILLAS ,Municipio,-33.667209625244,-63.636161804199,http://www.huanchilla.gov.ar/,1110,99311,116531,105428,111266,119820,127122,122573,118722,119477,127034,122212,131680,130105,144407,137335,139276,166992,174797,164442,159109,167538,160000,170130,148097,191577,189857,184384,183351,226117,226917,216794,221190,225392,217189,242115,234361,262760,227152,223501,213558,279286,276965,258241,276174,268358,"290042,6","296737,9","289227,5",319894,344809,303999,318029,377064,383489,"373337,1","379942,8","368194,2","381868,38","396998,47","386948,43","455985,6","485293,55","408240,81",438472
321,PUNILLA,HUERTA GRANDE ,Municipio,-31.075609207153,-64.491416931152,http://www.huertagrande.gov.ar/,6072,208340,244464,221173,233420,251364,266684,257139,249060,250645,266497,256382,276245,272941,302943,288108,292180,350323,366698,344974,333787,351470,335656,356906,310686,401900,398291,396466,387771,478219,479911,458500,467798,476684,459337,512051,495655,555714,480406,472686,451656,590666,585758,546158,584084,567555,613415,"627575,1","611692,2",676549,729241,642931,672603,797459,811045,"789575,8","803546,2","778698,8","807618,63","839617,45","818363,47","964370,14","1026353,91","863394,02",927331
322,GENERAL ROCA,HUINCA RENANCO ,Municipio,-34.840850830078,-64.375419616699,http://www.huincarenanco.org.ar/,8980,294970,346115,313140,330479,355885,377574,364062,352623,354867,377311,362989,391111,386433,428912,407907,413673,495992,519177,488419,472580,497616,475227,505312,439873,569016,563906,531566,539369,665177,667531,637749,650683,663042,638914,712237,689429,772970,668220,657482,628230,821585,814757,759678,812430,789439,"853228,4","872924,3","850831,7",941044,1014337,894283,935556,1109223,1128122,"1098258,9",1117691,"1083129,6","1123355,54","1167864,24","1138299,67","1341388,75","1427604,95","1200936,22",1289869
323,UNION,IDIAZABAL ,Municipio,-32.812519073486,-63.032341003418,,1600,110871,130095,117700,124218,133767,141919,136840,132541,133384,141820,136437,147007,145249,161215,153321,155488,186429,195143,183582,177629,187040,178624,189932,165335,213877,211956,206524,204912,252708,253602,242288,247201,251897,242730,270586,261921,293659,253864,249784,238671,312129,309535,288610,308651,299916,"324150,4","331633,1","323239,5",357513,385357,339748,355427,421406,428585,"417240,1","424622,6","411492,3","426774,6","443683,92","432452,03","509607,71","542362,16","456248,32",490035
