COMUNAS 	2011 JUL	2011 AGO	2011 SEP	
LAS ISLETILLAS 	35250,74	35965,62	36648,77	LAS ISLETILLAS 
LAS PALMAS 	33769,34	34454,18	35108,62	LAS PALMAS 
LAS PEÑAS SUD 	30172,79	30784,7	31369,43	LAS PEÑAS SUD 
LAS PLAYAS 	46412,47	47353,71	48253,17	LAS PLAYAS 
LAS RABONAS 	58632,07	59821,12	60957,39	LAS RABONAS 
LAS SALADAS 	30614,05	31234,9	31828,19	LAS SALADAS 
LEGUIZAMON 	25865,21	26389,75	26891,01	LEGUIZAMON 
LOS CEDROS 	73304,02	74790,62	76211,23	LOS CEDROS 
LOS CHAÑARITOS 	34501,61	35201,3	35869,93	LOS CHAÑARITOS 
LOS CHAÑARITOS (C.D.EJE) 	54998,96	56114,34	57180,2	LOS CHAÑARITOS (C.D.EJE) 
LOS HORNILLOS 	76531,55	78083,61	79566,76	LOS HORNILLOS 
LOS HOYOS 	36560,8	37302,25	38010,78	LOS HOYOS 
LOS MISTOLES 	30753,72	31377,4	31973,4	LOS MISTOLES 
LOS MOLINOS 	40470,47	41291,21	42075,51	LOS MOLINOS 
LOS POZOS 	28726,57	29309,14	29865,85	LOS POZOS 
LOS REARTES 	84488,01	86201,42	87838,77	LOS REARTES 
LOS TALARES 	28826,03	29410,62	29969,26	LOS TALARES 
LUTTI 	32440,6	33098,5	33727,18	LUTTI 
LUYABA 	96968,19	98934,7	100813,91	LUYABA 
MALENA 	36770,73	37516,44	38229,05	MALENA 
MAQUINISTA GALLINI 	29133,97	29724,81	30289,41	MAQUINISTA GALLINI 
MAYU SUMAJ 	74482,36	75992,87	77436,31	MAYU SUMAJ 
MEDIA NARANJA 	75385,1	76913,9	78374,84	MEDIA NARANJA 
MI GRANJA 	79403,42	81013,72	82552,53	MI GRANJA 
NICOLAS BRUZZONE 	33938,71	34626,98	35284,7	NICOLAS BRUZZONE 
OLIVARES DE SAN NICOLAS 	60437,89	61663,57	62834,84	OLIVARES DE SAN NICOLAS 
ONAGOITY 	26575,44	27114,39	27629,41	ONAGOITY 
PACHECO DE MELO 	25326,31	25839,93	26330,74	PACHECO DE MELO 
