DEPARTAMENTO MUNICIPIOS ,"","","",1° ,01 - ENERO2° ,"",TOTAL ENERO,1° ,02 - FEBRERO2° ,"",TOTAL FEBRERO,"",1° ,03- MARZO2° ,"",TOTAL MARZO ,TOTAL GENERA
CALAMUCHITA,"","","","","","","","","","","","","","","","",""
EMBALSE ,"","","",3 53.468 ,521.319 ,"",874.787 ,387.704 ,555.216 ,"",942.920 ,"",349.975 ,481.344 ,"",831.319 ,2.649.026 
LA CRUZ ,"","","",1 45.177 ,214.118 ,"",359.295 ,159.239 ,228.040 ,"",387.279 ,"",143.743 ,197.699 ,"",341.442 ,1.088.016 
LOS CONDORES ,"","","",1 89.697 ,279.778 ,"",469.475 ,208.070 ,297.969 ,"",506.040 ,"",187.822 ,258.324 ,"",446.146 ,1.421.661 
RIO DE LOS SAUCES ,"","","",134.611 ,198.534 ,"",333.144 ,147.649 ,211.442 ,"",359.091 ,"",133.281 ,183.310 ,"",316.590 ,1.008.826 
SAN AGUSTIN ,"","","",2 04.223 ,301.203 ,"",505.426 ,224.004 ,320.787 ,"",544.791 ,"",202.205 ,278.106 ,"",480.311 ,1.530.528 
SANTA ROSA DE CALAMUCHITA ,"","","",4 66.658 ,688.259 ,"",1.154.917 ,5 11.857 ,733.010 ,"",1.244.867 ,"",4 62.046 ,635.482 ,"",1.097.528 ,3.497.312 
VILLA DEL DIQUE ,"","","",1 91.495 ,282.430 ,"",473.924 ,210.042 ,300.793 ,"",510.836 ,"",189.602 ,260.772 ,"",450.375 ,1.435.134 
VILLA GRAL. BELGRANO ,"","","",3 27.585 ,483.145 ,"",810.729 ,359.313 ,514.559 ,"",873.873 ,"",324.348 ,446.097 ,"",770.445 ,2.455.047 
VILLA RUMIPAL ,"","","",1 74.838 ,257.863 ,"",432.700 ,191.772 ,274.629 ,"",466.401 ,"",173.110 ,238.089 ,"",411.199 ,1.310.300 
VILLA YACANTO ,"","","",1 43.685 ,211.917 ,"",355.603 ,157.602 ,225.696 ,"",383.299 ,"",142.266 ,195.667 ,"",337.933 ,1.076.834 
Total CALAMUCHITA ,"",2 ,.331.436 ,"",3.438.564 ,"",5.770.000 ,2.557.252 ,3.662.143 ,"",6.219.395 ,"",2.308.397 ,3.174.892 ,"",5.483.289 ,17.472.684 
CAPITAL,"","","","","","","","","","","","","","","","",""
CORDOBA ,"","",3 ,8.184.262 ,56.316.800 ,"",94.501.062 ,41.882.670 ,59.978.575 ,"",101.861.244 ,"",37.806.928 ,51.998.358 ,"",89.805.286 ,286.167.592 
