DEPARTAMENTO ,COMUNAS ,1° ,04- ABRIL2° , TOTAL ABRIL , TOTAL GENERAL 
CALAMUCHITA,"","","","",""
"",AMBOY ,25.974 ,41.223 ,67.197 ,6 7.197 
"",CALMAYO ,2 1.457 ,34.054 ,55.511 ,5 5.511 
"",CAÑADA DEL SAUCE ,2 0.768 ,32.961 ,53.729 ,5 3.729 
"",LA CUMBRECITA ,5 0.242 ,79.740 ,129.982 ,1 29.982 
"",LAS BAJADAS ,2 4.290 ,38.550 ,62.839 ,6 2.839 
"",LAS CALERAS ,2 8.577 ,45.354 ,73.931 ,7 3.931 
"",LOS MOLINOS ,3 1.639 ,50.214 ,81.853 ,8 1.853 
"",LOS REARTES ,6 6.051 ,104.829 ,170.880 ,1 70.880 
"",LUTTI ,2 5.361 ,40.251 ,65.612 ,6 5.612 
"",SAN IGNACIO ,2 8.424 ,45.111 ,73.534 ,7 3.534 
"",SEGUNDA USINA ,2 1.457 ,34.054 ,55.511 ,5 5.511 
"",VILLA AMANCAY ,3 5.314 ,56.046 ,91.360 ,9 1.360 
"",VILLA C.PAR. LOS REARTES ,4 9.132 ,77.977 ,127.109 ,1 27.109 
"",VILLA QUILLINZO ,20.577 ,32.657 ,53.234 ,5 3.234 
Total CALAMUCHITA ,"",4 49.263 ,713.018 ,1.162.281 ,1.162.281 
COLON,"","","","",""
"",COLONIA VICENTE AGUERO ,3 0.337 ,48.147 ,78.483 ,7 8.483 
"",EL MANZANO ,6 3.788 ,101.236 ,165.024 ,1 65.024 
"",MI GRANJA ,62.076 ,98.520 ,160.596 ,1 60.596 
"",TINOCO ,34.562 ,54.853 ,89.415 ,8 9.415 
"",VILLA CERRO AZUL ,2 5.165 ,39.938 ,65.103 ,6 5.103 
Total COLON ,"",215.927 ,342.695 ,558.622 ,558.622 
CRUZ DEL EJE,"","","","",""
"",ALTO DE LOS QUEBRACHOS,2 3.021 ,36.536 ,59.558 ,5 9.558 
"",BAÑADO DE SOTO ,49.130 ,77.973 ,127.103 ,1 27.103 
"",CRUZ DE CAÑA ,2 9.330 ,46.549 ,75.879 ,7 5.879 
"",GUANACO MUERTO ,4 3.619 ,69.227 ,112.846 ,1 12.846 
"",LA BATEA ,2 5.871 ,41.060 ,66.931 ,6 6.931 
"",LA HIGUERA ,3 6.352 ,57.694 ,94.046 ,9 4.046 
"",LAS CAÑADAS ,2 5.605 ,40.638 ,66.243 ,6 6.243 
"",LAS PLAYAS ,3 6.284 ,57.586 ,93.871 ,9 3.871 
"",LOS CHAÑARITOS (C.D.EJE) ,4 2.997 ,68.240 ,111.237 ,1 11.237 
"",MEDIA NARANJA ,5 8.935 ,93.534 ,152.469 ,1 52.469 
"",PASO VIEJO ,64.483 ,102.340 ,166.824 ,1 66.824 
"",TUCLAME ,4 6.583 ,73.932 ,120.515 ,1 20.515 
Total CRUZ DEL EJE ,"",4 82.212 ,765.310 ,1.247.522 ,1.247.522 
GENERAL ROCA,"","","","",""
"",NICOLAS BRUZZONE ,26.533 ,42.110 ,68.642 ,6 8.642 
"",ONAGOITY ,20.776 ,32.974 ,53.750 ,5 3.750 
"",PINCEN ,3 0.410 ,48.264 ,78.674 ,7 8.674 
"",RANQUELES ,1 9.817 ,31.451 ,51.268 ,5 1.268 
"",VILLA SARMIENTO ,3 3.248 ,52.769 ,86.018 ,8 6.018 
Total GENERAL ROCA ,"",1 30.784 ,207.567 ,338.351 ,338.351 
ISCHILIN,"","","","",""
"",AVELLANEDA ,3 4.604 ,54.920 ,89.525 ,8 9.525 
"",CAÑADA DE RIO PINTO ,25.600 ,40.629 ,66.229 ,6 6.229 
"",CHUÑA ,4 0.774 ,64.711 ,105.485 ,1 05.485 
"",COPACABANA ,2 3.837 ,37.832 ,61.669 ,6 1.669 
"",LOS POZOS ,22.458 ,35.643 ,58.100 ,5 8.100 
"",OLIVARES DE SAN NICOLAS ,4 7.249 ,74.988 ,122.238 ,1 22.238 
"",VILLA GUTIERREZ ,30.428 ,48.292 ,78.719 ,7 8.719 
Total ISCHILIN ,"",224.950 ,357.015 ,581.965 ,581.965 
JUAREZ CELMAN,"","","","",""
"",ASSUNTA ,2 0.270 ,32.170 ,52.440 ,5 2.440 
"",EL RASTREADOR ,2 0.622 ,32.730 ,53.352 ,5 3.352 
"",PACHECO DE MELO ,1 9.800 ,31.424 ,51.223 ,5 1.223 
"",PASO DEL DURAZNO ,2 3.327 ,37.023 ,60.350 ,6 0.350 
Total JUAREZ CELMAN ,"",8 4.019 ,133.346 ,217.365 ,217.365 
MARCOS JUAREZ,"","","","",""
"",COLONIA BARGE ,24.115 ,38.272 ,62.387 ,6 2.387 
"",SALADILLO ,2 4.115 ,38.272 ,62.387 ,6 2.387 
"",VILLA ELISA ,1 7.976 ,28.529 ,46.506 ,4 6.506 
Total MARCOS JUAREZ ,"",6 6.206 ,105.074 ,171.280 ,171.280 
MINAS,"","","","",""
"",CIENAGA DEL CORO ,46.342 ,73.549 ,119.892 ,1 19.892 
DEPARTAMENTO COMUNAS ,"",1° ,04- ABRIL 2° ,"", TOTAL ABRIL , TOTAL GENERAL 
EL CHACHO ,"",3 1.783 ,50.443 ,"",82.226 ,8 2.226 
ESTANCIA DE GUADALUPE ,"",3 9.079 ,62.022 ,"",101.101 ,1 01.101 
GUASAPAMPA ,"",33.874 ,53.761 ,"",87.635 ,8 7.635 
LA PLAYA ,"",3 1.485 ,49.969 ,"",81.454 ,8 1.454 
TALAINI ,"",26.536 ,42.114 ,"",68.650 ,6 8.650 
TOSNO ,"",2 8.961 ,45.964 ,"",74.925 ,7 4.925 
Total MINAS ,"",2 38.061 ,377.822 ,"",615.883 ,615.883 
POCHO,"","","","","",""
CHANCANI ,"",4 3.287 ,68.701 ,"",111.988 ,1 11.988 
LAS PALMAS ,"",2 6.400 ,41.899 ,"",68.300 ,6 8.300 
LOS TALARES ,"",2 2.536 ,35.766 ,"",58.302 ,5 8.302 
SAN GERONIMO ,"",39.006 ,61.906 ,"",100.913 ,1 00.913 
TALA CAÑADA ,"",3 7.415 ,59.381 ,"",96.796 ,9 6.796 
VILLA DE POCHO ,"",3 3.608 ,53.339 ,"",86.947 ,8 6.947 
Total POCHO ,"",2 02.253 ,320.992 ,"",523.245 ,523.245 
PTE.ROQUE SAENZ PEÑA,"","","","","",""
LEGUIZAMON ,"",20.221 ,32.092 ,"",52.313 ,5 2.313 
RIO BAMBA ,"",22.222 ,35.269 ,"",57.491 ,5 7.491 
SAN JOAQUIN ,"",22.303 ,35.396 ,"",57.699 ,5 7.699 
Total PTE.ROQUE SAENZ PEÑA ,"",64.746 ,102.757 ,"",167.503 ,167.503 
PUNILLA,"","","","","",""
CABALANGO ,"",2 4.785 ,39.335 ,"",64.120 ,6 4.120 
CASA GRANDE ,"",3 8.769 ,61.531 ,"",100.300 ,1 00.300 
CHARBONIER ,"",3 6.586 ,58.066 ,"",94.652 ,9 4.652 
CUESTA BLANCA ,"",3 0.704 ,48.730 ,"",79.434 ,7 9.434 
ESTANCIA VIEJA ,"",43.431 ,68.928 ,"",112.358 ,1 12.358 
MAYU SUMAJ ,"",5 8.229 ,92.414 ,"",150.643 ,1 50.643 
SAN ROQUE ,"",5 4.196 ,86.014 ,"",140.211 ,1 40.211 
TALA HUASI ,"",2 2.010 ,34.932 ,"",56.942 ,5 6.942 
VILLA PARQUE SIQUIMAN ,"",6 5.184 ,103.453 ,"",168.637 ,1 68.637 
Total PUNILLA ,"",3 73.894 ,593.402 ,"",967.296 ,967.296 
RIO CUARTO,"","","","","",""
CHUCUL ,"",3 0.428 ,48.291 ,"",78.719 ,7 8.719 
"LA CAROLINA ""EL POTOSI"" ","",23.932 ,37.983 ,"",61.915 ,6 1.915 
LAS ALBAHACAS ,"",3 5.548 ,56.417 ,"",91.965 ,9 1.965 
LAS PEÑAS SUD ,"",2 3.589 ,37.437 ,"",61.025 ,6 1.025 
MALENA ,"",2 8.747 ,45.623 ,"",74.370 ,7 4.370 
SUCO ,"",2 8.785 ,45.684 ,"",74.469 ,7 4.469 
VILLA EL CHACAY ,"",2 3.894 ,37.922 ,"",61.816 ,6 1.816 
WASHINGTON ,"",3 8.031 ,60.359 ,"",98.390 ,9 8.390 
Total RIO CUARTO ,"",2 32.953 ,369.716 ,"",602.670 ,602.670 
RIO PRIMERO,"","","","","",""
ATAHONA ,"",26.378 ,41.864 ,"",68.243 ,6 8.243 
CAÑADA DE MACHADO ,"",2 6.167 ,41.530 ,"",67.697 ,6 7.697 
CAPILLA DE LOS REMEDIOS ,"",5 7.107 ,90.633 ,"",147.739 ,1 47.739 
CHALACEA ,"",2 6.294 ,41.731 ,"",68.025 ,6 8.025 
COLONIA LAS CUATRO ESQ ,"",23.301 ,36.981 ,"",60.282 ,6 0.282 
COMECHINGONES ,"",3 2.322 ,51.297 ,"",83.619 ,8 3.619 
DIEGO DE ROJAS ,"",39.993 ,63.472 ,"",103.465 ,1 03.465 
EL CRISPIN ,"",2 5.282 ,40.125 ,"",65.408 ,6 5.408 
ESQUINA ,"",3 0.467 ,48.353 ,"",78.820 ,7 8.820 
KILOMETRO 658 ,"",3 1.731 ,50.360 ,"",82.092 ,8 2.092 
LA POSTA ,"",2 8.064 ,44.540 ,"",72.605 ,7 2.605 
LA QUINTA ,"",2 6.167 ,41.530 ,"",67.697 ,6 7.697 
LAS GRAMILLAS ,"",2 1.067 ,33.435 ,"",54.503 ,5 4.503 
LAS SALADAS ,"",2 3.934 ,37.984 ,"",61.918 ,6 1.918 
MAQUINISTA GALLINI ,"",22.776 ,36.148 ,"",58.924 ,5 8.924 
PLAZA DE MERCEDES ,"",2 0.730 ,32.900 ,"",53.630 ,5 3.630 
SAGRADA FAMILIA ,"",20.224 ,32.097 ,"",52.322 ,5 2.322 
Total RIO PRIMERO ,"",482.006 ,764.983 ,"",1.246.989 ,1.246.989 
RIO SECO,"","","","","",""
CERRO COLORADO ,"",3 3.468 ,53.117 ,"",86.585 ,8 6.585 
CHAÑAR VIEJO ,"",2 5.759 ,40.881 ,"",66.640 ,6 6.640 
EUFRASIO LOZA ,"",29.950 ,47.534 ,"",77.484 ,7 7.484 
GUTEMBERG ,"",4 8.261 ,76.594 ,"",124.855 ,1 24.855 
LA RINCONADA ,"",3 8.334 ,60.838 ,"",99.172 ,9 9.172 
LOS HOYOS ,"",2 8.583 ,45.363 ,"",73.945 ,7 3.945 
PUESTO DE CASTRO ,"",2 2.141 ,35.139 ,"",57.280 ,5 7.280 
RAYO CORTADO ,"",4 7.379 ,75.194 ,"",122.572 ,1 22.572 
SANTA ELENA ,"",3 0.259 ,48.024 ,"",78.283 ,7 8.283 
VILLA CANDELARIA NORTE ,"",4 3.187 ,68.541 ,"",111.728 ,1 11.728 
DEPARTAMENTO ,COMUNAS ,1° ,04- ABRIL 2° ,"", TOTAL ABRIL , TOTAL GENERAL 
Total RIO SECO ,"",347.320 ,551.225 ,"",898.545 ,898.545 
RIO SEGUNDO,"","","","","",""
"",COLONIA VIDELA ,19.850 ,31.504 ,"",51.355 ,5 1.355 
"",IMPIRA ,23.220 ,36.852 ,"",60.072 ,6 0.072 
"",LOS CHAÑARITOS ,2 6.973 ,42.808 ,"",69.781 ,6 9.781 
"",RINCON ,4 0.030 ,63.531 ,"",103.562 ,1 03.562 
Total RIO SEGUNDO ,"",110.073 ,174.696 ,"",284.769 ,284.769 
SAN ALBERTO,"","","","","",""
"",AMBUL ,5 4.128 ,85.906 ,"",140.034 ,1 40.034 
"",ARROYO LOS PATOS ,42.916 ,68.111 ,"",111.027 ,1 11.027 
"",LAS CALLES ,4 6.746 ,74.189 ,"",120.934 ,1 20.934 
"",LAS RABONAS ,4 5.837 ,72.748 ,"",118.585 ,1 18.585 
"",PANAHOLMA ,4 1.337 ,65.605 ,"",106.942 ,1 06.942 
"",SAN LORENZO ,5 7.602 ,91.419 ,"",149.021 ,1 49.021 
"",SAN VICENTE ,8 5.000 ,134.903 ,"",219.903 ,2 19.903 
"",SAUCE ARRIBA ,4 9.785 ,79.013 ,"",128.799 ,1 28.799 
Total SAN ALBERTO ,"",4 23.352 ,671.894 ,"",1.095.246 ,1.095.246 
SAN JAVIER,"","","","","",""
"",CONLARA ,3 3.882 ,53.774 ,"",87.656 ,8 7.656 
"",LA POBLACION ,36.514 ,57.951 ,"",94.465 ,9 4.465 
"",LOS HORNILLOS ,5 9.831 ,94.957 ,"",154.788 ,1 54.788 
"",LUYABA ,7 5.808 ,120.313 ,"",196.121 ,1 96.121 
Total SAN JAVIER ,"",2 06.035 ,326.995 ,"",533.030 ,533.030 
SAN JUSTO,"","","","","",""
"",COLONIA ANITA ,17.651 ,28.014 ,"",45.665 ,4 5.665 
"",COLONIA ITURRASPE ,18.166 ,28.830 ,"",46.996 ,4 6.996 
"",COLONIA LAS PICHANAS ,2 7.662 ,43.902 ,"",71.565 ,7 1.565 
"",COLONIA SAN PEDRO ,2 2.123 ,35.110 ,"",57.233 ,5 7.233 
"",COLONIA VALTELINA ,2 4.774 ,39.318 ,"",64.092 ,6 4.092 
"",PLAZA LUXARDO ,2 5.605 ,40.637 ,"",66.241 ,6 6.241 
"",TORO PUJIO ,29.997 ,47.607 ,"",77.604 ,7 7.604 
"",VILLA SAN ESTEBAN ,1 9.788 ,31.405 ,"",51.193 ,5 1.193 
Total SAN JUSTO ,"",1 85.765 ,294.824 ,"",480.589 ,480.589 
SANTA MARIA,"","","","","",""
"",DIQUE CHICO ,26.622 ,42.251 ,"",68.872 ,6 8.872 
"",FALDA DEL CARMEN ,5 5.629 ,88.288 ,"",143.917 ,1 43.917 
"",LA PAISANITA ,21.663 ,34.382 ,"",56.045 ,5 6.045 
"",LA RANCHERITA ,2 1.820 ,34.630 ,"",56.449 ,5 6.449 
"",LA SERRANITA ,3 2.790 ,52.041 ,"",84.831 ,8 4.831 
"",LOS CEDROS ,5 7.308 ,90.952 ,"",148.260 ,1 48.260 
"",POTRERO DE GARAY ,5 4.224 ,86.057 ,"",140.281 ,1 40.281 
"",RAFAEL GARCIA ,3 7.475 ,59.476 ,"",96.951 ,9 6.951 
"",SAN CLEMENTE ,2 3.420 ,37.170 ,"",60.590 ,6 0.590 
"",VALLE DE ANISACATE ,3 1.150 ,49.438 ,"",80.588 ,8 0.588 
"",VILLA CIUDAD DE AMERICA ,4 7.782 ,75.834 ,"",123.615 ,1 23.615 
"",VILLA DEL PRADO ,6 9.840 ,110.842 ,"",180.681 ,1 80.681 
"",VILLA LA BOLSA ,4 9.617 ,78.746 ,"",128.362 ,1 28.362 
"",VILLA LOS AROMOS ,48.602 ,77.135 ,"",125.736 ,1 25.736 
"",VILLA SAN ISIDRO ,60.041 ,95.289 ,"",155.330 ,1 55.330 
Total SANTA MARIA ,"",6 37.981 ,1.012.528 ,"",1.650.509 ,1.650.509 
SOBREMONTE,"","","","","",""
"",CAMINIAGA ,30.300 ,48.088 ,"",78.388 ,7 8.388 
"",CHUÑA HUASI ,2 7.964 ,44.382 ,"",72.346 ,7 2.346 
"",POZO NUEVO ,43.232 ,68.612 ,"",111.844 ,1 11.844 
Total SOBREMONTE ,"",1 01.496 ,161.082 ,"",262.578 ,262.578 
