TERCERO ARRIBA,"","","","","",""
"",GENERAL FOTHERINGHAM ,31.186 ,49.494 ,"",80.680 ,8 0.680 
"",LAS ISLETILLAS ,27.558 ,43.737 ,"",71.296 ,7 1.296 
"",PAMPAYASTA NORTE ,20.568 ,32.643 ,"",53.211 ,5 3.211 
"",PUNTA DEL AGUA ,2 3.326 ,37.021 ,"",60.347 ,6 0.347 
Total TERCERO ARRIBA ,"",1 02.639 ,162.896 ,"",265.535 ,265.535 
TOTORAL,"","","","","",""
"",CANDELARIA SUD ,2 8.396 ,45.067 ,"",73.463 ,7 3.463 
"",CAPILLA DE SITON ,35.830 ,56.865 ,"",92.695 ,9 2.695 
"",LA PAMPA ,4 6.139 ,73.226 ,"",119.365 ,1 19.365 
"",LOS MISTOLES ,24.043 ,38.158 ,"",62.200 ,6 2.200 
"",SIMBOLAR ,3 2.709 ,51.911 ,"",84.620 ,8 4.620 
Total TOTORAL ,"",167.116 ,265.227 ,"",432.343 ,432.343 
TULUMBA,"","","","","",""
"",CHURQUI CAÑADA ,2 5.088 ,39.817 ,"",64.906 ,6 4.906 
DEPARTAMENTO ,COMUNAS ,1° ,04- ABRIL2° , TOTAL ABRIL , TOTAL GENERAL 
"",EL RODEO ,31.954 ,50.714 ,82.668 ,8 2.668 
"",ROSARIO DEL SALADILLO ,3 0.986 ,49.178 ,80.164 ,8 0.164 
Total TULUMBA ,"",8 8.029 ,139.709 ,227.738 ,227.738 
UNION,"","","","",""
"",ALDEA SANTA MARIA ,23.747 ,37.688 ,61.435 ,6 1.435 
"",ANA ZUMARAN ,2 4.717 ,39.228 ,63.945 ,6 3.945 
"",COLONIA BREMEN ,2 1.634 ,34.335 ,55.970 ,5 5.970 
"",VILLA LOS PATOS ,17.605 ,27.940 ,45.544 ,4 5.544 
Total UNION ,"",8 7.703 ,139.191 ,226.894 ,226.894 
Total general ,"",5 .704.783 ,9.053.965 ,  14.758.748 , 14.758.748 
