MUNI	a	s	d
 MALVINAS ARGENTINAS 	1047213,6	1071387,4	1044270,7
 MANFREDI 	276386,3	282766,4	275609,7
 MARCOS JUAREZ 	2038510,7	2085567,6	2032784,2
 MARULL 	337641,6	345435,8	336692,8
 MATORRALES 	282401,1	288920	281607,5
 MATTALDI 	346776,4	354781,4	345801,9
 MELO 	301299,2	308254,4	300452,5
 MENDIOLAZA 	754485,8	771902,4	752366,6
 MINA CLAVERO 	869792,4	889870,7	867349,2
 MIRAMAR 	367097	375571,1	366065,4
 MONTE BUEY 	652665,2	667731,3	650831,1
 MONTE CRISTO 	962968,2	985197,3	960262,1
 MONTE DE LOS GAUCHOS 	263013	269084,4	262273,9
 MONTE RALO 	250425,6	256206,4	249721,9
 MORTEROS 	1393728	1425900,8	1389813,4
 NONO 	363895,8	372296	362873,2
 OBISPO TREJO 	402700,7	411996,6	401569
 OLAETA 	254931,4	260816,2	254215
 ONCATIVO 	1077724,6	1102602,8	1074697,1
 PASCO 	293927,5	300712,5	293101,5
 PILAR 	1143551,2	1169949	1140339,7
 PIQUILLIN 	313834,3	321078,8	312952,3
 PORTEÑA 	602247,4	616149,7	600556
 POZO DEL MOLLE 	609278,6	623343,1	607568,4
 QUEBRACHO HERRADO 	237128,2	242602,1	236461,9
 QUILINO 	590527,1	604158,8	588867,6
 REDUCCION 	322987,3	330443,2	322079,7
 RIO CEBALLOS 	1483283,4	1517523,5	1479117,1
 RIO CUARTO 	11006531,4	11260606,2	10975602,5
 RIO DE LOS SAUCES 	302056,3	309029	301207,5
 RIO PRIMERO 	757708	775198,9	755578,7
 RIO SEGUNDO 	1546920	1582630,1	1542574,9
 ROSALES 	251421,1	257224,9	250714,5
 SACANTA 	422405,7	432156,5	421218,7
 SAIRA 	267744,1	273924,7	266991,7
 SALDAN 	896932	917636,8	894412,5
 SALSACATE 	383579,9	392434,4	382501,9
 SALSIPUEDES 	810415,4	829123	808139
 SAMPACHO 	748167,2	765437,9	746065,8
 SAN AGUSTIN 	458260,9	468839,4	456974,1
 SAN ANTONIO DE ARREDON 	441835,7	452035	440595
 SAN BASILIO 	437350,8	447446,6	436121,8
 SAN CARLOS MINAS 	347360,6	355379	346384,4
 SAN ESTEBAN 	266756,5	272914,3	266006,9
 SAN FRANCISCO 	4547225,2	4652194,4	4534448,8
 SAN FRANCISCO DEL CHAÑA 	440662,1	450834,3	439423,7
 SAN JAVIER Y YACANTO 	320598,2	327998,9	319697,3
 SAN JOSE 	363280,2	371666,1	362259,3
 SAN MARCOS SIERRAS 	353244,3	361398,6	352251,6
 SAN PEDRO 	555756,5	568585,5	554194,7
 SANTA CATALINA 	471453,4	482336,5	470128,6
 SANTA EUFEMIA 	383700,4	392557,7	382622,1
 SANTA MARIA 	771256,8	789060,5	769089,5
 SANTA ROSA DE CALAMUCH 	1047142,8	1071315,1	1044200,2
 SANTA ROSA DE RIO PRIMER	796460,5	814846	794223,3
 SANTIAGO TEMPLE 	397170,6	406338,9	396055,5
 SEBASTIAN EL CANO 	402066,7	411348	400936,9
 SEEBER 	264815,3	270928,3	264071,2
 SERRANO 	438571,6	448695,6	437340,1
 SERREZUELA 	410774,5	420256,8	409620,1
 SILVIO PELLICO 	239302,5	244826,6	238630,1
 TANTI 	604827,8	618789,6	603129,1
 TICINO 	363806,7	372204,8	362784,4
 TIO PUJIO 	402210,8	411495,5	401081,5
 TOLEDO 	482047,3	493174,9	480693,7
 TOSQUITA 	243983,9	249616	243298,2
 TRANSITO 	426502,8	436348,2	425304,3
 UCACHA 	577101,4	590423,2	575481,6
 UNQUILLO 	1353757,3	1385007,5	1349953,1
 VALLE HERMOSO 	613745,1	627912,8	612021,3
 VICUÑA MACKENNA 	917797,5	938984	915220,4
 VILLA ALLENDE 	2039977,7	2087068,5	2034247
 VILLA CARLOS PAZ 	3940771,6	4031740,4	3929698,5
 VILLA CONCEPCION DEL TIO 	334888,4	342619	333947,3
 VILLA CURA BROCHERO 	619888,1	634197,6	618146,2
 VILLA DE LAS ROSAS 	481004,7	492108,2	479653
 VILLA DE MARIA 	589366,6	602971,5	587710,4
 VILLA DE SOTO 	829290	848433,3	826959,6
 VILLA DEL DIQUE 	429698,8	439618	428492,3
 VILLA DEL ROSARIO 	1242736,5	1271423,8	1239245,2
 VILLA DOLORES 	2295632,1	2348624,5	2289181
 VILLA FONTANA 	280124,6	286591	279337,4
 VILLA GIARDINO 	535682,1	548047,8	534178,7
 VILLA GRAL. BELGRANO 	735074,2	752042,7	733010,6
 VILLA HUIDOBRO 	633151,4	647767,1	631373,2
 VILLA MARIA 	5564040,3	5692480,6	5548405,6
 VILLA NUEVA 	1494888,4	1529396,4	1490689,6
 VILLA PQUE.SANTA ANA 	386566,3	395489,8	385480
 VILLA ROSSI 	248990	254737,7	248290,3
 VILLA RUMIPAL 	392321,6	401378	391219,2
 VILLA SANTA CRUZ DEL LAG 	354989	363183,5	353991,4
 VILLA SARMIENTO 	567104,8	580195,8	565511,1
 VILLA VALERIA 	426631,2	436479,6	425432,3
 VILLA YACANTO 	322418,9	329861,6	321512,8
 YCHO CRUZ 	348054,8	356089,3	347076,7
ALTO ALEGRE 	280779,5	287261	279990,5
ANISACATE 	425177,3	434992,1	423983,5
BALLESTEROS 	480873,7	491974,2	479522,4
BALLESTEROS SUR 	252772,8	258607,8	252062,5
BELL VILLE 	2539851,7	2598481,7	2532716,4
BENJAMIN GOULD 	262481,2	268540,3	261743,6
CANALS 	839506,6	858885,8	837149,5
CAÑADA DE LUQUE 	302729,6	309717,8	301878,8
CHILIBROSTE 	252492,5	258321	251783
CINTRA 	306200,6	313268,9	305340,1
COLONIA BISMARCK 	239991,5	245531,5	239317,1
IDIAZABAL 	324150,4	331633,1	323239,5
JUSTINIANO POSSE 	781397,5	799435,3	779202,7
LABORDE 	630610,4	645167,4	628839,3
LAS ARRIAS 	310701,2	317873,4	309828
LAS PEÑAS 	335210,6	342948,6	334268,6
LAS PERDICES 	561737,1	574704,3	560159,6
LOS ZORROS 	261171,4	267200,3	260437,5
LUCIO V. MANSILLA 	283145	289681,2	282349,4
MONTE LEÑA 	246695,2	252389,9	246002
MONTE MAIZ 	734534,6	751490,6	732471,4
MORRISON 	442181,5	452388,8	440938,9
NOETINGER 	558080,1	570962,8	556512,8
OLIVA 	1065464,7	1090059,9	1062472,6
ORDOÑEZ 	397482,3	406657,8	396366,4
PAMPAYASTA SUD 	294627	301428,1	293799
PASCANAS 	407887,6	417303,3	406742,4
PUEBLO ITALIANO 	326872,3	334417,8	325953,7
RIO TERCERO 	3331505,2	3408409,6	3322145,2
SAN ANTONIO DE LITIN 	303476,2	310481,6	302623,3
SAN JOSE DE LA DORMIDA 	585272,1	598782,5	583627,4
SAN JOSE DE LAS SALINAS 	277057	283452,6	276278,4
SAN MARCOS SUD 	428981	438883,6	427776,5
SAN PEDRO NORTE 	290383,1	297086,3	289567,1
SARMIENTO 	311770	318966,9	310893,9
SINSACATE 	310795,5	317969,9	309922,1
TANCACHA 	590335,9	603963,2	588678,9
VIAMONTE 	336722,2	344495	335775,9
VILLA ASCASUBI 	374759,5	383410,4	373706,4
VILLA DEL TOTORAL 	836842,4	856160,1	834490,8
VILLA TULUMBA 	344589	352543,5	343620,6
WENCESLAO ESCALANTE 	316886,1	324201,1	315997,6
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
	261965156,6	268012362,7	261229130,3
