DEPARTAMENTO MUNICIPIOS ,"",1° ,04- ABRIL2° ,TOTAL ABRIL , TOTAL GENERAL 
"",GUATIMOZIN ,"2 27.855,56 ","361.625,61 ","5 89.481,18 ","5 89.481,18 "
"",INRIVILLE ,"2 83.606,69 ","450.107,26 ","7 33.713,95 ","7 33.713,95 "
"",ISLA VERDE ,"3 01.536,76 ","478.563,76 ","7 80.100,51 ","7 80.100,51 "
"",LEONES ,"5 51.476,93 ","875.239,47 ","1.426.716,40 ","1.426.716,40 "
"",LOS SURGENTES ,"2 41.583,63 ","383.413,19 ","6 24.996,81 ","6 24.996,81 "
"",MARCOS JUAREZ ,"1 .191.195,87 ","1.890.527,30 ","3.081.723,17 ","3.081.723,17 "
"",MONTE BUEY ,"3 81.382,41 ","605.285,41 ","9 86.667,83 ","9 86.667,83 "
"",SAIRA ,"1 56.455,24 ","248.307,39 ","4 04.762,63 ","4 04.762,63 "
Total MARCOS JUAREZ ,"","6 .210.064,87 ","9.855.887,23 ","16.065.952,10 ","16.065.952,10 "
MINAS,"","","","",""
"",SAN CARLOS MINAS ,"2 02.978,80 ","322.144,14 ","5 25.122,94 ","5 25.122,94 "
Total MINAS ,"","2 02.978,80 ","322.144,14 ","525.122,94 ","525.122,94 "
POCHO,"","","","",""
"",SALSACATE ,"2 24.143,41 ","355.734,12 ","5 79.877,54 ","5 79.877,54 "
Total POCHO ,"","2 24.143,41 ","355.734,12 ","579.877,54 ","579.877,54 "
PTE.ROQUE SAENZ PEÑA,"","","","",""
"",GENERAL LEVALLE ,"3 64.595,84 ","578.643,74 ","9 43.239,58 ","9 43.239,58 "
"",LA CESIRA ,"1 78.066,84 ","282.606,79 ","4 60.673,63 ","4 60.673,63 "
"",LABOULAYE ,"9 82.723,08 ","1.559.662,75 ","2.542.385,83 ","2.542.385,83 "
"",MELO ,"1 76.063,04 ","279.426,60 ","4 55.489,64 ","4 55.489,64 "
"",ROSALES ,"1 46.916,93 ","233.169,31 ","3 80.086,23 ","3 80.086,23 "
"",SERRANO ,"2 56.277,62 ","406.733,76 ","6 63.011,38 ","6 63.011,38 "
"",VILLA ROSSI ,"1 45.496,36 ","230.914,75 ","3 76.411,11 ","3 76.411,11 "
Total PTE.ROQUE SAENZ PEÑA ,"","2 .250.139,71 ","3.571.157,70 ","5.821.297,41 ","5.821.297,41 "
PUNILLA,"","","","",""
"",BIALET MASSE ,"3 36.951,43 ","534.769,77 ","8 71.721,20 ","8 71.721,20 "
"",CAPILLA DEL MONTE ,"5 25.124,50 ","833.416,98 ","1.358.541,48 ","1.358.541,48 "
"",COSQUIN ,"8 99.965,87 ","1.428.320,23 ","2.328.286,10 ","2.328.286,10 "
"",HUERTA GRANDE ,"3 58.446,69 ","568.884,52 ","9 27.331,21 ","9 27.331,21 "
"",LA CUMBRE ,"4 24.979,12 ","674.476,99 ","1.099.456,12 ","1.099.456,12 "
"",LA FALDA ,"7 10.171,71 ","1.127.101,19 ","1.837.272,90 ","1.837.272,90 "
"",LOS COCOS ,"1 65.757,81 ","263.071,34 ","4 28.829,15 ","4 28.829,15 "
"",SAN ANTONIO DE ARREDONDO ,"2 58.184,97 ","409.760,89 ","6 67.945,87 ","6 67.945,87 "
"",SAN ESTEBAN ,"1 55.878,13 ","247.391,48 ","4 03.269,61 ","4 03.269,61 "
"",SANTA MARIA ,"4 50.680,97 ","715.267,96 ","1.165.948,93 ","1.165.948,93 "
"",TANTI ,"3 53.428,78 ","560.920,69 ","9 14.349,47 ","9 14.349,47 "
"",VALLE HERMOSO ,"3 58.639,57 ","569.190,63 ","9 27.830,20 ","9 27.830,20 "
"",VILLA CARLOS PAZ ,"2.302.774,16 ","3.654.693,93 ","5.957.468,09 ","5.957.468,09 "
"",VILLA GIARDINO ,"3 13.023,75 ","496.794,57 ","8 09.818,33 ","8 09.818,33 "
"",VILLA SANTA CRUZ DEL LAGO ,"2 07.436,45 ","329.218,78 ","5 36.655,23 ","5 36.655,23 "
"",YCHO CRUZ ,"2 03.384,46 ","322.787,95 ","5 26.172,41 ","5 26.172,41 "
Total PUNILLA ,"","8 .024.828,38 ","12.736.067,91 ","20.760.896,29 ","20.760.896,29 "
RIO CUARTO,"","","","",""
"",ACHIRAS ,"2 26.110,47 ","358.856,01 ","5 84.966,48 ","5 84.966,48 "
"",ADELIA MARIA ,"4 16.896,59 ","661.649,34 ","1.078.545,93 ","1.078.545,93 "
"",ALCIRA ,"3 60.147,39 ","571.583,67 ","9 31.731,06 ","9 31.731,06 "
"",ALPA CORRAL ,"1 59.150,95 ","252.585,71 ","4 11.736,66 ","4 11.736,66 "
"",BERROTARAN ,"3 93.068,41 ","623.832,06 ","1.016.900,47 ","1.016.900,47 "
"",BULNES ,"1 67.362,07 ","265.617,44 ","4 32.979,51 ","4 32.979,51 "
"",CHAJAN ,"1 53.770,24 ","244.046,09 ","3 97.816,33 ","3 97.816,33 "
"",CORONEL BAIGORRIA ,"1 85.616,66 ","294.588,98 ","4 80.205,64 ","4 80.205,64 "
"",CORONEL MOLDES ,"4 83.063,16 ","766.661,17 ","1.249.724,33 ","1.249.724,33 "
"",ELENA ,"2 43.567,52 ","386.561,79 ","6 30.129,32 ","6 30.129,32 "
"",LA CAUTIVA ,"1 57.398,20 ","249.803,95 ","4 07.202,16 ","4 07.202,16 "
"",LAS ACEQUIAS ,"2 13.156,98 ","338.297,75 ","5 51.454,73 ","5 51.454,73 "
"",LAS HIGUERAS ,"3 64.291,22 ","578.160,27 ","9 42.451,49 ","9 42.451,49 "
"",LAS VERTIENTES ,"1 57.078,27 ","249.296,19 ","4 06.374,46 ","4 06.374,46 "
"",MONTE DE LOS GAUCHOS ,"1 53.690,64 ","243.919,75 ","3 97.610,40 ","3 97.610,40 "
"",RIO CUARTO ,"6.431.624,32 ","10.207.519,39 ","16.639.143,71 ","16.639.143,71 "
"",SAMPACHO ,"4 37.188,65 ","693.854,52 ","1.131.043,17 ","1.131.043,17 "
"",SAN BASILIO ,"2 55.564,27 ","405.601,62 ","6 61.165,90 ","6 61.165,90 "
"",VICUÑA MACKENNA ,"5 36.311,46 ","851.170,62 ","1.387.482,08 ","1.387.482,08 "
Total RIO CUARTO ,"","1 1.913.120,53 ","18.907.106,93 ","30.820.227,46 ","30.820.227,46 "
RIO PRIMERO,"","","","",""
"",LA PARA ,"2 88.342,94 ","457.624,07 ","7 45.967,01 ","7 45.967,01 "
"",LA PUERTA ,"2 23.048,90 ","353.997,05 ","5 77.045,95 ","5 77.045,95 "
"",MONTE CRISTO ,"5 62.706,76 ","893.062,13 ","1.455.768,89 ","1.455.768,89 "
"",OBISPO TREJO ,"2 35.316,60 ","373.466,90 ","6 08.783,50 ","6 08.783,50 "
"",PIQUILLIN ,"1 83.387,84 ","291.051,66 ","4 74.439,50 ","4 74.439,50 "
"",RIO PRIMERO ,"4 42.763,76 ","702.702,69 ","1.145.466,45 ","1.145.466,45 "
"",SANTA ROSA DE RIO PRIMERO ,"4 65.408,64 ","738.641,98 ","1.204.050,62 ","1.204.050,62 "
"",VILLA FONTANA ,"1 63.689,72 ","259.789,12 ","4 23.478,84 ","4 23.478,84 "
Total RIO PRIMERO ,"","2.564.665,16 ","4.070.335,59 ","6.635.000,75 ","6.635.000,75 "
RIO SECO,"","","","",""
"",SEBASTIAN EL CANO ,"2 34.946,15 ","372.878,96 ","6 07.825,11 ","6 07.825,11 "
"",VILLA DE MARIA ,"3 44.394,10 ","546.581,90 ","8 90.975,99 ","8 90.975,99 "
Total RIO SECO ,"","579.340,25 ","919.460,86 ","1.498.801,11 ","1.498.801,11 "
RIO SEGUNDO,"","","","",""
"",CALCHIN ,"2 13.071,26 ","338.161,70 ","5 51.232,96 ","5 51.232,96 "
"",CALCHIN OESTE ,"1 56.911,41 ","249.031,38 ","4 05.942,79 ","4 05.942,79 "
"",CAPILLA DEL CARMEN ,"1 38.577,22 ","219.933,50 ","3 58.510,72 ","3 58.510,72 "
"",CARRILOBO ,"1 94.897,80 ","309.318,92 ","5 04.216,72 ","5 04.216,72 "
"",COLAZO ,"1 86.548,91 ","296.068,53 ","4 82.617,44 ","4 82.617,44 "
"",COSTASACATE ,"1 78.400,55 ","283.136,41 ","4 61.536,96 ","4 61.536,96 "
"",LAGUNA LARGA ,"4 23.175,86 ","671.615,07 ","1.094.790,93 ","1.094.790,93 "
"",LAS JUNTURAS ,"1 92.182,19 ","305.009,02 ","4 97.191,21 ","4 97.191,21 "
"",LUQUE ,"3 65.257,14 ","579.693,27 ","9 44.950,42 ","9 44.950,42 "
"",MANFREDI ,"1 61.505,29 ","256.322,25 ","4 17.827,54 ","4 17.827,54 "
"",MATORRALES ,"1 65.019,97 ","261.900,33 ","4 26.920,30 ","4 26.920,30 "
"",ONCATIVO ,"6 29.764,25 ","999.487,92 ","1.629.252,17 ","1.629.252,17 "
"",PILAR ,"6 68.229,77 ","1.060.535,88 ","1.728.765,66 ","1.728.765,66 "
"",POZO DEL MOLLE ,"3 56.029,58 ","565.048,37 ","9 21.077,95 ","9 21.077,95 "
"",RIO SEGUNDO ,"9 03.936,73 ","1.434.622,30 ","2.338.559,02 ","2.338.559,02 "
"",SANTIAGO TEMPLE ,"2 32.085,12 ","368.338,27 ","6 00.423,38 ","6 00.423,38 "
"",VILLA DEL ROSARIO ,"7 26.188,29 ","1.152.520,84 ","1.878.709,13 ","1.878.709,13 "
Total RIO SEGUNDO ,"","5 .891.781,34 ","9.350.743,96 ","15.242.525,30 ","15.242.525,30 "
SAN ALBERTO,"","","","",""
"",MINA CLAVERO ,"5 08.259,86 ","806.650,40 ","1.314.910,26 ","1.314.910,26 "
"",NONO ,"2 12.641,11 ","337.479,01 ","5 50.120,12 ","5 50.120,12 "
"",SAN PEDRO ,"3 24.754,15 ","515.411,67 ","8 40.165,82 ","8 40.165,82 "
"",VILLA CURA BROCHERO ,"3 62.229,25 ","574.887,76 ","9 37.117,02 ","9 37.117,02 "
"",VILLA SARMIENTO ,"3 31.385,50 ","525.936,18 ","8 57.321,68 ","8 57.321,68 "
Total SAN ALBERTO ,"","1 .739.269,87 ","2.760.365,03 ","4.499.634,90 ","4.499.634,90 "
SAN JAVIER,"","","","",""
"",LA PAZ ,"2 54.971,86 ","404.661,42 ","6 59.633,27 ","6 59.633,27 "
"",LAS TAPIAS ,"2 01.686,82 ","320.093,66 ","5 21.780,48 ","5 21.780,48 "
"",LOS CERRILLOS ,"2 20.595,06 ","350.102,59 ","5 70.697,65 ","5 70.697,65 "
"",SAN JAVIER Y YACANTO ,"1 87.340,32 ","297.324,58 ","4 84.664,90 ","4 84.664,90 "
"",SAN JOSE ,"2 12.281,37 ","336.908,09 ","5 49.189,46 ","5 49.189,46 "
"",VILLA DE LAS ROSAS ,"2 81.073,25 ","446.086,47 ","7 27.159,72 ","7 27.159,72 "
"",VILLA DOLORES ,"1 .341.443,78 ","2.128.982,15 ","3.470.425,93 ","3.470.425,93 "
Total SAN JAVIER ,"","2 .699.392,46 ","4.284.158,95 ","6.983.551,41 ","6.983.551,41 "
SAN JUSTO,"","","","",""
"",ALICIA ,"2 56.655,72 ","407.333,84 ","6 63.989,56 ","6 63.989,56 "
"",ALTOS DE CHIPION ,"1 97.547,59 ","313.524,35 ","5 11.071,93 ","5 11.071,93 "
"",ARROYITO ,"1.022.451,50 ","1.622.715,04 ","2.645.166,54 ","2.645.166,54 "
"",BALNEARIA ,"3 79.905,21 ","602.940,97 ","9 82.846,17 ","9 82.846,17 "
"",BRINCKMAN ,"5 41.254,36 ","859.015,41 ","1.400.269,77 ","1.400.269,77 "
"",COLONIA MARINA ,"1 71.254,85 ","271.795,60 ","4 43.050,46 ","4 43.050,46 "
"",COLONIA PROSPERIDAD ,"1 38.399,65 ","219.651,68 ","3 58.051,33 ","3 58.051,33 "
"",COLONIA SAN BARTOLOME ,"1 76.167,13 ","279.591,80 ","4 55.758,94 ","4 55.758,94 "
"",COLONIA VIGNAUD ,"1 61.802,26 ","256.793,57 ","4 18.595,83 ","4 18.595,83 "
"",DEVOTO ,"3 73.921,38 ","593.444,13 ","9 67.365,51 ","9 67.365,51 "
"",EL ARAÑADO ,"1 95.690,75 ","310.577,39 ","5 06.268,13 ","5 06.268,13 "
"",EL FORTIN ,"1 81.243,21 ","287.647,96 ","4 68.891,17 ","4 68.891,17 "
"",EL TIO ,"1 98.250,21 ","314.639,48 ","5 12.889,69 ","5 12.889,69 "
"",FREYRE ,"3 96.705,55 ","629.604,50 ","1.026.310,06 ","1.026.310,06 "
"",LA FRANCIA ,"2 82.907,12 ","448.996,99 ","7 31.904,11 ","7 31.904,11 "
"",LA PAQUITA ,"1 60.729,19 ","255.090,50 ","4 15.819,69 ","4 15.819,69 "
"",LA TORDILLA ,"1 75.795,15 ","279.001,44 ","4 54.796,59 ","4 54.796,59 "
"",LAS VARAS ,"1 77.734,66 ","282.079,59 ","4 59.814,25 ","4 59.814,25 "
"",LAS VARILLAS ,"8 01.005,33 ","1.271.262,66 ","2.072.267,99 ","2.072.267,99 "
"",LASPIUR ,"2 23.716,33 ","355.056,30 ","5 78.772,63 ","5 78.772,63 "
"",MARULL ,"1 97.299,60 ","313.130,77 ","5 10.430,37 ","5 10.430,37 "
"",MIRAMAR ,"2 14.511,73 ","340.447,84 ","5 54.959,56 ","5 54.959,56 "
"",MORTEROS ,"8 14.419,58 ","1.292.551,19 ","2.106.970,77 ","2.106.970,77 "
"",PORTEÑA ,"3 51.920,96 ","558.527,65 ","9 10.448,61 ","9 10.448,61 "
"",QUEBRACHO HERRADO ,"1 38.564,97 ","219.914,07 ","3 58.479,04 ","3 58.479,04 "
"",SACANTA ,"2 46.831,15 ","391.741,44 ","6 38.572,60 ","6 38.572,60 "
"",SAN FRANCISCO ,"2 .657.153,56 ","4.217.123,32 ","6.874.276,88 ","6.874.276,88 "
"",VILLA CONCEPCION DEL TIO ,"1 95.690,75 ","310.577,39 ","5 06.268,13 ","5 06.268,13 "
Total SAN JUSTO ,"","1 1.433.498,57 ","18.145.909,24 ","29.579.407,81 ","29.579.407,81 "
SANTA MARIA,"","","","",""
"",ALTA GRACIA ,"2.032.404,15 ","3.225.594,38 ","5.257.998,53 ","5.257.998,53 "
"",BOWER ,"2 07.441,04 ","329.226,07 ","5 36.667,11 ","5 36.667,11 "
"",DESPEÑADEROS ,"3 84.771,57 ","610.664,28 ","9 95.435,85 ","9 95.435,85 "
"",LOZADA ,"1 69.688,86 ","269.310,25 ","4 38.999,11 ","4 38.999,11 "
"",MALAGUEÑO ,"6 41.568,12 ","1.018.221,64 ","1.659.789,76 ","1.659.789,76 "
"",MONTE RALO ,"1 46.335,23 ","232.246,10 ","3 78.581,33 ","3 78.581,33 "
"",TOLEDO ,"2 81.682,50 ","447.053,41 ","7 28.735,90 ","7 28.735,90 "
"",VILLA PQUE.SANTA ANA ,"2 25.888,51 ","358.503,73 ","5 84.392,24 ","5 84.392,24 "
"",ANISACATE ,"2 48.450,72 ","394.311,83 ","6 42.762,55 ","6 42.762,55 "
Total SANTA MARIA ,"","4 .338.230,70 ","6.885.131,69 ","11.223.362,39 ","11.223.362,39 "
SOBREMONTE,"","","","",""
"",SAN FRANCISCO DEL CHAÑAR ,"2 57.499,18 ","408.672,49 ","6 66.171,67 ","6 66.171,67 "
Total SOBREMONTE ,"","2 57.499,18 ","408.672,49 ","666.171,67 ","666.171,67 "
TERCERO ARRIBA,"","","","",""
"",ALMAFUERTE ,"5 66.434,22 ","898.977,92 ","1.465.412,13 ","1.465.412,13 "
"",COLONIA ALMADA ,"1 43.904,35 ","228.388,09 ","3 72.292,44 ","3 72.292,44 "
"",CORRALITO ,"1 98.888,55 ","315.652,57 ","5 14.541,12 ","5 14.541,12 "
"",DALMACIO VELEZ ,"1 89.230,84 ","300.324,98 ","4 89.555,82 ","4 89.555,82 "
"",HERNANDO ,"5 54.255,30 ","879.648,98 ","1.433.904,28 ","1.433.904,28 "
"",JAMES CRAIK ,"3 22.532,98 ","511.886,50 ","8 34.419,48 ","8 34.419,48 "
"",LAS PERDICES ,"3 28.248,93 ","520.958,18 ","8 49.207,10 ","8 49.207,10 "
"",LOS ZORROS ,"1 52.614,50 ","242.211,83 ","3 94.826,33 ","3 94.826,33 "
"",OLIVA ,"6 22.600,19 ","988.117,95 ","1.610.718,14 ","1.610.718,14 "
"",PAMPAYASTA SUD ,"1 72.164,14 ","273.238,71 ","4 45.402,85 ","4 45.402,85 "
"",RIO TERCERO ,"1.946.752,24 ","3.089.656,70 ","5.036.408,94 ","5.036.408,94 "
"",TANCACHA ,"3 44.960,49 ","547.480,80 ","8 92.441,29 ","8 92.441,29 "
"",VILLA ASCASUBI ,"2 18.989,27 ","347.554,07 ","5 66.543,33 ","5 66.543,33 "
Total TERCERO ARRIBA ,"","5 .761.575,98 ","9.144.097,28 ","14.905.673,26 ","14.905.673,26 "
TOTORAL,"","","","",""
"",CAÑADA DE LUQUE ,"1 76.898,85 ","280.753,10 ","4 57.651,94 ","4 57.651,94 "
"",LAS PEÑAS ,"1 95.879,03 ","310.876,21 ","5 06.755,24 ","5 06.755,24 "
"",SARMIENTO ,"1 82.181,58 ","289.137,23 ","4 71.318,81 ","4 71.318,81 "
"",SINSACATE ,"1 81.612,13 ","288.233,46 ","4 69.845,59 ","4 69.845,59 "
"",VILLA DEL TOTORAL ,"4 89.005,66 ","776.092,41 ","1.265.098,07 ","1.265.098,07 "
Total TOTORAL ,"","1.225.577,26 ","1.945.092,41 ","3.170.669,67 ","3.170.669,67 "
TULUMBA,"","","","",""
"",LAS ARRIAS ,"1 81.557,02 ","288.146,00 ","4 69.703,02 ","4 69.703,02 "
"",LUCIO V. MANSILLA ,"1 65.454,71 ","262.590,31 ","4 28.045,02 ","4 28.045,02 "
"",SAN JOSE DE LA DORMIDA ,"3 42.001,48 ","542.784,62 ","8 84.786,10 ","8 84.786,10 "
"",SAN JOSE DE LAS SALINAS ,"1 61.897,17 ","256.944,19 ","4 18.841,37 ","4 18.841,37 "
"",SAN PEDRO NORTE ,"1 69.684,27 ","269.302,96 ","4 38.987,23 ","4 38.987,23 "
"",VILLA TULUMBA ,"2 01.359,24 ","319.573,75 ","5 20.932,99 ","5 20.932,99 "
Total TULUMBA ,"","1 .221.953,90 ","1.939.341,83 ","3.161.295,73 ","3.161.295,73 "
UNION,"","","","",""
"",ALTO ALEGRE ,"1 64.072,42 ","260.396,49 ","4 24.468,90 ","4 24.468,90 "
