M U N I C I P I O 	e	r	Total
NONO 	272492	303764	294037
OBISPO TREJO 	301550	336157	325392
OLAETA 	190898	212805	205991
OLIVA 	797840	889402	860922
ONCATIVO 	807021	899637	870828
ORDOÑEZ 	297642	331801	321175
PAMPAYASTA SUD 	220622	245941	238066
PASCANAS 	305434	340486	329583
PASCO 	220099	245358	237501
PILAR 	856313	954586	924017
PIQUILLIN 	235005	261975	253586
PORTEÑA 	450974	502729	486631
POZO DEL MOLLE 	456239	508599	492312
PUEBLO ITALIANO 	244768	272858	264121
QUEBRACHO HERRADO 	177566	197944	191605
QUILINO 	442198	492946	477160
REDUCCION 	241859	269615	260982
RIO CEBALLOS 	1110711	1238179	1198530
RIO CUARTO 	8241902	9187762	8893546
RIO DE LOS SAUCES 	226186	252143	244069
RIO PRIMERO 	567386	632501	612247
RIO SEGUNDO 	1158363	1291300	1249950
RIO TERCERO 	2494695	2780992	2691939
ROSALES 	188269	209875	203154
SACANTA 	316305	352605	341314
SAIRA 	200492	223501	216344
SALDAN 	671640	748719	724743
SALSACATE 	287232	320195	309942
SALSIPUEDES 	606855	676499	654836
SAMPACHO 	560242	624537	604537
SAN AGUSTIN 	343155	382536	370286
SAN ANTONIO DE ARREDONDO 	330855	368825	357014
SAN ANTONIO DE LITIN 	227249	253328	245216
SAN BASILIO 	327497	365081	353390
SAN CARLOS MINAS 	260110	289961	280676
SAN ESTEBAN 	199752	222676	215546
SAN FRANCISCO 	3405049	3795821	3674270
SAN JAVIER Y YACANTO 	240070	267621	259051
SAN JOSE 	272031	303250	293539
SAN JOSE DE LA DORMIDA 	438263	488559	472914
SAN JOSE DE LAS SALINAS 	207466	231275	223869
SAN MARCOS SIERRAS 	264516	294873	285430
SAN MARCOS SUD 	321229	358094	346627
SAN PEDRO 	416161	463921	449065
SAN PEDRO NORTE 	217444	242399	234637
SANTA CATALINA 	353033	393548	380946
SANTA EUFEMIA 	287322	320296	310039
SANTA MARIA 	577532	643811	623194
SANTA ROSA DE CALAMUCHITA 	784121	874108	846117
SANTA ROSA DE RIO PRIMERO 	596405	664850	643560
SANTIAGO TEMPLE 	297409	331540	320924
SARMIENTO 	233459	260252	251918
SEBASTIAN EL CANO 	301075	335627	324880
SEEBER 	198299	221056	213977
SERRANO 	328411	366100	354377
SERREZUELA 	307596	342896	331916
SILVIO PELLICO 	179194	199759	193362
SINSACATE 	232730	259438	251130
TANCACHA 	442055	492786	477007
TANTI 	452907	504883	488716
TICINO 	272425	303690	293965
TIO PUJIO 	301183	335748	324996
TOLEDO 	360966	402392	389506
TOSQUITA 	182700	203667	197145
TRANSITO 	319374	356026	344625
UCACHA 	432145	481739	466313
UNQUILLO 	1013719	1130056	1093869
VALLE HERMOSO 	459584	512327	495921
VIAMONTE 	252144	281081	272080
VICUÑA MACKENNA 	687264	766136	741604
VILLA ALLENDE 	1527574	1702882	1648353
VILLA ASCASUBI 	280627	312833	302815
VILLA CARLOS PAZ 	2950926	3289580	3184240
VILLA CONCEPCION DEL TIO 	250771	279550	270598
VILLA CURA BROCHERO 	464184	517455	500885
VILLA DE LAS ROSAS 	360186	401521	388664
VILLA DE MARIA 	441329	491977	476223
VILLA DE SOTO 	620988	692254	670087
VILLA DEL DIQUE 	321767	358693	347207
VILLA DEL ROSARIO 	930585	1037381	1004162
VILLA DEL TOTORAL 	626644	698559	676189
VILLA DOLORES 	1719013	1916291	1854927
VILLA FONTANA 	209763	233836	226348
VILLA GIARDINO 	401129	447164	432844
VILLA GRAL. BELGRANO 	550438	613607	593959
VILLA HUIDOBRO 	474116	528527	511602
VILLA MARIA 	4166460	4644613	4495882
VILLA NUEVA 	1119401	1247866	1207907
VILLA PQUE.SANTA ANA 	289468	322688	312355
VILLA ROSSI 	186449	207846	201190
VILLA RUMIPAL 	293778	327493	317005
VILLA SANTA CRUZ DEL LAGO 	265823	296329	286840
VILLA SARMIENTO 	424659	473394	458235
VILLA TULUMBA 	258035	287648	278436
VILLA VALERIA 	319470	356133	344728
VILLA YACANTO 	241433	269141	260522
WENCESLAO ESCALANTE 	237290	264522	256052
YCHO CRUZ 	260630	290541	281237
