DEPARTAMENTO ,MUNICIPIOS ,"","",04- ABRIL ,TOTAL ABRIL ,"",05- MAYO ,TOTAL MAYO ,"",06-JUNIO ,TOTAL JUNIO , TOTAL 
"","","",1° ,2° ,"",1° ,2° ,"",1° ,2° ,"",GENERAL 
CALAMUCHITA,"","","","","","","","","","","",""
CAPILLA DEL MONTE ,"","",3 39.563 ,"",645.800 ,985.363 ,435.699 ,"",732.578 ,1.168.277 ,434.265 ,"",753.918 ,1.188.183 ,3.341.823
COSQUIN ,"","",5 81.948 ,"",1.106.781 ,1.688.730 ,746.707 ,"",1.255.503 ,2.002.210 ,744.250 ,"",1.292.074 ,2.036.324 ,5.727.263
HUERTA GRANDE ,"","",2 31.784 ,"",440.819 ,672.603 ,297.405 ,"",500.053 ,797.459 ,296.427 ,"",514.619 ,811.045 ,2.281.107
DEPARTAMENTO ,MUNICIPIOS ,"",04- ABRIL ,TOTAL ABRIL ,"",05- MAYO ,TOTAL MAYO ,"",06-JUNIO ,TOTAL JUNIO , TOTAL 
"","",1° ,2° ,"",1° ,2° ,"",1° ,2° ,"",GENERAL 
"",LA CUMBRE ,2 74.806 ,522.641 ,797.447 ,352.608 ,592.870 ,945.477 ,351.447 ,610.139 ,961.586 ,2.704.510
"",LA FALDA ,4 59.221 ,873.372 ,1.332.593 ,589.233 ,990.730 ,1.579.963 ,587.295 ,1.019.588 ,1.606.883 ,4.519.439
"",LOS COCOS ,107.185 ,203.850 ,311.034 ,137.530 ,231.241 ,368.772 ,137.078 ,237.977 ,375.055 ,1.054.860
"",SAN ANTONIO DE ARREDONDO ,1 66.951 ,317.517 ,484.468 ,214.218 ,360.183 ,574.400 ,213.513 ,370.674 ,584.187 ,1.643.055
"",SAN ESTEBAN ,1 00.796 ,191.699 ,292.496 ,129.333 ,217.459 ,346.792 ,128.907 ,223.793 ,352.700 ,991.988
"",SANTA MARIA ,291.426 ,554.249 ,845.675 ,373.933 ,628.725 ,1.002.658 ,372.702 ,647.039 ,1.019.741 ,2.868.073
