M U N I C I P I O 	Total OCTUBRE 	Total NOVIEMBRE 	Total DICIEMBRE 
OLIVA 	465230	447571	482247
ONCATIVO 	471959	454046	489222
ORDOÑEZ 	172025	165496	178317
PAMPAYASTA SUD 	129150	124248	133873
PASCANAS 	177955	171201	184464
PASCO 	128515	123637	133216
PILAR 	500493	481496	518798
PIQUILLIN 	136636	131450	141633
PORTEÑA 	263675	253667	273319
POZO DEL MOLLE 	266328	256219	276069
PUEBLO ITALIANO 	142825	137404	148048
QUEBRACHO HERRADO 	103894	99951	107694
QUILINO 	256761	247015	266152
REDUCCION 	141369	136003	146540
RIO CEBALLOS 	639243	614980	662624
RIO CUARTO 	4801117	4618885	4976720
RIO DE LOS SAUCES 	131232	126251	136032
RIO PRIMERO 	330111	317581	342185
RIO SEGUNDO 	678669	652909	703492
RIO TERCERO 	1460932	1405481	1514368
ROSALES 	110211	106028	114242
SACANTA 	184759	177746	191517
SAIRA 	117395	112939	121689
SALDAN 	393046	378127	407422
SALSACATE 	163057	156868	169021
SALSIPUEDES 	352094	338730	364972
SAMPACHO 	330079	317551	342152
SAN AGUSTIN 	198006	190490	205248
SAN ANTONIO DE ARREDONDO 	192843	185524	199896
SAN ANTONIO DE LITIN 	132513	127483	137360
SAN BASILIO 	192622	185311	199667
SAN CARLOS MINAS 	145593	140067	150918
SAN ESTEBAN 	116550	112126	120813
SAN FRANCISCO 	1988894	1913403	2061639
SAN FRANCISCO DEL CHAÑAR 	195185	187776	202324
SAN JAVIER Y YACANTO 	140458	135127	145595
SAN JOSE 	158818	152790	164627
SAN JOSE DE LA DORMIDA 	248031	238617	257103
SAN JOSE DE LAS SALINAS 	116512	112090	120774
SAN MARCOS SIERRAS 	154357	148498	160003
SAN MARCOS SUD 	187202	180097	194049
SAN PEDRO 	237968	228935	246671
SAN PEDRO NORTE 	125418	120657	130005
SANTA CATALINA 	206362	198529	213910
SANTA EUFEMIA 	168386	161995	174545
SANTA MARIA 	337136	324339	349467
SANTA ROSA DE CALAMUCHITA 	446179	429244	462498
SANTA ROSA DE RIO PRIMERO 	346774	333612	359458
SANTIAGO TEMPLE 	173842	167243	180200
SARMIENTO 	137051	131850	142064
SEBASTIAN EL CANO 	173522	166935	179868
SEEBER 	116025	111621	120269
SERRANO 	191279	184019	198276
SERREZUELA 	179413	172603	185975
SILVIO PELLICO 	105226	101232	109075
SINSACATE 	136857	131662	141862
TANCACHA 	258539	248726	267996
TANTI 	262583	252616	272187
TICINO 	159719	153657	165561
TIO PUJIO 	173839	167241	180198
TOLEDO 	209897	201930	217574
TOSQUITA 	107014	102952	110928
TRANSITO 	186770	179681	193602
UCACHA 	252563	242976	261801
UNQUILLO 	596678	574030	618502
VALLE HERMOSO 	265366	255294	275072
VIAMONTE 	145987	140446	151327
VICUÑA MACKENNA 	407475	392008	422379
VILLA ALLENDE 	876444	843178	908502
VILLA ASCASUBI 	164171	157940	170176
VILLA CARLOS PAZ 	1745061	1678825	1808889
VILLA CONCEPCION DEL TIO 	146880	141305	152252
VILLA CURA BROCHERO 	263716	253706	273362
VILLA DE LAS ROSAS 	208737	200814	216371
VILLA DE MARIA 	254861	245188	264183
VILLA DE SOTO 	360869	347172	374068
VILLA DEL DIQUE 	185078	178053	191847
VILLA DEL ROSARIO 	541272	520728	561069
VILLA DEL TOTORAL 	369838	355801	383365
VILLA DOLORES 	997831	959958	1034328
VILLA FONTANA 	122395	117749	126872
VILLA GIARDINO 	237645	228625	246337
VILLA GRAL. BELGRANO 	320060	307912	331767
VILLA HUIDOBRO 	278549	267977	288737
VILLA MARIA 	2402094	2310920	2489953
VILLA NUEVA 	651380	626657	675205
VILLA PQUE.SANTA ANA 	168824	162416	174998
VILLA ROSSI 	108110	104006	112064
VILLA RUMIPAL 	170278	163815	176506
VILLA SANTA CRUZ DEL LAGO 	158162	152159	163947
VILLA SARMIENTO 	244037	234774	252963
VILLA TULUMBA 	144467	138983	149751
VILLA VALERIA 	188602	181443	195500
VILLA YACANTO 	140211	134889	145339
WENCESLAO ESCALANTE 	138961	133687	144044
