Municipio	Poblacion	Coparticipacion Abril 2014	Coparticpacion x habitante
Achiras	2559	584966	228,59
Adelia María	7345	1078545	146,84
Agua de Oro	2061	528057	256,21
Alcira Gigena	5922	931731	157,33
Aldea Santa María	173	61435	355,12
Alejandro Roca	5300	881526	166,33
Alejo Ledesma	3370	670036	198,82
Alicia	3211	663989	206,79
Almafuerte	11222	1465412	130,58
Alpa Corral	879	411736	468,41
Alta Gracia	46858	5257998	112,21
Alto Alegre	979	424468	433,57
Alto de Los Quebrachos	159	59558	374,58
Altos de Chipion	1779	511071	287,28
Amboy	235	67197	285,94
Ámbul	941	140034	148,81
Ana Zumarán	198	63945	322,95
Anisacate	3053	642762	210,53
Arias	7311	1078094	147,46
Arroyito	21764	2645166	121,54
Arroyo Algodón	713	395824	555,15
Arroyo Cabral	2941	629317	213,98
Arroyo de Los Patos	657	111027	168,99
Assunta	84	52440	624,29
Atahona	223	68243	306,02
Ausonia	1022	428207	418,99
Avellaneda	460	89525	194,62
Ballesteros	3844	726961	189,12
Ballesteros Sud	578	382129	661,12
Balnearia	6197	982846	158,60
Bañado de Soto	846	127103	150,24
Bell Ville	33325	3839625	115,22
Bengolea	912	417538	457,83
Benjamín Gould	717	396806	553,43
Berrotarán	6748	1016900	150,70
Bialet Massé	5515	871721	158,06
Bouwer	2046	536667	262,30
Brinkmann	10106	1400269	138,56
Buchardo	1944	530493	272,89
Bulnes	1085	432979	399,06
Cabalango	211	64120	303,89
Calchín	2227	551232	247,52
Calchín Oeste	821	405942	494,45
Calmayo	117	55511	474,45
Camilo Aldao	5179	857341	165,54
Caminiaga	308	78388	254,51
Cañada de Luque	1232	457651	371,47
Cañada de Machado	218	67697	310,54
Cañada de Río Pinto	225	66229	294,35
Canals	8979	1269125	141,34
Candelaria Sud	278	73463	264,26
Capilla de Los Remedios	952	147739	155,19
Capilla de Sitón	459	92695	201,95
Capilla del Carmen	362	358510	990,36
Capilla del Monte	10391	1358541	130,74
Capitán General Bernardo O'Higgins	453	368007	812,38
Carnerillo	2010	533641	265,49
Carrilobo	1772	504216	284,55
Casa Grande	589	100300	170,29
Cavanagh	1255	451046	359,40
Cerro Colorado	371	86585	233,38
Chaján	744	397816	534,70
Chalacea	221	68025	307,81
Chañar Viejo	199	66640	334,87
Chancaní	511	111988	219,15
Charbonier	530	94652	178,59
Charras	1043	431391	413,61
Chazón	1074	433656	403,78
Chilibroste	574	381705	664,99
Chucul	352	78719	223,63
Chuña	621	105485	169,86
Chuña Huasi	254	72346	284,83
Churqui Cañada	176	64906	368,78
Ciénaga del Coro	689	119892	174,01
Cintra	1343	462899	344,68
Colazo	1563	482617	308,78
Colonia Almada	502	372292	741,62
Colonia Anita	17	45665	2686,18
Colonia Barge	186	62387	335,41
Colonia Bismarck	395	362807	918,50
Colonia Bremen	119	55970	470,34
Colonia Caroya	19667	2295978	116,74
Colonia Italiana	772	401036	519,48
Colonia Iturraspe	30	46996	1566,53
Colonia Las Cuatro Esquinas	150	60282	401,88
Colonia Las Pichanas	270	71565	265,06
Colonia Marina	1142	443050	387,96
Colonia Prosperidad	346	358051	1034,83
Colonia San Bartolomé	1261	455758	361,43
Colonia San Pedro	130	57233	440,25
Colonia Tirolesa	5358	859131	160,35
Colonia Valtelina	197	64092	325,34
Colonia Vicente Agüero	359	78483	218,62
Colonia Videla	75	51355	684,73
Colonia Vignaud	913	418595	458,48
Comechingones	364	83619	229,72
Conlara	456	87656	192,23
Copacabana	179	61669	344,52
Córdoba	1307427	129530642	99,07
Coronel Baigorria	1543	480205	311,22
Coronel Moldes	9006	1249724	138,77
Corral de Bustos	10344	1392135	134,58
Corralito	1897	514541	271,24
Cosquín	20104	2328286	115,81
Costa Sacate	1359	461536	339,61
Cruz Alta	7103	1056558	148,75
Cruz de Caña	325	75879	233,47
Cruz del Eje	30850	3485074	112,97
Cuesta Blanca	371	79434	214,11
Dalmacio Vélez Sarsfield	1652	489555	296,34
Deán Funes	21754	2570598	118,17
Del Campillo	3727	723175	194,04
Despeñaderos	6401	995435	155,51
Devoto	6052	967365	159,84
Diego de Rojas	546	103465	189,50
Dique Chico	247	68872	278,83
El Arañado	1734	506268	291,97
El Brete	2004	526631	262,79
El Chacho	347	82226	236,96
El Crispín	197	65408	332,02
El Fortín	1384	468891	338,79
El Manzano	1258	165024	131,18
El Rastreador	93	53352	573,68
El Rodeo	325	82668	254,36
El Tío	1796	512889	285,57
Elena	2997	630129	210,25
Embalse	8499	1199052	141,08
Esquina	320	78820	246,31
Estación General Paz	2150	536995	249,77
Estación Juárez Celman	11848	1510828	127,52
Estancia de Guadalupe	518	101101	195,18
Estancia Vieja	715	112358	157,14
Etruria	4069	747531	183,71
Eufrasio Loza	294	77484	263,55
Falda del Carmen	990	143917	145,37
Freyre	6604	1026310	155,41
General Baldissera	2360	565458	239,60
General Cabrera	11320	1518083	134,11
General Deheza	10156	1395003	137,36
General Fotheringham	376	80680	214,57
General Levalle	5759	943239	163,79
General Roca	2675	598074	223,58
Guanaco Muerto	701	112846	160,98
Guasapampa	396	87635	221,30
Guatimozín	2592	589481	227,42
Gutemberg	709	124855	176,10
Hernando	10913	1433904	131,39
Huanchilla	1110	438472	395,02
Huerta Grande	6072	927331	152,72
Huinca Renancó	8980	1289869	143,64
Idiazábal	1600	490035	306,27
Impira	163	60072	368,54
Inriville	3985	733713	184,12
Isla Verde	4433	780100	175,98
Italó	1257	456709	363,33
James Craik	5034	834419	165,76
Jesús María	30622	3396032	110,90
Jovita	5127	874208	170,51
Justiniano Posse	8147	1181279	145,00
Kilómetro 658	350	82092	234,55
La Batea	234	66931	286,03
La Calera	30561	3389905	110,92
La Carlota	12614	1654910	131,20
La Carolina El Potosí	182	61915	340,19
La Cautiva	835	407202	487,67
La Cesira	1292	460673	356,56
La Cruz	1659	492478	296,85
La Cumbre	7796	1099456	141,03
La Cumbrecita	869	129982	149,58
La Falda	15186	1837272	120,98
La Francia	3847	731904	190,25
La Granja	2911	613413	210,72
La Higuera	505	94046	186,23
La Laguna	1404	468241	333,50
La Paisanita	120	56045	467,04
La Palestina	557	379476	681,29
La Pampa	710	119365	168,12
La Paquita	887	415819	468,79
La Para	3735	745967	199,72
La Paz	3384	659633	194,93
La Playa	340	81454	239,57
La Playosa	2713	605425	223,16
La Población	527	94465	179,25
La Posta	263	72605	276,06
La Puerta	2250	577045	256,46
La Quinta	218	67697	310,54
La Rancherita	124	56449	455,23
La Rinconada	484	99172	204,90
La Serranita	405	84831	209,46
La Tordilla	1252	454796	363,26
Laborde	5988	953326	159,21
Laboulaye	20562	2542385	123,64
Laguna Larga	7487	1094790	146,23
Las Acequias	2234	551454	246,85
Las Albahacas	486	91965	189,23
Las Arrias	1195	469703	393,06
Las Bajadas	191	62839	329,00
Las Caleras	303	73931	244,00
Las Calles	754	120934	160,39
Las Cañadas	227	66243	291,82
Las Gramillas	97	54503	561,89
Las Higueras	6026	942451	156,40
Las Isletillas	280	71296	254,63
Las Junturas	1704	497191	291,78
Las Palmas	183	68300	373,22
Las Peñas	1675	506755	302,54
Las Peñas Sud	173	61025	352,75
Las Perdices	5179	849207	163,97
Las Playas	508	93871	184,79
Las Rabonas	731	118585	162,22
Las Saladas	165	61918	375,26
Las Tapias	2006	521780	260,11
Las Varas	1299	459814	353,98
Las Varillas	16399	2072267	126,37
Las Vertientes	827	406374	491,38
Leguizamón	81	52313	645,84
Leones	10678	1426716	133,61
Los Cedros	1033	148260	143,52
Los Cerrillos	2495	570697	228,74
Los Chañaritos CE	683	111237	162,87
Los Chañaritos R.S.	261	69781	267,36
Los Cisnes	584	382854	655,57
Los Cocos	1079	428829	397,43
Los Cóndores	3121	643499	206,18
