Municipio	Poblacion	Coparticipacion Abril 2014	Coparticpacion x habitante
Los Hornillos	1156	154788	133,90
Los Hoyos	263	73945	281,16
Los Mistoles	172	62200	361,63
Los Molinos	383	81853	213,72
Los Pozos	143	58100	406,29
Los Reartes	1282	170880	133,29
Los Surgentes	2935	624996	212,95
Los Talares	114	58302	511,42
Los Zorros	723	394826	546,09
Lozada	1119	438999	392,31
Luca	546	378323	692,90
Lucio V. Mansilla	860	428045	497,73
Luque	6037	944950	156,53
Lutti	219	65612	299,60
Luyaba	1587	196121	123,58
Malagueño	12706	1659789	130,63
Malena	308	74370	241,46
Malvinas Argentinas	12568	1583126	125,96
Manfredi	936	417827	446,40
Maquinista Gallini	140	58924	420,89
Marcos Juárez	26662	3081723	115,58
Marull	1773	510430	287,89
Matorrales	1024	426920	416,91
Mattaldi	1883	524239	278,41
Mayu Sumaj	1115	150643	135,11
Media Naranja	1104	152469	138,11
Melo	1244	455489	366,15
Mendiolaza	8161	1140595	139,76
Mi Granja	1212	160596	132,50
Mina Clavero	9328	1314910	140,96
Miramar	2190	554959	253,41
Monte Buey	6428	986667	153,50
Monte Cristo	10014	1455768	145,37
Monte de Los Gauchos	742	397610	535,86
Monte Leña	491	372941	759,55
Monte Maíz	7476	1110433	148,53
Monte Ralo	546	378581	693,37
Morrison	3290	668468	203,18
Morteros	16724	2106970	125,98
Nicolás Bruzzone	239	68642	287,21
Noetinger	4963	843679	169,99
Nono	2150	550120	255,87
Obispo Trejo	2529	608783	240,72
Olaeta	608	385392	633,87
Oliva	12647	1610718	127,36
Olivares de San Nicolás	790	122238	154,73
Onagoyti	95	53750	565,79
Oncativo	12659	1629252	128,70
Ordóñez	2650	600894	226,75
Pacheco de Melo	72	51223	711,43
Pampayasta Norte	95	53211	560,12
Pampayasta Sud	1219	445402	365,38
Panaholma	617	106942	173,33
Pascanas	2799	616624	220,30
Pasco	1176	444345	377,84
Paso del Durazno	164	60350	367,99
Paso Viejo	1250	166824	133,46
Pilar	13622	1728765	126,91
Pincén	336	78674	234,15
Piquillín	1348	474439	351,96
Plaza de Mercedes	89	53630	602,58
Plaza Luxardo	218	66241	303,86
Porteña	5519	910448	164,97
Potrero de Garay	954	140281	147,05
Pozo del Molle	5806	921077	158,64
Pozo Nuevo	607	111844	184,26
Pueblo Italiano	1639	494149	301,49
Puesto de Castro	117	57280	489,57
Punta del Agua	168	60347	359,21
Quebracho Herrado	350	358479	1024,23
Quilino	5528	892730	161,49
Rafael García	525	96951	184,67
Ranqueles	71	51268	722,08
Rayo Cortado	689	122572	177,90
Reducción	1581	488276	308,84
Rincón	602	103562	172,03
Río Bamba	131	57491	438,86
Río Ceballos	19133	2242356	117,20
Río Cuarto	158256	16639143	105,14
Río de Los Sauces	1312	456634	348,04
Río Primero	7247	1145466	158,06
Río Segundo	19523	2338559	119,78
Río Tercero	46242	5036408	108,91
Rosales	546	380086	696,13
Rosario del Saladillo	304	80164	263,70
Sacanta	2973	638572	214,79
Sagrada Familia	77	52322	679,51
Saira	808	404762	500,94
Saladillo	186	62387	335,41
Saldán	10432	1355938	129,98
Salsacate	1863	579877	311,26
Salsipuedes	9003	1225146	136,08
Sampacho	7855	1131043	143,99
San Agustín	3598	692776	192,54
San Antonio de Arredondo	3474	667945	192,27
San Antonio de Litín	1304	458780	351,83
San Basilio	3298	661165	200,47
San Carlos Minas	1780	525122	295,01
San Clemente	165	60590	367,21
San Esteban	823	403269	490,00
San Francisco	61368	6874276	112,02
San Francisco del Chañar	2956	666171	225,36
San Gerónimo	448	100913	225,25
San Ignacio	299	73534	245,93
San Javier Yacanto	1635	484664	296,43
San Joaquín	133	57699	433,83
San José	2280	549189	240,87
San José de La Dormida	4533	884786	195,19
San José de Las Salinas	786	418841	532,88
San Lorenzo	1029	149021	144,82
San Marcos Sierras	2076	534017	257,23
San Marcos Sud	3101	648512	209,13
San Pedro	4872	840165	172,45
San Pedro Norte	948	438987	463,07
San Roque	1006	140211	139,37
San Vicente	1723	219903	127,63
Santa Catalina	3798	712720	187,66
Santa Elena	301	78283	260,08
Santa Eufemia	2449	580059	236,86
Santa María	8462	1165948	137,79
Santa Rosa de Calamuchita	12216	1583020	129,59
Santa Rosa de Río Primero	7762	1204050	155,12
Santiago Temple	2703	600423	222,13
Sarmiento	1359	471318	346,81
Saturnino María Laspiur	2413	578772	239,86
Sauce Arriba	831	128799	154,99
Sebastián Elcano	2408	607825	252,42
Seeber	742	400335	539,54
Segunda Usina	117	55511	474,45
Serrano	3165	663011	209,48
Serrezuela	2924	620989	212,38
Silvio Pellico	388	361766	932,39
Simbolar	383	84620	220,94
Sinsacate	1342	469845	350,11
Suco	309	74469	241,00
Tala Cañada	410	96796	236,09
Tala Huasi	136	56942	418,69
Talaini	224	68650	306,47
Tancacha	5603	892441	159,28
Tanti	5942	914349	153,88
Ticino	2184	549985	251,82
Tinoco	463	89415	193,12
Tío Pujio	2738	608042	222,08
Toledo	3869	728735	188,35
Toro Pujio	329	77604	235,88
Tosno	285	74925	262,89
Tosquita	463	368843	796,64
Tránsito	3031	644766	212,72
Tuclame	779	120515	154,70
Ucacha	5214	872434	167,33
Unquillo	17183	2046545	119,10
Valle de Anisacate	363	80588	222,01
Valle Hermoso	6077	927830	152,68
Viamonte	1780	509040	285,98
Vicuña Mackenna	10342	1387482	134,16
Villa Allende	27514	3083940	112,09
Villa Amancay	479	91360	190,73
Villa Ascasubi	2407	566543	235,37
Villa Cañada del Sauce	99	53729	542,72
Villa Candelaria Norte	594	111728	188,09
Villa Carlos Paz	56454	5957468	105,53
Villa Cerro Azul	220	65103	295,92
Villa Ciudad de América	789	123615	156,67
Villa Ciudad Parque Los Reartes	840	127109	151,32
Villa Concepción del Tío	1734	506268	291,97
Villa Cura Brochero	5782	937117	162,07
Villa de Las Rosas	4059	727159	179,15
Villa de María	4786	890975	186,16
Villa de Pocho	323	86947	269,19
Villa de Soto	9093	1253680	137,87
Villa del Dique	3180	649597	204,28
Villa del Prado	1354	180681	133,44
Villa del Rosario	15073	1878709	124,64
Villa del Totoral	8517	1265098	148,54
Villa Dolores	31481	3470425	110,24
Villa El Chacay	181	61816	341,52
Villa Elisa	26	46506	1788,69
Villa Fontana	900	423478	470,53
Villa General Belgrano	7649	1111250	145,28
Villa Giardino	4895	809818	165,44
Villa Gutiérrez	351	78719	224,27
Villa Huidobro	5896	957167	162,34
Villa La Bolsa	836	128362	153,54
Villa Los Aromos	810	125736	155,23
Villa Los Patos	16	45544	2846,50
Villa María	77198	8411447	108,96
Villa Nueva	18500	2259900	122,16
Villa Parque Santa Ana	2499	584392	233,85
Villa Parque Siquiman	1303	168637	129,42
Villa Quillinzo	94	53234	566,32
Villa Río Icho Cruz	2054	526172	256,17
Villa Rossi	512	376411	735,18
Villa Rumipal	2633	593092	225,25
Villa San Esteban	71	51193	721,03
Villa San Isidro	1103	155330	140,83
Villa Santa Cruz del Lago	2159	536655	248,57
Villa Sarmiento GR	5033	86018	17,09
Villa Sarmiento SA	407	857321	2106,44
Villa Tulumba	1607	520932	324,16
Villa Valeria	3002	644960	214,84
Villa Yacanto	1610	487417	302,74
Washington	551	98390	178,57
Wenceslao Escalante	1496	479053	320,22
