DEPARTAMENTO 	2013 JUL	2013 AGO	2013 SET
PUESTO DE CASTRO 	48771,05	49633,98	48099,19
PUNTA DEL AGUA 	51382,83	52291,98	50674,99
RAFAEL GARCIA 	82548,7	84009,29	81411,54
RANQUELES 	43651,78	44424,13	43050,44
RAYO CORTADO 	104363,97	106210,54	102926,28
RINCON 	88177,41	89737,59	86962,7
RIO BAMBA 	48951	49817,11	48276,66
ROSARIO DEL SALADILLO 	68256,89	69463,58	67315,61
SAGRADA FAMILIA 	44549,26	45337,5	43935,56
SALADILLO 	53119,5	54059,37	52387,74
SAN CLEMENTE 	51589,42	52502,22	50878,74
SAN GERONIMO 	85922,13	87442,4	84738,49
SAN IGNACIO 	62610,84	63718,65	61748,33
SAN JOAQUIN 	49127,43	49996,67	48450,66
SAN LORENZO 	126884,21	129129,25	125136,29
SAN ROQUE 	119382,24	121495,54	117737,66
SAN VICENTE 	187236,26	190549,14	184656,94
SANTA ELENA 	66654,06	67833,41	65735,85
SAUCE ARRIBA 	109665,71	111606,08	108154,98
SEGUNDA USINA 	47264,97	48101,26	46613,86
SIMBOLAR 	72049,54	73324,35	71057
SUCO 	63406,42	64528,3	62532,95
TALA CAÑADA 	82416,76	83875	81281,41
TALA HUASI 	48482,9	49340,74	47815,01
TALAINI 	58451,89	59486,12	57646,67
TINOCO 	76132,71	77479,77	75083,93
TORO PUJIO 	66076,13	67245,26	65165,89
TOSNO 	63794,59	64923,35	62915,77
TUCLAME 	102612,73	104428,32	101199,16
VALLE DE ANISACATE 	68617,05	69831,13	67671,8
VILLA AMANCAY 	77788,2	79164,55	76716,61
VILLA C.PAR. LOS REARTES 	108226,99	110141,91	106736,08
VILLA CANDELARIA NORTE 	95130,86	96814,07	93820,37
VILLA CERRO AZUL 	55431,7	56412,49	54668,09
VILLA CIUDAD DE AMERICA 	105252,29	107114,58	103802,36
VILLA DE POCHO 	74031,12	75341	73011,29
VILLA DEL PRADO 	153841,12	156563,12	151721,85
VILLA EL CHACAY 	52633,43	53564,71	51908,37
VILLA ELISA 	39597,12	40297,74	39051,64
VILLA GUTIERREZ 	67025,65	68211,57	66102,32
VILLA LA BOLSA 	109294,12	111227,92	107788,51
VILLA LOS AROMOS 	107058,19	108952,44	105583,39
VILLA LOS PATOS 	38778,68	39464,81	38244,47
VILLA PARQUE SIQUIMAN 	143585,74	146126,29	141607,74
VILLA QUILLINZO 	45325,74	46127,71	44701,34
VILLA SAN ESTEBAN 	43588,32	44359,55	42987,85
VILLA SAN ISIDRO 	132255,56	134595,64	130433,65
VILLA SARMIENTO 	73238,81	74534,67	72229,9
WASHINGTON 	83774,17	85256,44	82620,12
