DEPARTAMENTO MUNICIPIOS 			
ACHIRAS 	350548	303043	298174
ADELIA MARIA 	646332	558743	549765
AGUA DE ORO 	316445	273561	269165
ALCIRA 	558351	482685	474929
ALEJANDRO 	528266	456677	449338
ALEJO LEDESMA 	401528	347114	341536
ALICIA 	397904	343981	338454
ALMAFUERTE 	878166	759160	746961
ALPA CORRAL 	246738	213301	209874
ALTA GRACIA 	3150918	2723919	2680147
ALTO ALEGRE 	254368	219897	216363
ALTOS DE CHIPION 	306266	264762	260507
ANISACATE 	385183	332985	327634
ARIAS 	646061	558509	549534
ARROYITO 	1585148	1370335	1348314
ARROYO ALGODON 	237202	205058	201763
ARROYO CABRAL 	377126	326019	320780
AUSONIA 	256608	221834	218269
BALLESTEROS 	435641	376604	370552
BALLESTEROS SUR 	228996	197963	194782
BALNEARIA 	588982	509166	500984
BELL VILLE 	2300942	1989127	1957163
BENGOLEA 	250215	216307	212831
BENJAMIN GOULD 	237791	205567	202263
BERROTARAN 	609390	526808	518342
BIALET MASSE 	522389	451598	444341
BOWER 	321604	278022	273554
BRINCKMAN 	839129	725414	713756
BUCHARDO 	317904	274823	270407
BULNES 	259468	224306	220702
CALCHIN 	330333	285568	280979
CALCHIN OESTE 	243266	210300	206920
CAMILO ALDAO 	513772	444148	437011
CANALS 	760539	657473	646908
CAÑADA DE LUQUE 	274253	237088	233278
CAP. GRAL. B. O'HIGGINS 	220533	190647	187584
CAPILLA DEL CARMEN 	214842	185727	182743
CAPILLA DEL MONTE 	814122	703796	692485
CARNERILLO 	319791	276454	272012
CARRILOBO 	302158	261211	257013
CAVANAGH 	270295	233666	229911
CHAJAN 	238396	206090	202778
CHARRAS 	258517	223483	219892
CHAZON 	259874	224657	221047
CHILIBROSTE 	228742	197744	194566
CINTRA 	277398	239806	235953
COLAZO 	289214	250021	246003
COLONIA ALMADA 	223101	192867	189768
COLONIA BISMARCK 	217417	187953	184933
COLONIA CAROYA 	1375893	1189438	1170324
COLONIA ITALIANA 	240326	207758	204419
COLONIA MARINA 	265503	229523	225835
COLONIA PROSPERIDAD 	214567	185489	182509
COLONIA SAN BARTOLOME 	273119	236107	232313
COLONIA TIROLESA 	514845	445075	437923
COLONIA VIGNAUD 	250849	216855	213370
CORDOBA 	77622801	67103649	66025335
CORONEL BAIGORRIA 	287769	248772	244774
CORONEL MOLDES 	748912	647423	637019
CORRAL DE BUSTOS 	834254	721199	709610
CORRALITO 	308345	266559	262277
COSQUIN 	1395254	1206175	1186793
COSTASACATE 	276582	239100	235258
CRUZ ALTA 	633155	547353	538557
CRUZ DEL EJE 	2088473	1805451	1776439
DALMACIO VELEZ 	293372	253616	249540
DEAN FUNES 	1540462	1331705	1310305
DEL CAMPILLO 	433372	374643	368623
DESPEÑADEROS 	596527	515688	507401
DEVOTO 	579705	501146	493093
EL ARAÑADO 	303387	262273	258059
EL BRETE 	315590	272823	268439
EL FORTIN 	280989	242910	239007
EL TIO 	307355	265704	261434
ELENA 	377613	326440	321194
EMBALSE 	718547	621172	611190
ESTACION GENERAL PAZ 	321801	278192	273722
ESTACION JUAREZ CELMAN 	905382	782688	770111
ETRURIA 	447967	387260	381037
FREYRE 	615029	531683	523140
GENERAL BALDISSERA 	338858	292937	288230
GENERAL CABRERA 	909730	786447	773809
GENERAL DEHEZA 	835972	722685	711071
GENERAL LEVALLE 	565248	488647	480795
GENERAL ROCA 	358404	309834	304855
GUATIMOZIN 	353254	305382	300475
HERNANDO 	859284	742838	730901
HUANCHILLAS 	262760	227152	223501
HUERTA GRANDE 	555714	480406	472686
HUINCA RENANCO 	772970	668220	657482
IDIAZABAL 	293659	253864	249784
INRIVILLE 	439687	380102	373994
ISLA VERDE 	467485	404133	397639
ITALO 	273689	236599	232797
JAMES CRAIK 	500036	432273	425327
JESUS MARIA 	2035113	1759323	1731052
JOVITA 	523880	452886	445608
JUSTINIANO POSSE 	707896	611964	602130
LA CALERA 	2031442	1756149	1727928
LA CARLOTA 	991725	857330	843554
LA CAUTIVA 	244021	210952	207562
LA CESIRA 	276064	238653	234818
LA CRUZ 	295124	255130	251030
LA CUMBRE 	658862	569577	560423
LA FALDA 	1101008	951804	936509
LA FRANCIA 	438602	379165	373072
LA GRANJA 	367595	317780	312674
LA LAGUNA 	280599	242574	238676
LA PALESTINA 	227406	196589	193430
LA PAQUITA 	249185	215416	211955
LA PARA 	447030	386450	380240
LA PAZ 	395293	341725	336233
LA PLAYOSA 	362808	313642	308602
LA PUERTA 	345802	298940	294136
LA TORDILLA 	272542	235608	231822
LABORDE 	571292	493873	485937
LABOULAYE 	1523555	1317089	1295924
LAGUNA LARGA 	656067	567159	558045
LAS ACEQUIAS 	330466	285682	281092
LAS ARRIAS 	281475	243331	239421
LAS HIGUERAS 	564775	488239	480393
LAS JUNTURAS 	297948	257571	253432
LAS PEÑAS 	303679	262526	258307
LAS PERDICES 	508898	439934	432864
LAS TAPIAS 	312683	270310	265966
LAS VARAS 	275549	238208	234380
LAS VARILLAS 	1241831	1073544	1056293
LAS VERTIENTES 	243525	210523	207140
LASPIUR 	346836	299834	295016
LEONES 	854977	739114	727237
LOS CERRILLOS 	341997	295651	290900
LOS CISNES 	229430	198339	195151
LOS COCOS 	256981	222156	218586
LOS CONDORES 	385625	333366	328009
LOS SURGENTES 	374537	323781	318578
LOS ZORROS 	236604	204541	201254
LOZADA 	263076	227425	223770
LUCA 	226715	195992	192842
LUCIO V. MANSILLA 	256511	221750	218186
LUQUE 	566273	489534	481667
MALAGUEÑO 	994649	859858	846041
MALVINAS ARGENTINAS 	948708	820143	806963
MANFREDI 	250388	216457	212978
MARCOS JUAREZ 	1846759	1596494	1570839
MARULL 	305882	264430	260180
MATORRALES 	255837	221167	217613
MATTALDI 	314157	271584	267219
MELO 	272958	235967	232176
MENDIOLAZA 	683516	590888	581393
MINA CLAVERO 	787976	681192	670246
MIRAMAR 	332566	287498	282878
MONTE BUEY 	591273	511146	502932
MONTE CRISTO 	872387	754164	742045
MONTE DE LOS GAUCHOS 	238273	205983	202673
MONTE LEÑA 	223490	193203	190099
MONTE MAIZ 	665441	575263	566019
MONTE RALO 	226869	196125	192973
MORRISON 	400588	346302	340737
MORTEROS 	1262628	1091522	1073981
NOETINGER 	505585	437070	430046
NONO 	329666	284991	280411
OBISPO TREJO 	364821	315382	310314
OLAETA 	230951	199654	196445
OLIVA 	965242	834437	821027
ONCATIVO 	976349	844038	830475
ORDOÑEZ 	360093	311295	306293
PAMPAYASTA SUD 	266913	230742	227034
PASCANAS 	369520	319444	314311
PASCO 	266279	230194	226495
PILAR 	1035984	895592	881199
PIQUILLIN 	284314	245784	241835
PORTEÑA 	545597	471660	464081
POZO DEL MOLLE 	551967	477167	469499
PUEBLO ITALIANO 	296125	255995	251882
QUEBRACHO HERRADO 	214823	185711	182727
QUILINO 	534979	462481	455049
REDUCCION 	292606	252953	248888
RIO CEBALLOS 	1343759	1161659	1142992
RIO CUARTO 	9971208	8619947	8481430
RIO DE LOS SAUCES 	273644	236560	232759
RIO PRIMERO 	686435	593412	583876
RIO SEGUNDO 	1401410	1211497	1192029
RIO TERCERO 	3018129	2609124	2567197
ROSALES 	227771	196905	193740
SACANTA 	382672	330814	325498
SAIRA 	242559	209688	206319
SALDAN 	812563	702447	691159
SALSACATE 	347499	300407	295580
SALSIPUEDES 	734184	634690	624491
SAMPACHO 	677791	585940	576524
SAN AGUSTIN 	415155	358895	353127
