DEPARTAMENTO M U N I C I P I O ,"","","",07- JULIO , TOTAL JULIO ,"",08- AGOSTO , TOTAL ,09- SEPTIEMBRE , TOTAL 
"","","",1° ,2° ,"",1° ,2° ,AGOSTO ,1° 2° ,SEPTIEMBRE 
"",CORONEL BAIGORRIA ,"1 19.754,9 "," 289.116,0 ","4 08.870,9 ","171.865,7 "," 244.239,6 ","","4 16.105,3 ","137.450,9  265.787,5 ","4 03.238,4"
"",CORONEL MOLDES ,"3 11.659,3 ","752.418,0 "," 1.064.077,3 "," 447.276,6 "," 635.628,1 ",""," 1.082.904,6 ","357.712,8  691.706,1 "," 1.049.418,9"
"",ELENA ,"1 57.143,2 "," 379.380,2 ","5 36.523,4 ","225.523,4 "," 320.493,0 ","","5 46.016,4 ","180.364,0 348.768,3 ","5 29.132,4"
"",LA CAUTIVA ,"1 01.549,1 "," 245.163,0 ","3 46.712,1 "," 145.737,7 ","207.109,0 ","","3 52.846,7 "," 116.554,8 225.381,1 ","3 41.935,9"
"",LAS ACEQUIAS ,"1 37.523,1 ","332.012,8 ","4 69.535,9 ","197.365,7 ","280.477,9 ","","4 77.843,7 ","157.844,7 305.223,0 ","4 63.067,7"
"",LAS HIGUERAS ,"2 35.030,9 ","567.419,1 ","8 02.450,0 "," 337.303,6 "," 479.344,6 ","","8 16.648,2 "," 269.761,1  521.634,6 ","7 91.395,6"
"",LAS VERTIENTES ," 101.342,7 ","2 44.664,7 ","3 46.007,4 "," 145.441,5 "," 206.688,0 ","","3 52.129,5 "," 116.317,9  224.923,0 ","3 41.240,9"
"",MONTE DE LOS GAUCHOS ,"9 9.157,1 "," 239.388,2 ","3 38.545,2 "," 142.304,8 ","202.230,5 ","","3 44.535,3 ","113.809,4 220.072,2 ","3 33.881,5"
"",RIO CUARTO ,"4 .149.510,5 "," 10.017.882,0 "," 14.167.392,5 "," 5.955.152,6 ","8.462.911,9 ",""," 14.418.064,4 "," 4.762.677,9  9.209.548,5 "," 13.972.226,4"
"",SAMPACHO ,"2 82.062,3 "," 680.964,0 ","9 63.026,3 "," 404.800,6 "," 575.265,1 ","","9 80.065,7 ","323.742,3  626.017,6 ","9 49.759,9"
"",SAN BASILIO ,"1 64.883,2 ","398.066,3 ","5 62.949,4 "," 236.631,4 ","336.278,6 ","","5 72.910,0 ","189.247,7 365.946,7 ","5 55.194,4"
"",SANTA CATALINA ,"1 77.740,0 "," 429.105,7 ","6 06.845,7 ","255.082,8 "," 362.500,1 ","","6 17.583,0 "," 204.004,4 394.481,5 ","5 98.485,9"
"",TOSQUITA ,"9 1.983,0 "," 222.068,3 ","3 14.051,3 ","132.009,0 "," 187.599,0 ","","3 19.608,0 "," 105.575,2  204.149,8 ","3 09.725,0"
"",VICUÑA MACKENNA ,"3 46.013,7 "," 835.357,4 "," 1.181.371,1 ","496.580,1 "," 705.694,7 ",""," 1.202.274,8 ","397.143,7  767.954,2 "," 1.165.097,8"
Total RIO CUARTO ,"","7 .686.024,0 ","18.555.846,9 ","26.241.870,9 ","11.030.565,0 ","15.675.619,5 ","","26.706.184,5 ","8.821.777,1 17.058.593,9 ","25.880.371,1"
RIO PRIMERO,"","","","","","","","","",""
"",LA PARA ,"1 86.031,1 ","4 49.122,2 ","6 35.153,3 "," 266.981,7 "," 379.409,7 ","","6 46.391,5 "," 213.520,6  412.883,0 ","6 26.403,6"
"",LA PUERTA ,"1 43.905,1 ","347.420,4 ","4 91.325,6 "," 206.524,9 "," 293.494,0 ","","5 00.018,9 "," 165.169,8  319.387,4 ","4 84.557,2"
"",MONTE CRISTO ,"363.043,2 "," 876.470,6 "," 1.239.513,9 ","521.020,0 ","740.425,4 ","","1.261.445,3 "," 416.689,6  805.749,0 "," 1.222.438,7"
"",OBISPO TREJO ,"151.819,9 ","366.528,6 ","5 18.348,5 "," 217.883,7 "," 309.636,2 ","","5 27.519,9 ","174.254,1  336.953,7 ","5 11.207,9"
"",PIQUILLIN ,"1 18.316,9 "," 285.644,4 ","4 03.961,3 "," 169.802,0 ","241.306,9 ","","4 11.108,9 "," 135.800,4 262.596,1 ","3 98.396,5"
"",RIO PRIMERO ,"2 85.659,2 ","689.647,7 ","9 75.307,0 ","409.962,7 "," 582.601,0 ","","9 92.563,6 ","327.870,7  634.000,7 ","9 61.871,4"
"",SANTA ROSA DE RIO PRIMERO ,"3 00.269,1 "," 724.919,3 ","1.025.188,4 "," 430.929,9 "," 612.397,8 ",""," 1.043.327,7 ","344.639,4  666.426,3 "," 1.011.065,7"
"",VILLA FONTANA ,"1 05.608,2 "," 254.962,7 ","3 60.570,9 "," 151.563,2 "," 215.387,5 ","","3 66.950,7 ","121.213,8  234.390,0 ","3 55.603,8"
Total RIO PRIMERO ,"","1.654.652,8 ","3.994.716,1 ","5.649.368,9 ","2.374.668,0 ","3.374.658,4 ","","5.749.326,4 ","1.899.158,5 3.672.386,2 ","5.571.544,7"
RIO SECO,"","","","","","","","","",""
"",SEBASTIAN EL CANO ," 151.580,9 ","3 65.951,5 ","5 17.532,5 "," 217.540,7 "," 309.148,7 ","","5 26.689,5 "," 173.979,8  336.423,3 ","5 10.403,1"
"",VILLA DE MARIA ,"2 22.193,8 ","536.427,4 ","7 58.621,2 "," 318.880,5 "," 453.164,4 ","","7 72.044,9 "," 255.027,0  493.143,6 ","7 48.170,6"
Total RIO SECO ,"","373.774,7 ","902.378,9 ","1.276.153,6 ","536.421,2 ","762.313,2 ","","1.298.734,4 ","429.006,9 829.566,8 ","1.258.573,7"
RIO SEGUNDO,"","","","","","","","","",""
"",CALCHIN ,"1 37.467,8 ","3 31.879,3 ","4 69.347,1 "," 197.286,4 "," 280.365,1 ","","4 77.651,5 "," 157.781,3  305.100,2 ","4 62.881,5"
"",CALCHIN OESTE ,"1 01.235,0 ","244.404,8 ","3 45.639,8 "," 145.287,0 "," 206.468,4 ","","3 51.755,4 "," 116.194,4  224.684,0 ","3 40.878,4"
"",CAPILLA DEL CARMEN ,"8 9.406,3 "," 215.847,5 ","3 05.253,8 "," 128.311,1 ","182.343,8 ","","3 10.654,9 ","102.617,7  198.431,0 ","3 01.048,7"
"",CARRILOBO ,"1 25.742,8 "," 303.572,3 ","4 29.315,1 "," 180.459,3 ","256.452,0 ","","4 36.911,3 "," 144.323,6  279.077,4 ","4 23.401,0"
"",COLAZO ,"1 20.356,3 "," 290.568,1 ","4 10.924,4 ","172.728,9 ","245.466,3 ","","4 18.195,2 "," 138.141,2 267.122,4 ","4 05.263,7"
"",COSTASACATE ,"1 15.099,2 "," 277.876,2 ","3 92.975,5 ","165.184,2 "," 234.744,4 ","","3 99.928,6 "," 132.107,3  255.454,7 ","3 87.561,9"
"",LAGUNA LARGA ,"2 73.021,6 "," 659.137,7 ","9 32.159,3 "," 391.825,9 "," 556.826,7 ","","9 48.652,6 ","313.365,7 605.952,5 ","9 19.318,1"
"",LAS JUNTURAS ,"1 23.990,8 ","299.342,5 ","4 23.333,3 ","177.944,8 "," 252.878,7 ","","4 30.823,5 "," 142.312,7  275.188,8 ","4 17.501,5"
"",LUQUE ,"2 35.654,1 "," 568.923,6 ","8 04.577,7 "," 338.197,9 "," 480.615,6 ","","8 18.813,5 "," 270.476,3  523.017,7 ","7 93.494,0"
"",MANFREDI ,"1 04.198,9 "," 251.560,2 ","3 55.759,1 ","149.540,6 ","212.513,2 ","","3 62.053,8 "," 119.596,2 231.262,1 ","3 50.858,3"
"",MATORRALES ,"1 06.466,4 ","257.034,7 ","3 63.501,1 "," 152.794,9 ","217.137,9 ","","3 69.932,8 ","122.198,8  236.294,8 ","3 58.493,6"
DEPARTAMENTO ,M U N I C I P I O ,"",07- JULIO , TOTAL JULIO ,"",08- AGOSTO , TOTAL ,09- SEPTIEMBRE , TOTAL 
"","",1° ,2° ,"",1° ,2° ,AGOSTO ,1° 2° ,SEPTIEMBRE 
"",ONCATIVO ," 406.306,9 ","9 80.919,2 "," 1.387.226,1 "," 583.109,6 "," 828.661,5 "," 1.411.771,1 ","466.346,3  901.769,8 "," 1.368.116,1"
"",PILAR ,"4 31.123,8 "," 1.040.833,0 ","1.471.956,9 ","618.725,5 "," 879.275,5 "," 1.498.001,0 ","494.830,4  956.849,2 "," 1.451.679,6"
"",POZO DEL MOLLE ," 229.700,7 ","554.550,8 ","7 84.251,5 ","329.654,0 ","468.473,7 ","7 98.127,7 "," 263.643,2  509.804,6 ","7 73.447,8"
"",RIO SEGUNDO ,"5 83.195,6 "," 1.407.969,6 ","1.991.165,2 "," 836.970,7 "," 1.189.426,3 "," 2.026.397,0 "," 669.373,6  1.294.361,8 ","1.963.735,4"
"",SANTIAGO TEMPLE ," 149.735,1 ","361.495,2 ","5 11.230,3 "," 214.891,6 "," 305.384,1 ","5 20.275,8 ","171.861,2  332.326,5 ","5 04.187,7"
"",VILLA DEL ROSARIO ,"4 68.517,1 "," 1.131.109,1 ","1.599.626,2 "," 672.390,3 ","955.538,9 ","1.627.929,3 ","537.749,2 1.039.840,9 ","1.577.590,2"
Total RIO SEGUNDO ,"","3.801.218,4 ","9.177.024,0 ","12.978.242,3 ","5.455.302,6 ","7.752.572,3 ","13.207.874,9 ","4.362.919,2 8.436.538,5 ","12.799.457,6"
SAN ALBERTO,"","","","","","","","",""
"",MINA CLAVERO ,"3 27.915,5 ","7 91.664,3 "," 1.119.579,8 "," 470.606,6 "," 668.782,6 "," 1.139.389,2 "," 376.371,2  727.785,6 "," 1.104.156,8"
"",NONO ,"1 37.190,3 ","331.209,3 ","4 68.399,6 "," 196.888,1 "," 279.799,1 ","4 76.687,2 "," 157.462,7  304.484,3 ","4 61.947,0"
"",SAN PEDRO ,"2 09.522,6 "," 505.836,3 ","7 15.358,9 ","300.695,5 ","427.320,6 ","7 28.016,1 ","240.483,5 465.020,8 ","7 05.504,3"
"",VILLA CURA BROCHERO ,"2 33.700,5 ","564.207,4 ","7 97.907,9 ","335.394,4 ","476.631,4 ","8 12.025,8 "," 268.234,1 518.682,0 ","7 86.916,2"
"",VILLA SARMIENTO ,"2 13.801,0 ","516.165,2 ","7 29.966,2 "," 306.835,6 ","436.046,3 ","7 42.881,9 "," 245.394,1  474.516,3 ","7 19.910,4"
Total SAN ALBERTO ,"","1 .122.130,0 ","2.709.082,4 ","3.831.212,4 ","1.610.420,2 ","2.288.580,1 ","3.899.000,3 ","1.287.945,6 2.490.489,1 ","3.778.434,7"
SAN JAVIER,"","","","","","","","",""
"",LA PAZ ," 164.501,0 ","3 97.143,5 ","5 61.644,5 "," 236.082,9 "," 335.499,1 ","5 71.582,0 "," 188.809,0  365.098,4 ","5 53.907,4"
"",LAS TAPIAS ," 130.122,9 ","314.146,9 ","4 44.269,8 "," 186.745,3 "," 265.385,2 ","4 52.130,5 "," 149.351,0  288.798,7 ","4 38.149,7"
"",LOS CERRILLOS ,"1 42.322,0 ","343.598,3 ","4 85.920,3 ","204.252,8 "," 290.265,2 ","4 94.518,0 ","163.352,7 315.873,7 ","4 79.226,4"
"",SAN JAVIER Y YACANTO ,"1 20.866,9 "," 291.800,8 ","4 12.667,7 ","173.461,7 ","246.507,7 ","4 19.969,3 "," 138.727,3 268.255,7 ","4 06.982,9"
"",SAN JOSE ,"1 36.958,2 ","330.648,9 ","4 67.607,2 ","196.555,0 "," 279.325,8 ","4 75.880,8 ","157.196,3  303.969,2 ","4 61.165,5"
"",VILLA DE LAS ROSAS ,"1 81.340,9 "," 437.799,0 ","6 19.139,9 "," 260.250,6 ","369.844,1 ","6 30.094,7 ","208.137,4 402.473,4 ","6 10.610,8"
"",VILLA DOLORES ,"8 65.463,3 ","2.089.429,5 ","2.954.892,8 "," 1.242.066,1 "," 1.765.109,4 "," 3.007.175,5 ","993.351,7  1.920.835,4 ","2.914.187,0"
Total SAN JAVIER ,"","1 .741.575,2 ","4.204.567,0 ","5.946.142,2 ","2.499.414,3 ","3.551.936,4 ","6.051.350,7 ","1.998.925,4 3.865.304,4 ","5.864.229,8"
SAN JUSTO,"","","","","","","","",""
"",ALICIA ,"1 65.587,3 ","3 99.766,3 ","5 65.353,7 "," 237.642,0 "," 337.714,8 ","5 75.356,8 "," 190.056,0  367.509,5 ","5 57.565,5"
"",ALTOS DE CHIPION ,"127.452,4 ","307.699,6 ","4 35.152,0 "," 182.912,7 "," 259.938,7 ","4 42.851,4 "," 146.285,8  282.871,6 ","4 29.157,5"
"",ARROYITO ," 659.658,1 ","1.592.567,9 ","2.252.226,0 ","946.705,6 ","1.345.370,4 ","2.292.076,0 ","757.134,9 1.464.065,1 "," 2.221.200,0"
"",BALNEARIA ,"2 45.104,6 ","591.739,4 ","8 36.844,0 "," 351.760,8 ","499.889,9 ","8 51.650,8 ","281.323,4  543.992,5 ","8 25.315,9"
"",BRINCKMAN ,"3 49.202,7 ","843.056,4 ","1.192.259,2 "," 501.156,8 "," 712.197,7 "," 1.213.354,5 "," 400.803,9  775.031,0 ","1.175.834,9"
"",COLONIA MARINA ,"1 10.489,0 "," 266.746,1 ","3 77.235,1 ","158.567,8 ","225.341,9 ","3 83.909,8 ","126.815,8 245.222,6 ","3 72.038,5"
"",COLONIA PROSPERIDAD ,"8 9.291,7 "," 215.570,9 ","3 04.862,7 ","128.146,6 "," 182.110,1 ","3 10.256,8 ","102.486,2  198.176,7 ","3 00.663,0"
"",COLONIA SAN BARTOLOME ,"1 13.658,3 ","274.397,5 ","3 88.055,8 ","163.116,2 "," 231.805,7 ","3 94.921,9 "," 130.453,4 252.256,6 ","3 82.710,0"
"",COLONIA VIGNAUD ,"1 04.390,5 ","252.022,8 ","3 56.413,3 ","149.815,5 "," 212.904,0 ","3 62.719,5 ","119.816,1 231.687,3 ","3 51.503,4"
"",DEVOTO ,"2 41.244,0 "," 582.419,0 ","8 23.663,0 "," 346.220,3 ","492.016,2 ","8 38.236,5 ","276.892,3  535.424,2 ","8 12.316,4"
"",EL ARAÑADO ,"1 26.254,4 "," 304.807,4 ","4 31.061,8 ","181.193,5 "," 257.495,4 ","4 38.688,8 ","144.910,8  280.212,8 ","4 25.123,6"
"",EL FORTIN ,"1 16.933,2 "," 282.304,0 ","3 99.237,2 ","167.816,2 ","238.484,9 ","4 06.301,1 ","134.212,3 259.525,1 ","3 93.737,4"
"",EL TIO ,"127.905,7 ","308.794,0 ","4 36.699,7 ","183.563,3 "," 260.863,2 ","4 44.426,5 "," 146.806,1 283.877,7 ","4 30.683,9"
"",FREYRE ,"2 55.943,7 ","6 17.907,6 ","8 73.851,3 "," 367.316,6 "," 521.996,3 ","8 89.312,9 "," 293.764,2  568.049,2 ","8 61.813,4"
"",LA FRANCIA ,"1 82.524,0 "," 440.655,4 ","6 23.179,5 "," 261.948,6 "," 372.257,1 ","6 34.205,8 ","209.495,4  405.099,4 ","6 14.594,7"
"",LA PAQUITA ,"103.698,1 "," 250.351,4 ","3 54.049,5 "," 148.821,9 ","211.492,0 ","3 60.313,9 ","119.021,5  230.150,8 ","3 49.172,2"
"",LA TORDILLA ,"1 13.418,3 ","273.818,1 ","3 87.236,4 "," 162.771,8 "," 231.316,2 ","3 94.088,0 "," 130.178,0 251.724,0 ","3 81.901,9"
"",LAS VARAS ,"1 14.669,6 ","276.839,1 ","3 91.508,7 ","164.567,6 "," 233.868,3 ","3 98.435,9 "," 131.614,2 254.501,2 ","3 86.115,3"
"",LAS VARILLAS ,"5 16.787,0 "," 1.247.643,9 "," 1.764.430,9 "," 741.664,7 ","1.053.986,3 ","1.795.651,0 ","593.151,9  1.146.972,7 ","1.740.124,6"
"",LASPIUR ,"1 44.335,7 "," 348.460,0 ","4 92.795,7 ","207.142,8 ","294.372,2 ","5 01.515,1 "," 165.664,0 320.343,1 ","4 86.007,1"
"",MARULL ,"1 27.292,4 "," 307.313,4 ","4 34.605,7 ","182.683,1 ","259.612,4 ","4 42.295,5 "," 146.102,2  282.516,5 ","4 28.618,7"
"",MIRAMAR ,"1 38.397,2 ","334.122,9 ","4 72.520,1 "," 198.620,1 "," 282.260,6 ","4 80.880,7 ","158.847,9 307.162,9 ","4 66.010,8"
"",MORTEROS ,"5 25.441,5 "," 1.268.537,9 "," 1.793.979,5 "," 754.085,2 "," 1.071.637,2 "," 1.825.722,4 ","603.085,3  1.166.180,8 "," 1.769.266,1"
"",PORTEÑA ,"2 27.049,9 "," 548.151,2 ","7 75.201,1 "," 325.849,7 "," 463.067,5 ","7 88.917,2 ","260.600,8  503.921,4 ","7 64.522,2"
"",QUEBRACHO HERRADO ,"8 9.398,4 ","215.828,5 ","3 05.226,8 "," 128.299,7 "," 182.327,7 ","3 10.627,4 ","102.608,7 198.413,5 ","3 01.022,1"
"",SACANTA ,"1 59.248,8 "," 384.463,6 ","5 43.712,4 "," 228.545,2 "," 324.787,4 ","5 53.332,6 "," 182.780,8  353.441,6 ","5 36.222,4"
"",SAN FRANCISCO ,"1 .714.323,8 ","4.138.775,8 ","5.853.099,6 ","2.460.304,6 ","3.496.357,3 ","5.956.661,9 ","1.967.647,1 3.804.821,8 ","5.772.468,9"
"",SEEBER ,"9 9.836,5 ","241.028,6 ","3 40.865,1 "," 143.280,0 "," 203.616,3 ","3 46.896,3 "," 114.589,2  221.580,2 ","3 36.169,5"
"",TRANSITO ," 160.793,4 ","388.192,7 ","5 48.986,1 "," 230.762,0 "," 327.937,6 ","5 58.699,7 "," 184.553,7  356.869,8 ","5 41.423,5"
"",VILLA CONCEPCION DEL TIO ,"1 26.254,4 "," 304.807,4 ","4 31.061,8 "," 181.193,5 ","257.495,4 ","4 38.688,8 "," 144.910,8  280.212,8 ","4 25.123,6"
Total SAN JUSTO ,"","7 .376.584,8 ","17.808.788,9 ","25.185.373,7 ","10.586.474,7 ","15.044.520,4 ","25.630.995,2 ","8.466.612,6 16.371.814,4 ","24.838.426,9"
SANTA MARIA,"","","","","","","","",""
"",ALTA GRACIA ,"1.311.252,3 "," 3.165.667,7 ","4.476.920,0 "," 1.881.838,3 "," 2.674.295,5 "," 4.556.133,7 ","1.505.014,3  2.910.233,9 "," 4.415.248,2"
"",BOWER ,"133.835,4 "," 323.109,6 ","4 56.945,0 ","192.073,3 ","272.956,7 ","4 65.030,0 "," 153.612,0  297.038,2 ","4 50.650,3"
"",DESPEÑADEROS ,"2 48.244,2 ","5 99.319,2 ","8 47.563,5 "," 356.266,7 "," 506.293,2 ","8 62.559,9 "," 284.926,9  550.960,7 ","8 35.887,7"
"",LOZADA ,"1 09.478,7 ","264.306,9 ","3 73.785,6 "," 157.117,9 "," 223.281,4 ","3 80.399,2 "," 125.656,2  242.980,3 ","3 68.636,5"
"",MALAGUEÑO ,"4 13.922,4 ","999.304,9 "," 1.413.227,4 ","594.039,1 ","844.193,3 "," 1.438.232,4 ","475.087,2 918.671,9 ","1.393.759,1"
"",MONTE RALO ,"9 4.411,5 ","227.931,4 ","3 22.342,9 "," 135.494,3 "," 192.552,0 ","3 28.046,3 "," 108.362,6  209.539,8 ","3 17.902,4"
"",TOLEDO ,"1 81.733,9 ","438.748,0 ","6 20.481,9 ","260.814,7 "," 370.645,7 ","6 31.460,5 "," 208.588,5  403.345,8 ","6 11.934,3"
"",VILLA PQUE.SANTA ANA ,"1 45.737,2 ","351.843,4 ","4 97.580,5 ","209.154,1 ","297.230,4 ","5 06.384,5 ","167.272,6  323.453,5 ","4 90.726,0"
DEPARTAMENTO M U N I C I P I O ,"","","",07- JULIO ,"", TOTAL JULIO ,"",08- AGOSTO , TOTAL ,09- SEPTIEMBRE , TOTAL 
"","","",1° ,2° ,"","",1° ,2° ,AGOSTO ,1° 2° ,SEPTIEMBRE 
ANISACATE ,"","","1 60.293,7 ","3 86.986,2 ","","5 47.279,9 "," 230.044,8 "," 326.918,4 ","5 56.963,3 "," 183.980,1  355.760,7 ","5 39.740,8"
Total SANTA MARIA ,"",2 ,".798.909,4 ","6.757.217,3 ","","9.556.126,8 ","4.016.843,1 ","5.708.366,8 ","9.725.209,8 ","3.212.500,4 6.211.984,8 ","9.424.485,2"
SOBREMONTE,"","","","","","","","","","",""
SAN FRANCISCO DEL CHAÑAR ,"","","1 66.131,5 ","4 01.080,1 ","","5 67.211,6 "," 238.423,0 "," 338.824,7 ","5 77.247,6 "," 190.680,6  368.717,3 ","5 59.397,9"
Total SOBREMONTE ,"","","1 66.131,5 ","401.080,1 ","","567.211,6 ","238.423,0 ","338.824,7 ","577.247,6 ","190.680,6 368.717,3 ","559.397,9"
TERCERO ARRIBA,"","","","","","","","","","",""
ALMAFUERTE ,"","","3 65.448,1 ","8 82.276,5 ",""," 1.247.724,6 ","524.471,3 "," 745.330,0 "," 1.269.801,3 "," 419.449,8  811.086,5 "," 1.230.536,3"
COLONIA ALMADA ,"","","9 2.843,2 "," 224.145,1 ","","3 16.988,3 "," 133.243,5 ","189.353,4 ","3 22.596,9 ","106.562,5 206.059,0 ","3 12.621,5"
CORRALITO ,"","","1 28.317,5 ","309.788,3 ","","4 38.105,8 ","184.154,4 "," 261.703,1 ","4 45.857,5 "," 147.278,8 284.791,8 ","4 32.070,6"
DALMACIO VELEZ ,"","","1 22.086,6 ","294.745,5 ","","4 16.832,1 ","175.212,1 "," 248.995,3 ","4 24.207,4 ","140.127,2 270.962,7 ","4 11.090,0"
HERNANDO ,"","","3 57.591,6 "," 863.307,7 ",""," 1.220.899,3 ","513.194,6 ","729.305,7 "," 1.242.500,3 ","410.431,2 793.648,3 "," 1.204.079,5"
JAMES CRAIK ,"","","2 08.089,6 ","502.376,6 ","","7 10.466,1 ","298.638,9 ","424.398,0 ","7 23.036,8 ","238.838,7  461.840,3 ","7 00.679,0"
LAS PERDICES ,"","","2 11.777,4 ","511.279,7 ","","7 23.057,1 ","303.931,4 "," 431.919,2 ","7 35.850,5 "," 243.071,4  470.025,0 ","7 13.096,4"
LOS ZORROS ,"","","9 8.462,8 ","237.712,0 ","","3 36.174,7 ","141.308,4 "," 200.814,4 ","3 42.122,9 "," 113.012,5  218.531,2 ","3 31.543,7"
OLIVA ,"","","4 01.684,8 "," 969.760,5 ",""," 1.371.445,3 ","5 76.476,3 ","819.234,8 "," 1.395.711,1 ","4 61.041,3  891.511,4 "," 1.352.552,7"
PAMPAYASTA SUD ,"","","1 11.075,7 "," 268.162,4 ","","3 79.238,1 "," 159.409,8 "," 226.538,4 ","3 85.948,2 ","127.489,2  246.524,7 ","3 74.013,8"
RIO TERCERO ,"","1.255.992,0 ",""," 3.032.256,4 ",""," 4.288.248,5 ","1.802.531,7 ","2.561.591,3 ","4.364.122,9 "," 1.441.588,2 2.787.586,5 "," 4.229.174,7"
TANCACHA ,"","","2 22.559,2 "," 537.309,6 ","","7 59.868,8 "," 319.404,9 ","453.908,7 ","7 73.313,6 "," 255.446,5  493.954,6 ","7 49.401,1"
VILLA ASCASUBI ,"","","1 41.286,0 ","341.097,1 ","","4 82.383,1 "," 202.766,0 "," 288.152,2 ","4 90.918,2 "," 162.163,6 313.574,3 ","4 75.737,9"
Total TERCERO ARRIBA ,"",3 ,".717.214,4 ","8.974.217,4 ","","12.691.431,8 ","5.334.743,2 ","7.581.244,4 ","12.915.987,6 ","4.266.500,9 8.250.096,3 ","12.516.597,1"
TOTORAL,"","","","","","","","","","",""
CAÑADA DE LUQUE ,"","","1 14.130,4 ","2 75.537,2 ","","3 89.667,6 "," 163.793,7 "," 232.768,5 ","3 96.562,2 "," 130.995,3  253.304,4 ","3 84.299,6"
LAS PEÑAS ,"","","1 26.375,9 "," 305.100,7 ","","4 31.476,6 "," 181.367,8 "," 257.743,1 ","4 39.110,9 "," 145.050,3  280.482,4 ","4 25.532,7"
SARMIENTO ,"","","1 17.538,6 "," 283.765,6 ","","4 01.304,2 "," 168.685,1 ","239.719,6 ","4 08.404,7 ","134.907,2  260.868,8 ","3 95.776,0"
SINSACATE ,"","","1 17.171,2 ","282.878,6 ","","4 00.049,9 ","168.157,8 ","238.970,3 ","4 07.128,2 "," 134.485,5 260.053,4 ","3 94.538,9"
VILLA DEL TOTORAL ,"","","3 15.493,3 "," 761.674,0 ",""," 1.077.167,3 "," 452.778,8 ","643.447,4 "," 1.096.226,2 "," 362.113,3  700.215,2 ","1.062.328,5"
Total TOTORAL ,"","","790.709,4 ","1.908.956,1 ","","2.699.665,5 ","1.134.783,3 ","1.612.649,0 ","2.747.432,2 ","907.551,4 1.754.924,2 ","2.662.475,6"
TULUMBA,"","","","","","","","","","",""
LAS ARRIAS ,"","","1 17.135,7 ","2 82.792,8 ","","3 99.928,5 "," 168.106,8 "," 238.897,8 ","4 07.004,6 "," 134.444,7  259.974,5 ","3 94.419,2"
LUCIO V. MANSILLA ,"","","1 06.746,9 "," 257.711,8 ","","3 64.458,8 "," 153.197,4 "," 217.710,0 ","3 70.907,3 "," 122.520,8  236.917,3 ","3 59.438,1"
SAN JOSE DE LA DORMIDA ,"","","2 20.650,1 ","532.700,7 ","","7 53.350,8 ","316.665,1 "," 450.015,2 ","7 66.680,3 "," 253.255,3 489.717,5 ","7 42.972,8"
SAN JOSE DE LAS SALINAS ,"","","1 04.451,7 ","252.170,6 ","","3 56.622,3 "," 149.903,4 ","213.028,8 ","3 62.932,2 "," 119.886,4  231.823,2 ","3 51.709,6"
SAN PEDRO NORTE ,"","","1 09.475,7 ","264.299,8 ","","3 73.775,5 ","157.113,6 "," 223.275,3 ","3 80.388,9 "," 125.652,8  242.973,7 ","3 68.626,5"
VILLA TULUMBA ,"","","1 29.911,5 "," 313.636,6 ","","4 43.548,2 "," 186.442,0 ","264.954,1 ","4 51.396,1 ","149.108,4 288.329,6 ","4 37.438,0"
Total TULUMBA ,"","","7 88.371,7 ","1.903.312,3 ","","2.691.684,0 ","1.131.428,3 ","1.607.881,2 ","2.739.309,6 ","904.868,3 1.749.735,8 ","2.654.604,1"
UNION,"","","","","","","","","","",""
ALTO ALEGRE ,"",""," 105.855,1 ","2 55.558,8 ","","3 61.413,9 "," 151.917,5 "," 215.891,1 ","3 67.808,6 "," 121.497,2  234.938,0 ","3 56.435,1"
BALLESTEROS ,"","","1 81.291,5 ","437.679,8 ","","6 18.971,3 "," 260.179,7 "," 369.743,4 ","6 29.923,1 "," 208.080,7  402.363,8 ","6 10.444,5"
BALLESTEROS SUR ,"","","9 5.296,5 "," 230.067,8 ","","3 25.364,2 "," 136.764,3 "," 194.356,8 ","3 31.121,1 ","109.378,3  211.503,8 ","3 20.882,1"
BELL VILLE ,"","","9 57.535,2 ","2.311.712,4 ",""," 3.269.247,6 ","1.374.202,6 "," 1.952.889,6 "," 3.327.092,3 ","1.099.028,9 2.125.182,5 "," 3.224.211,3"
BENJAMIN GOULD ,"","","9 8.956,6 "," 238.904,1 ","","3 37.860,7 ","142.017,1 ","201.821,6 ","3 43.838,7 "," 113.579,2 219.627,2 ","3 33.206,4"
CANALS ,"","","3 16.497,7 ","764.098,9 ",""," 1.080.596,6 ","454.220,3 "," 645.495,9 ","1.099.716,2 "," 363.266,1 702.444,5 "," 1.065.710,6"
CHILIBROSTE ,"","","9 5.190,8 ","229.812,6 ","","3 25.003,4 ","136.612,6 ","194.141,2 ","3 30.753,9 "," 109.257,0 211.269,3 ","3 20.526,3"
CINTRA ,"","","1 15.439,0 ","278.696,5 ","","3 94.135,4 ","165.671,7 "," 235.437,4 ","4 01.109,1 "," 132.497,2 256.208,7 ","3 88.705,9"
COLONIA BISMARCK ,"","","9 0.477,9 ","218.434,5 ","","3 08.912,4 ","129.848,9 ","184.529,3 ","3 14.378,2 ","103.847,6 200.809,3 ","3 04.656,9"
IDIAZABAL ,"","","1 22.206,1 "," 295.034,0 ","","4 17.240,1 ","175.383,6 "," 249.239,0 ","4 24.622,6 ","140.264,4  271.228,0 ","4 11.492,3"
