DEPARTAMENTO M U N I C I P I O ,"","","",07- JULIO , TOTAL JULIO ,"",08- AGOSTO , TOTAL ,09- SEPTIEMBRE , TOTAL 
"","","",1° ,2° ,"",1° ,2° ,AGOSTO ,1° 2° ,SEPTIEMBRE 
MALVINAS ARGENTINAS ,"","","3 94.804,1 "," 953.148,8 "," 1.347.952,9 "," 566.601,4 ","805.201,5 ","1.371.803,0 "," 453.143,7  876.240,1 ","1.329.383,8"
MENDIOLAZA ,"","","2 84.444,5 ","686.715,0 ","9 71.159,5 ","408.219,3 ","580.123,5 ","9 88.342,7 "," 326.476,4  631.304,6 ","9 57.781,0"
RIO CEBALLOS ,"","","5 59.204,3 "," 1.350.049,1 ","1.909.253,4 "," 802.539,7 "," 1.140.495,2 "," 1.943.035,0 "," 641.837,2  1.241.114,9 "," 1.882.952,1"
SALDAN ,"","","3 38.147,3 "," 816.366,1 "," 1.154.513,4 ","485.290,7 "," 689.650,2 "," 1.174.940,9 "," 388.114,9 750.494,3 "," 1.138.609,1"
SALSIPUEDES ,"","","3 05.530,2 ","737.620,7 "," 1.043.150,9 ","4 38.480,3 ","623.127,7 "," 1.061.608,0 ","3 50.677,9  678.102,8 "," 1.028.780,7"
UNQUILLO ,"","","5 10.372,4 "," 1.232.157,6 ","1.742.530,0 ","7 32.458,9 "," 1.040.902,8 "," 1.773.361,6 ","5 85.789,5  1.132.735,9 "," 1.718.525,4"
VILLA ALLENDE ,"","","7 69.080,5 "," 1.856.738,9 "," 2.625.819,5 "," 1.103.742,7 ","1.568.536,9 "," 2.672.279,6 ","8 82.726,5  1.706.920,4 "," 2.589.646,9"
Total COLON ,"","6.436.060,4 ","","15.538.144,5 ","21.974.204,9 ","9.236.685,0 ","13.126.322,2 ","22.363.007,2 ","7.387.108,1 14.284.386,1 ","21.671.494,3"
CRUZ DEL EJE,"","","","","","","","","",""
CRUZ DEL EJE ,"","","8 69.116,5 "," 2.098.249,2 ","2.967.365,7 "," 1.247.309,0 ","1.772.560,1 ","3.019.869,0 ","9 97.544,7  1.928.943,4 "," 2.926.488,1"
EL BRETE ,"","","1 31.332,7 ","3 17.067,7 ","4 48.400,4 "," 188.481,6 "," 267.852,6 ","4 56.334,3 "," 150.739,6  291.483,8 ","4 42.223,4"
SAN MARCOS SIERRAS ,"","","1 33.174,6 ","321.514,5 ","4 54.689,2 "," 191.125,0 "," 271.609,2 ","4 62.734,2 ","152.853,7 295.571,8 ","4 48.425,5"
SERREZUELA ,"","","1 54.863,8 "," 373.877,1 ","5 28.740,9 "," 222.252,1 "," 315.844,1 ","5 38.096,2 "," 177.747,8 343.709,3 ","5 21.457,1"
VILLA DE SOTO ,"","","312.646,0 "," 754.799,9 "," 1.067.445,9 "," 448.692,5 "," 637.640,3 ","1.086.332,8 ","358.845,2 693.895,8 "," 1.052.741,1"
Total CRUZ DEL EJE ,"",1 ,".601.133,6 ","3.865.508,5 ","5.466.642,1 ","2.297.860,2 ","3.265.506,4 ","5.563.366,6 ","1.837.730,9 3.553.604,2 ","5.391.335,1"
GENERAL ROCA,"","","","","","","","","",""
BUCHARDO ,"","","1 32.295,7 ","3 19.392,5 ","4 51.688,1 "," 189.863,6 "," 269.816,5 ","4 59.680,1 "," 151.844,8  293.621,0 ","4 45.465,8"
DEL CAMPILLO ,"","","1 80.347,3 ","435.400,3 ","6 15.747,7 "," 258.824,7 "," 367.817,7 ","6 26.642,4 "," 206.997,0  400.268,3 ","6 07.265,3"
HUINCA RENANCO ,"","","3 21.670,8 ","776.588,1 "," 1.098.258,9 "," 461.644,5 ","656.046,5 "," 1.117.691,0 ","369.203,7 713.925,9 "," 1.083.129,6"
ITALO ,"","","1 13.895,3 ","274.969,7 ","3 88.865,0 "," 163.456,4 ","232.289,1 ","3 95.745,5 "," 130.725,5  252.782,7 ","3 83.508,1"
JOVITA ,"","","2 18.012,2 ","526.332,1 ","7 44.344,3 "," 312.879,3 ","444.635,1 ","7 57.514,4 ","250.227,6  483.862,8 ","7 34.090,4"
MATTALDI ,"","","1 30.736,2 ","315.627,6 ","4 46.363,8 "," 187.625,5 ","266.636,0 ","4 54.261,6 "," 150.054,9  290.159,9 ","4 40.214,8"
VILLA HUIDOBRO ,"","","2 38.700,9 "," 576.279,3 ","8 14.980,2 "," 342.570,5 ","486.829,6 ","8 29.400,1 ","273.973,4  529.779,9 ","8 03.753,2"
VILLA VALERIA ,"","","1 60.841,8 "," 388.309,5 ","5 49.151,4 "," 230.831,5 ","328.036,3 ","5 58.867,8 "," 184.609,2  356.977,2 ","5 41.586,4"
Total GENERAL ROCA ,"",1 ,".496.500,2 ","3.612.899,1 ","5.109.399,3 ","2.147.696,0 ","3.052.106,9 ","5.199.802,9 ","1.717.636,0 3.321.377,6 ","5.039.013,7"
GENERAL SAN MARTIN,"","","","","","","","","",""
ARROYO ALGODON ,"","","9 8.711,6 "," 238.312,8 ","3 37.024,5 "," 141.665,6 "," 201.322,0 ","3 42.987,6 "," 113.298,1  219.083,6 ","3 32.381,7"
ARROYO CABRAL ,"","","1 56.940,7 ","378.891,4 ","5 35.832,1 ","225.232,8 ","320.080,1 ","5 45.312,9 ","180.131,6 348.319,0 ","5 28.450,6"
AUSONIA ,"","","1 06.787,4 ","257.809,6 ","3 64.597,0 ","153.255,5 "," 217.792,5 ","3 71.048,0 ","122.567,2  237.007,2 ","3 59.574,4"
