"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP. ,M U N I C I P I O ,1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
CALAMUCHITA,"","","","","","","","","","",""
"",COLONIA SAN BARTOLOME ,28.485 ,74.801 ,103.286 ,43.474 ,77.721 ,121.195 ,39.877 ,69.771 ,109.648 ,334.128
"",COLONIA VIGNAUD ,25.976 ,68.213 ,94.189 ,39.645 ,70.876 ,110.520 ,36.365 ,63.626 ,99.991 ,304.700
"",DEVOTO ,60.412 ,158.640 ,219.052 ,92.200 ,164.834 ,257.034 ,84.574 ,147.972 ,232.546 ,708.632
"",EL ARAÑADO ,30.667 ,80.530 ,111.197 ,46.804 ,83.674 ,130.478 ,42.932 ,75.115 ,118.047 ,359.723
"",EL FORTIN ,29.292 ,76.921 ,106.213 ,44.706 ,79.924 ,124.630 ,41.008 ,71.748 ,112.756 ,343.599
"",EL TIO ,32.068 ,84.210 ,116.278 ,48.942 ,87.497 ,136.439 ,44.893 ,78.547 ,123.440 ,376.158
"",FREYRE ,64.029 ,168.138 ,232.167 ,97.720 ,174.701 ,272.421 ,89.636 ,156.830 ,246.467 ,751.055
"",LA FRANCIA ,45.680 ,119.953 ,165.632 ,69.716 ,124.636 ,194.352 ,63.949 ,111.886 ,175.835 ,535.819
"",LA PAQUITA ,25.743 ,67.599 ,93.342 ,39.288 ,70.239 ,109.527 ,36.038 ,63.054 ,99.092 ,301.961
"",LA TORDILLA ,28.385 ,74.538 ,102.923 ,43.321 ,77.448 ,120.769 ,39.737 ,69.526 ,109.263 ,332.956
"",LAS VARAS ,28.645 ,75.221 ,103.866 ,43.718 ,78.158 ,121.876 ,40.101 ,70.163 ,110.264 ,336.006
"",LAS VARILLAS ,128.997 ,338.741 ,467.739 ,196.874 ,351.967 ,548.841 ,180.588 ,315.962 ,496.551 ,1.513.130
"",LASPIUR ,36.158 ,94.950 ,131.109 ,55.184 ,98.657 ,153.842 ,50.619 ,88.565 ,139.185 ,424.135
"",MARULL ,31.895 ,83.754 ,115.648 ,48.677 ,87.024 ,135.701 ,44.650 ,78.122 ,122.772 ,374.121
"",MIRAMAR ,34.644 ,90.973 ,125.617 ,52.873 ,94.525 ,147.398 ,48.499 ,84.855 ,133.355 ,406.369
"",MORTEROS ,131.646 ,345.699 ,477.345 ,200.917 ,359.194 ,560.111 ,184.297 ,322.452 ,506.749 ,1.544.205
"",PORTEÑA ,56.849 ,149.284 ,206.133 ,86.763 ,155.112 ,241.875 ,79.586 ,139.245 ,218.831 ,666.839
"",QUEBRACHO HERRADO ,22.400 ,58.822 ,81.222 ,34.187 ,61.118 ,95.305 ,31.359 ,54.866 ,86.225 ,262.751
"",SACANTA ,39.835 ,104.604 ,144.439 ,60.795 ,108.688 ,169.484 ,55.766 ,97.570 ,153.336 ,467.259
"",SAN FRANCISCO ,428.813 ,1.126.045 ,1.554.858 ,654.448 ,1.170.008 ,1.824.457 ,600.312 ,1.050.323 ,1.650.635 ,5.029.949
"",SEEBER ,25.015 ,65.689 ,90.705 ,38.178 ,68.254 ,106.432 ,35.020 ,61.272 ,96.292 ,293.429
"",TRANSITO ,40.268 ,105.743 ,146.011 ,61.457 ,109.872 ,171.329 ,56.373 ,98.632 ,155.006 ,472.346
"",VILLA CONCEPCION DEL TIO ,31.668 ,83.159 ,114.827 ,48.331 ,86.405 ,134.736 ,44.333 ,77.567 ,121.900 ,371.463
Total SAN JUSTO ,"",1.841.782 ,4.836.440 ,6.678.221 ,2.810.902 ,5.025.264 ,7.836.165 ,2.578.380 ,4.511.209 ,7.089.589 ,21.603.975
SANTA MARIA,"","","","","","","","","","",""
"",ALTA GRACIA ,326.281 ,856.799 ,1.183.079 ,497.965 ,890.250 ,1.388.215 ,456.773 ,799.183 ,1.255.955 ,3.827.250
"",ANISACATE ,39.753 ,104.390 ,144.144 ,60.671 ,108.466 ,169.137 ,55.652 ,97.370 ,153.023 ,466.303
"",DESPEÑADEROS ,62.627 ,164.455 ,227.082 ,95.580 ,170.876 ,266.456 ,87.674 ,153.396 ,241.070 ,734.607
"",LOZADA ,27.361 ,71.848 ,99.209 ,41.758 ,74.653 ,116.411 ,38.303 ,67.017 ,105.320 ,320.939
"",MALAGUEÑO ,101.384 ,266.232 ,367.616 ,154.732 ,276.625 ,431.357 ,141.932 ,248.329 ,390.260 ,1.189.233
"",MONTE RALO ,23.784 ,62.457 ,86.241 ,36.300 ,64.895 ,101.195 ,33.297 ,58.257 ,91.554 ,278.990
"",TOLEDO ,45.255 ,118.837 ,164.091 ,69.067 ,123.476 ,192.543 ,63.354 ,110.845 ,174.199 ,530.833
"",VILLA PQUE.SANTA ANA ,36.399 ,95.582 ,131.981 ,55.552 ,99.314 ,154.866 ,50.956 ,89.155 ,140.111 ,426.958
Total SANTA MARIA ,"",662.844 ,1.740.599 ,2.403.443 ,1.011.624 ,1.808.555 ,2.820.179 ,927.940 ,1.623.551 ,2.551.491 ,7.775.114
SOBREMONTE,"","","","","","","","","","",""
"",SAN FRANCISCO DEL CHAÑAR ,42.083 ,110.507 ,152.589 ,64.226 ,114.821 ,179.047 ,58.913 ,103.076 ,161.989 ,493.625
Total SOBREMONTE ,"",42.083 ,110.507 ,152.589 ,64.226 ,114.821 ,179.047 ,58.913 ,103.076 ,161.989 ,493.625
TERCERO ARRIBA,"","","","","","","","","","",""
"",ALMAFUERTE ,92.026 ,241.657 ,333.683 ,140.449 ,251.092 ,391.541 ,128.831 ,225.406 ,354.237 ,1.079.461
"",COLONIA ALMADA ,23.252 ,61.060 ,84.312 ,35.487 ,63.444 ,98.931 ,32.552 ,56.954 ,89.506 ,272.749
"",CORRALITO ,31.851 ,83.638 ,115.489 ,48.610 ,86.904 ,135.514 ,44.589 ,78.014 ,122.603 ,373.606
"",DALMACIO VELEZ ,30.298 ,79.562 ,109.860 ,46.241 ,82.668 ,128.909 ,42.416 ,74.212 ,116.627 ,355.396
"",HERNANDO ,89.535 ,235.115 ,324.649 ,136.647 ,244.294 ,380.941 ,125.343 ,219.304 ,344.647 ,1.050.238
"",JAMES CRAIK ,51.590 ,135.473 ,187.063 ,78.736 ,140.762 ,219.498 ,72.223 ,126.363 ,198.585 ,605.146
"",LAS PERDICES ,52.637 ,138.223 ,190.861 ,80.334 ,143.620 ,223.954 ,73.689 ,128.929 ,202.618 ,617.433
"",LOS ZORROS ,24.683 ,64.817 ,89.500 ,37.671 ,67.348 ,105.019 ,34.555 ,60.458 ,95.013 ,289.532
"",OLIVA ,100.305 ,263.397 ,363.703 ,153.085 ,273.681 ,426.765 ,140.421 ,245.685 ,386.106 ,1.176.574
"",PAMPAYASTA SUD ,27.845 ,73.120 ,100.965 ,42.497 ,75.975 ,118.472 ,38.982 ,68.203 ,107.185 ,326.622
"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP. ,M U N I C I P I O ,1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
"",RIO TERCERO ,314.983 ,827.130 ,1.142.113 ,480.722 ,859.423 ,1.340.146 ,440.956 ,771.510 ,1.212.466 ,3.694.725
"",TANCACHA ,55.742 ,146.376 ,202.118 ,85.073 ,152.091 ,237.163 ,78.035 ,136.534 ,214.569 ,653.850
"",VILLA ASCASUBI ,35.396 ,92.948 ,128.344 ,54.021 ,96.577 ,150.598 ,49.552 ,86.698 ,136.250 ,415.192
Total TERCERO ARRIBA ,"",930.144 ,2.442.516 ,3.372.660 ,1.419.572 ,2.537.878 ,3.957.450 ,1.302.144 ,2.278.269 ,3.580.413 ,10.910.523
TOTORAL,"","","","","","","","","","",""
"",CANALS ,78.759 ,206.816 ,285.575 ,120.200 ,214.891 ,335.091 ,110.257 ,192.909 ,303.166 ,923.832
"",LAS PEÑAS ,30.420 ,79.882 ,110.302 ,46.427 ,83.000 ,129.427 ,42.586 ,74.510 ,117.096 ,356.825
"",SARMIENTO ,29.549 ,77.594 ,107.143 ,45.097 ,80.623 ,125.720 ,41.367 ,72.376 ,113.743 ,346.606
"",SINSACATE ,29.507 ,77.484 ,106.990 ,45.033 ,80.509 ,125.542 ,41.308 ,72.273 ,113.581 ,346.113
"",VILLA DEL TOTORAL ,79.739 ,209.390 ,289.128 ,121.696 ,217.565 ,339.261 ,111.629 ,195.309 ,306.938 ,935.328
Total TOTORAL ,"",247.973 ,651.165 ,899.138 ,378.453 ,676.589 ,1.055.041 ,347.147 ,607.377 ,954.524 ,2.908.703
TULUMBA,"","","","","","","","","","",""
"",LAS ARRIAS ,28.894 ,75.874 ,104.768 ,44.098 ,78.836 ,122.934 ,40.450 ,70.772 ,111.222 ,338.924
"",LUCIO V. MANSILLA ,26.359 ,69.217 ,95.575 ,40.228 ,71.919 ,112.147 ,36.900 ,64.562 ,101.462 ,309.185
"",SAN JOSE DE LA DORMIDA ,53.476 ,140.427 ,193.903 ,81.615 ,145.909 ,227.524 ,74.864 ,130.984 ,205.847 ,627.275
"",SAN JOSE DE LAS SALINAS ,25.121 ,65.965 ,91.086 ,38.339 ,68.541 ,106.879 ,35.167 ,61.529 ,96.697 ,294.662
"",SAN PEDRO NORTE ,27.040 ,71.007 ,98.048 ,41.269 ,73.779 ,115.048 ,37.855 ,66.232 ,104.087 ,317.183
"",VILLA TULUMBA ,31.148 ,81.792 ,112.940 ,47.537 ,84.986 ,132.523 ,43.605 ,76.292 ,119.897 ,365.359
Total TULUMBA ,"",192.038 ,504.282 ,696.320 ,293.085 ,523.971 ,817.056 ,268.841 ,470.371 ,739.212 ,2.252.588
UNION,"","","","","","","","","","",""
"",ALTO ALEGRE ,26.491 ,69.565 ,96.057 ,40.431 ,72.281 ,112.712 ,37.086 ,64.887 ,101.974 ,310.743
"",BALLESTEROS ,45.241 ,118.800 ,164.040 ,69.046 ,123.438 ,192.484 ,63.334 ,110.811 ,174.145 ,530.669
"",BALLESTEROS SUR ,23.855 ,62.643 ,86.498 ,36.407 ,65.088 ,101.496 ,33.396 ,58.430 ,91.826 ,279.820
"",BELL VILLE ,238.321 ,625.821 ,864.142 ,363.722 ,650.254 ,1.013.976 ,333.635 ,583.737 ,917.372 ,2.795.490
"",BENJAMIN GOULD ,24.793 ,65.105 ,89.898 ,37.839 ,67.647 ,105.486 ,34.709 ,60.727 ,95.436 ,290.820
"",CAÑADA DE LUQUE ,28.628 ,75.177 ,103.806 ,43.692 ,78.112 ,121.805 ,40.078 ,70.122 ,110.200 ,335.810
"",CHILIBROSTE ,23.613 ,62.006 ,85.618 ,36.037 ,64.426 ,100.464 ,33.056 ,57.836 ,90.892 ,276.974
"",CINTRA ,28.820 ,75.679 ,104.498 ,43.984 ,78.633 ,122.617 ,40.346 ,70.590 ,110.935 ,338.051
"",COLONIA BISMARCK ,22.649 ,59.474 ,82.123 ,34.566 ,61.796 ,96.362 ,31.707 ,55.475 ,87.181 ,265.666
"",IDIAZABAL ,30.577 ,80.294 ,110.871 ,46.666 ,83.429 ,130.095 ,42.806 ,74.894 ,117.700 ,358.665
"",JUSTINIANO POSSE ,73.512 ,193.040 ,266.552 ,112.193 ,200.577 ,312.770 ,102.913 ,180.059 ,282.972 ,862.294
"",LABORDE ,59.262 ,155.619 ,214.880 ,90.444 ,161.694 ,252.139 ,82.963 ,145.154 ,228.116 ,695.135
"",MONTE LEÑA ,23.212 ,60.955 ,84.167 ,35.426 ,63.334 ,98.761 ,32.496 ,56.856 ,89.351 ,272.279
"",MONTE MAIZ ,67.485 ,177.214 ,244.699 ,102.995 ,184.133 ,287.128 ,94.475 ,165.297 ,259.772 ,791.600
"",MORRISON ,41.667 ,109.415 ,151.081 ,63.591 ,113.686 ,177.277 ,58.331 ,102.057 ,160.388 ,488.746
"",NOETINGER ,51.976 ,136.486 ,188.462 ,79.325 ,141.815 ,221.140 ,72.763 ,127.308 ,200.071 ,609.673
"",ORDOÑEZ ,37.089 ,97.395 ,134.484 ,56.605 ,101.197 ,157.802 ,51.923 ,90.845 ,142.768 ,435.054
"",PASCANAS ,38.368 ,100.752 ,139.120 ,58.556 ,104.686 ,163.242 ,53.713 ,93.977 ,147.690 ,450.052
"",PUEBLO ITALIANO ,30.794 ,80.862 ,111.656 ,46.997 ,84.019 ,131.016 ,43.109 ,75.425 ,118.534 ,361.206
"",SAN ANTONIO DE LITIN ,28.570 ,75.024 ,103.595 ,43.604 ,77.953 ,121.557 ,39.997 ,69.979 ,109.976 ,335.128
"",SAN MARCOS SUD ,40.361 ,105.987 ,146.349 ,61.599 ,110.125 ,171.725 ,56.504 ,98.860 ,155.364 ,473.437
"",VIAMONTE ,31.475 ,82.653 ,114.128 ,48.037 ,85.880 ,133.917 ,44.064 ,77.095 ,121.159 ,369.205
"",WENCESLAO ESCALANTE ,29.961 ,78.675 ,108.636 ,45.725 ,81.747 ,127.472 ,41.943 ,73.385 ,115.328 ,351.436
Total UNION ,"",1.046.720 ,2.748.640 ,3.795.360 ,1.597.490 ,2.855.954 ,4.453.444 ,1.465.343 ,2.563.806 ,4.029.149 ,12.277.953
Total general ,"",24.555.261 ,64.481.029 ,89.036.290 ,37.475.902 ,66.998.520 ,104.474.422 ,34.375.845 ,60.144.956 ,94.520.801 ,288.031.512
