"","",01 - ENERO ,"",Total 01 - ENERO ,02 - FEBRERO ,"",Total 02 - FEBRERO ,03 - MARZO ,"",Total 03 - MARZO ,Total general
DEP. ,M U N I C I P I O ,1ª ,2ª ,"",1ª ,2ª ,"",1ª ,2ª,"",""
CALAMUCHITA,"","","","","","","","","","",""
"",CHARRAS ,26.959 ,70.794 ,97.754 ,41.145 ,73.558 ,114.704 ,37.742 ,66.034 ,103.775 ,316.233
"",GENERAL CABRERA ,94.832 ,249.026 ,343.858 ,144.732 ,258.748 ,403.480 ,132.760 ,232.280 ,365.039 ,1.112.378
"",GENERAL DEHEZA ,87.185 ,228.943 ,316.128 ,133.060 ,237.882 ,370.942 ,122.053 ,213.548 ,335.601 ,1.022.670
"",HUANCHILLAS ,27.389 ,71.922 ,99.311 ,41.801 ,74.730 ,116.531 ,38.343 ,67.086 ,105.428 ,321.270
"",LA CARLOTA ,102.896 ,270.201 ,373.098 ,157.039 ,280.751 ,437.790 ,144.049 ,252.031 ,396.080 ,1.206.967
"",LOS CISNES ,23.915 ,62.799 ,86.714 ,36.499 ,65.251 ,101.750 ,33.479 ,58.576 ,92.056 ,280.520
"",OLAETA ,24.080 ,63.233 ,87.313 ,36.751 ,65.702 ,102.453 ,33.711 ,58.981 ,92.692 ,282.458
"",REDUCCION ,30.480 ,80.038 ,110.518 ,46.518 ,83.163 ,129.681 ,42.670 ,74.656 ,117.326 ,357.525
"",SANTA EUFEMIA ,36.305 ,95.335 ,131.639 ,55.408 ,99.057 ,154.464 ,50.824 ,88.924 ,139.748 ,425.852
"",UCACHA ,54.454 ,142.992 ,197.446 ,83.106 ,148.575 ,231.681 ,76.232 ,133.377 ,209.608 ,638.736
Total JUAREZ CELMAN ,"",622.422 ,1.634.451 ,2.256.873 ,949.931 ,1.698.264 ,2.648.196 ,871.352 ,1.524.541 ,2.395.893 ,7.300.962
MARCOS JUAREZ,"","","","","","","","","","",""
"",ALEJO LEDESMA ,42.013 ,110.325 ,152.338 ,64.120 ,114.632 ,178.753 ,58.816 ,102.906 ,161.722 ,492.813
"",ARIAS ,68.251 ,179.225 ,247.476 ,104.164 ,186.222 ,290.387 ,95.548 ,167.173 ,262.721 ,800.584
"",CAMILO ALDAO ,53.704 ,141.023 ,194.727 ,81.962 ,146.529 ,228.491 ,75.182 ,131.540 ,206.722 ,629.939
"",CAP. GRAL. B. O'HIGGINS ,23.013 ,60.432 ,83.445 ,35.122 ,62.791 ,97.913 ,32.217 ,56.368 ,88.585 ,269.943
"",CAVANAGH ,28.233 ,74.140 ,102.373 ,43.089 ,77.034 ,120.124 ,39.525 ,69.154 ,108.679 ,331.176
"",COLONIA ITALIANA ,24.849 ,65.252 ,90.100 ,37.924 ,67.799 ,105.723 ,34.787 ,60.864 ,95.650 ,291.473
"",CORRAL DE BUSTOS ,87.329 ,229.323 ,316.652 ,133.281 ,238.276 ,371.557 ,122.256 ,213.902 ,336.158 ,1.024.367
"",CRUZ ALTA ,66.383 ,174.319 ,240.702 ,101.313 ,181.125 ,282.438 ,92.932 ,162.598 ,255.530 ,778.671
"",GENERAL BALDISSERA ,34.775 ,91.318 ,126.093 ,53.073 ,94.883 ,147.957 ,48.683 ,85.177 ,133.860 ,407.910
"",GENERAL ROCA ,37.522 ,98.531 ,136.053 ,57.265 ,102.378 ,159.643 ,52.528 ,91.905 ,144.433 ,440.129
"",GUATIMOZIN ,37.014 ,97.198 ,134.212 ,56.491 ,100.993 ,157.484 ,51.818 ,90.662 ,142.480 ,434.176
"",INRIVILLE ,46.042 ,120.905 ,166.947 ,70.269 ,125.626 ,195.895 ,64.456 ,112.775 ,177.231 ,540.073
"",ISLA VERDE ,48.985 ,128.631 ,177.616 ,74.760 ,133.653 ,208.413 ,68.575 ,119.981 ,188.557 ,574.585
"",LEONES ,89.035 ,233.801 ,322.836 ,135.883 ,242.929 ,378.813 ,124.643 ,218.079 ,342.722 ,1.044.371
"",LOS SURGENTES ,39.065 ,102.582 ,141.647 ,59.620 ,106.587 ,166.207 ,54.688 ,95.684 ,150.372 ,458.226
"",MARCOS JUAREZ ,192.243 ,504.821 ,697.063 ,293.398 ,524.530 ,817.928 ,269.128 ,470.875 ,740.002 ,2.254.994
"",MONTE BUEY ,61.931 ,162.628 ,224.559 ,94.518 ,168.978 ,263.496 ,86.700 ,151.692 ,238.392 ,726.447
"",SAIRA ,25.311 ,66.465 ,91.776 ,38.629 ,69.060 ,107.689 ,35.434 ,61.996 ,97.429 ,296.894
Total MARCOS JUAREZ ,"",1.005.698 ,2.640.919 ,3.646.617 ,1.534.883 ,2.744.027 ,4.278.910 ,1.407.915 ,2.463.330 ,3.871.246 ,11.796.773
