M U N I C I P I O 	Total 	Total 	Total
NONO 	271996	277512	282783
OBISPO TREJO 	301000	307105	312938
OLAETA 	190550	194414	198107
OLIVA 	796386	812537	827971
ONCATIVO 	805550	821887	837498
ORDOÑEZ 	297100	303125	308883
PAMPAYASTA SUD 	220220	224686	228954
PASCANAS 	304877	311060	316969
PASCO 	219697	224153	228411
PILAR 	854752	872087	888652
PIQUILLIN 	234577	239334	243880
PORTEÑA 	450153	459282	468005
POZO DEL MOLLE 	455408	464644	473469
PUEBLO ITALIANO 	244322	249277	254012
QUEBRACHO HERRADO 	177243	180837	184272
QUILINO 	441392	450344	458898
REDUCCION 	241418	246314	250993
RIO CEBALLOS 	1108687	1131171	1152657
RIO CUARTO 	8226881	8393722	8553156
RIO DE LOS SAUCES 	225773	230352	234727
RIO PRIMERO 	566352	577838	588814
RIO SEGUNDO 	1156252	1179701	1202109
RIO TERCERO 	2490148	2540649	2588907
ROSALES 	187926	191737	195379
SACANTA 	315729	322132	328251
SAIRA 	200127	204185	208063
SALDAN 	670416	684012	697004
SALSACATE 	286708	292523	298079
SALSIPUEDES 	605749	618033	629773
SAMPACHO 	559221	570562	581399
SAN AGUSTIN 	342529	349476	356114
SAN ANTONIO DE ARREDONDO 	330252	336950	343350
SAN ANTONIO DE LITIN 	226835	231435	235831
SAN BASILIO 	326900	333529	339865
SAN CARLOS MINAS 	259636	264902	269933
SAN ESTEBAN 	199388	203432	207297
SAN FRANCISCO 	3398844	3467772	3533641
SAN FRANCISCO DEL CHAÑAR 	329375	336055	342438
SAN JAVIER Y YACANTO 	239633	244492	249136
SAN JOSE 	271535	277042	282304
SAN JOSE DE LA DORMIDA 	437464	446336	454814
SAN JOSE DE LAS SALINAS 	207087	211287	215300
SAN MARCOS SIERRAS 	264034	269389	274506
SAN MARCOS SUD 	320644	327146	333360
SAN PEDRO 	415403	423827	431877
SAN PEDRO NORTE 	217048	221450	225656
SANTA CATALINA 	352390	359536	366366
SANTA EUFEMIA 	286799	292615	298173
SANTA MARIA 	576479	588170	599342
SANTA ROSA DE CALAMUCHITA 	782692	798565	813733
SANTA ROSA DE RIO PRIMERO 	595318	607391	618928
SANTIAGO TEMPLE 	296867	302887	308641
SARMIENTO 	233034	237760	242276
SEBASTIAN EL CANO 	300527	306621	312445
SEEBER 	197937	201952	205788
SERRANO 	327812	334460	340813
SERREZUELA 	307035	313262	319212
SILVIO PELLICO 	178868	182495	185962
SINSACATE 	232305	237017	241519
TANCACHA 	441249	450198	458749
TANTI 	452081	461249	470011
TICINO 	271929	277444	282714
TIO PUJIO 	300634	306731	312557
TOLEDO 	360308	367615	374598
TOSQUITA 	182367	186065	189599
TRANSITO 	318791	325257	331435
UCACHA 	431357	440105	448464
UNQUILLO 	1011872	1032393	1052002
VALLE HERMOSO 	458746	468050	476940
VIAMONTE 	251684	256789	261666
VICUÑA MACKENNA 	686012	699924	713219
VILLA ALLENDE 	1524790	1555713	1585263
VILLA ASCASUBI 	280116	285796	291225
VILLA CARLOS PAZ 	2945547	3005283	3062367
VILLA CONCEPCION DEL TIO 	250314	255390	260241
VILLA CURA BROCHERO 	463338	472735	481714
VILLA DE LAS ROSAS 	359529	366820	373788
VILLA DE MARIA 	440525	449459	457996
VILLA DE SOTO 	619857	632427	644440
VILLA DEL DIQUE 	321180	327694	333918
VILLA DEL ROSARIO 	928889	947727	965728
VILLA DEL TOTORAL 	625502	638187	650309
VILLA DOLORES 	1715880	1750678	1783932
VILLA FONTANA 	209380	213627	217684
VILLA GIARDINO 	400398	408518	416278
VILLA GRAL. BELGRANO 	549435	560577	571225
VILLA HUIDOBRO 	473252	482849	492021
VILLA MARIA 	4158867	4243209	4323806
VILLA NUEVA 	1117362	1140021	1161675
VILLA PQUE.SANTA ANA 	288941	294800	300400
VILLA ROSSI 	186109	189883	193490
VILLA RUMIPAL 	293243	299190	304872
VILLA SANTA CRUZ DEL LAGO 	265338	270719	275861
VILLA SARMIENTO 	423885	432481	440696
VILLA TULUMBA 	257565	262788	267779
VILLA VALERIA 	318887	325354	331534
VILLA YACANTO 	240993	245881	250551
WENCESLAO ESCALANTE 	236858	241661	246252
YCHO CRUZ 	260155	265431	270473
