DEPARTAMENTO COMUNAS 	2012 ABR	2012 MAY	2012 JUN
RANQUELES 	24970	32655	32384
RAYO CORTADO 	59699	78073	77424
RINCON 	50440	65964	65416
RIO BAMBA 	28001	36619	36315
ROSARIO DEL SALADILLO 	39044	51061	50637
SAGRADA FAMILIA 	25483	33326	33049
SALADILLO 	30386	39738	39407
SAN CLEMENTE 	29510	38593	38272
SAN GERONIMO 	49149	64277	63742
SAN IGNACIO 	35815	46838	46449
SAN JOAQUIN 	28102	36751	36446
SAN LORENZO 	72581	94920	94131
SAN ROQUE 	68291	89309	88565
SAN VICENTE 	107104	140068	138904
SANTA ELENA 	38128	49863	49448
SAUCE ARRIBA 	62731	82039	81357
SEGUNDA USINA 	27037	35358	35064
SIMBOLAR 	41214	53899	53451
SUCO 	36270	47433	47039
TALA CAÑADA 	47144	61654	61142
TALA HUASI 	27733	36269	35969
TALAINI 	33436	43727	43363
TINOCO 	43550	56953	56480
TORO PUJIO 	37797	49430	49019
TOSNO 	36492	47723	47327
TUCLAME 	58698	76763	76125
VALLE DE ANISACATE 	39251	51331	50904
VILLA AMANCAY 	44497	58192	57708
VILLA C.PAR. LOS REARTE 	61908	80962	80290
VILLA CANDELARIA NORTE 	54417	71165	70574
VILLA CERRO AZUL 	31708	41467	41123
VILLA CIUDAD DE AMERIC 	60207	78737	78083
VILLA DE POCHO 	42348	55381	54921
VILLA DEL PRADO 	88001	115085	114129
VILLA EL CHACAY 	30108	39374	39047
VILLA ELISA 	22650	29622	29376
VILLA GUTIERREZ 	38340	50141	49724
VILLA LA BOLSA 	62519	81761	81081
VILLA LOS AROMOS 	61241	80088	79423
VILLA LOS PATOS 	22182	29010	28768
VILLA PARQUE SIQUIMAN 	82134	107414	106521
VILLA QUILLINZO 	25927	33907	33625
VILLA SAN ESTEBAN 	24934	32608	32337
VILLA SAN ISIDRO 	75653	98938	98115
VILLA SARMIENTO 	41894	54788	54333
WASHINGTON 	47921	62670	62149
