COMUNA	2013 ABR	2013 MAY	2013 JUN
LA POSTA 	52661	62436	63500
LA QUINTA 	49102	58216	59208
LA RANCHERITA 	40943	48543	49370
LA RINCONADA 	71930	85283	86736
LA SERRANITA 	61529	72950	74193
LAS ALBAHACAS 	66703	79085	80433
LAS BAJADAS 	45578	54039	54959
LAS CALERAS 	53623	63577	64660
LAS CALLES 	87715	103998	105769
LAS CAÑADAS 	48047	56966	57936
LAS GRAMILLAS 	39531	46869	47668
LAS ISLETILLAS 	51712	61311	62355
LAS PALMAS 	49538	58734	59735
LAS PEÑAS SUD 	44262	52479	53373
LAS PLAYAS 	68085	80724	82100
LAS RABONAS 	86011	101977	103715
LAS SALADAS 	44910	53246	54154
LEGUIZAMON 	37943	44987	45753
LOS CEDROS 	107534	127496	129668
LOS CHAÑARITOS 	50613	60008	61030
LOS CHAÑARITOS (C.D.EJE) 	80682	95658	97288
LOS HORNILLOS 	112269	133110	135378
LOS HOYOS 	53633	63589	64673
LOS MISTOLES 	45115	53489	54401
LOS MOLINOS 	59369	70389	71589
LOS POZOS 	42141	49963	50815
LOS REARTES 	123941	146948	149453
LOS TALARES 	42287	50136	50991
LUTTI 	47589	56423	57385
LUYABA 	142249	168655	171528
MALENA 	53941	63955	65044
MAQUINISTA GALLINI 	42738	50672	51535
MAYU SUMAJ 	109263	129546	131753
MEDIA NARANJA 	110587	131116	133350
MI GRANJA 	116482	138105	140458
NICOLAS BRUZZONE 	49787	59029	60035
OLIVARES DE SAN NICOLAS 	88660	105118	106909
ONAGOITY 	38985	46222	47010
PACHECO DE MELO 	37153	44049	44800
PAMPAYASTA NORTE 	38595	45759	46539
PANAHOLMA 	77566	91965	93532
PASO DEL DURAZNO 	43773	51898	52782
PASO VIEJO 	120999	143460	145904
PINCEN 	57063	67656	68808
PLAZA DE MERCEDES 	38899	46119	46905
PLAZA LUXARDO 	48046	56964	57935
POTRERO DE GARAY 	101747	120634	122690
POZO NUEVO 	81122	96180	97819
