DEPARTAMENTO 	2012 ENE	2012 FEB	2012 MAR
ALDEA SANTA MARIA 	36816	31827	31315
ALTO DE LOS QUEBRACHOS 	35691	30854	30358
AMBOY 	40268	34811	34252
AMBUL 	83917	72545	71379
ANA ZUMARAN 	38320	33127	32594
ARROYO LOS PATOS 	66534	57518	56594
ASSUNTA 	31425	27167	26730
ATAHONA 	40895	35353	34785
AVELLANEDA 	53649	46378	45633
BAÑADO DE SOTO 	76168	65846	64788
CABALANGO 	38425	33217	32684
CALMAYO 	33266	28758	28296
CAMINIAGA 	46975	40609	39957
CANDELARIA SUD 	44024	38058	37446
CAÑADA DE MACHADO 	40569	35071	34507
CAÑADA DE RIO PINTO 	39689	34310	33759
CAÑADA DEL SAUCE 	32198	27834	27387
CAPILLA DE LOS REMEDIOS 	88535	76537	75307
CAPILLA DE SITON 	55549	48021	47249
CASA GRANDE 	60105	51961	51126
CERRO COLORADO 	51887	44856	44135
CHALACEA 	40765	35240	34674
CHANCANI 	67110	58016	57083
CHAÑAR VIEJO 	39935	34523	33968
CHARBONIER 	56721	49035	48247
CHUCUL 	47173	40781	40125
CHUÑA 	63213	54647	53768
CHUÑA HUASI 	43354	37479	36877
CHURQUI CAÑADA 	38895	33624	33084
CIENAGA DEL CORO 	71847	62110	61112
COLONIA ANITA 	27365	23657	23277
COLONIA BARGE 	37386	32320	31800
COLONIA BREMEN 	33540	28995	28529
COLONIA ITURRASPE 	28163	24346	23955
COLONIA LAS CUATRO ESQUINA	36125	31229	30727
COLONIA LAS PICHANAS 	42886	37074	36478
COLONIA SAN PEDRO 	34297	29650	29173
COLONIA VALTELINA 	38408	33203	32669
COLONIA VICENTE AGUERO 	47032	40659	40005
COLONIA VIDELA 	30775	26604	26177
COMECHINGONES 	50109	43319	42623
CONLARA 	52529	45410	44681
COPACABANA 	36956	31948	31434
CRUZ DE CAÑA 	45471	39309	38677
CUESTA BLANCA 	47602	41151	40490
DIEGO DE ROJAS 	62003	53601	52739
DIQUE CHICO 	41273	35679	35106
EL CHACHO 	49275	42598	41913
EL CRISPIN 	39196	33885	33340
EL MANZANO 	98893	85491	84117
EL RASTREADOR 	31972	27639	27195
EL RODEO 	49540	42826	42138
ESQUINA 	47234	40833	40177
