"Mes","dia","Total"
"12","16","547"
"12","17","560"
"12","18","472"
"12","19","432"
"12","20","250"
"12","21","141"
"12","22","412"
"12","23","473"
"12","24","335"
"12","25","89"
"12","26","172"
"12","27","140"
"12","28","98"
"12","29","531"
"12","30","469"
"12","31","341"
