Nivel,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Inicial,3924,3987,4794,5209,5416,5593,5757,5999,6398,6334,6854,6956,7160
Primario,20484,20866,21665,22367,22734,22844,23240,23621,24718,25144,26022,25261,25594
Primario adulto,330,312,319,376,472,483,474,516,504,506,533,553,543
Secundario,35347,36163,37699,39000,39330,40457,41161,42604,45867,46342,47972,48477,49855
Secundario adulto,1962,2181,2657,3067,3259,3798,4217,4434,4663,5130,5289,5748,6139
Superior no universitario,5120,5020,5309,5531,5937,6417,6715,6954,7968,7943,6854,8526,9303
Especial,1613,1610,1745,1852,1839,1857,1843,1943,1989,1984,2204,2138,2359
Artistico,,,872,831,850,732,717,756,672,684,702,719,644
,68780,70139,75060,78233,79837,82181,84124,86827,92779,94067,96430,98378,101597
