Alumnos,19771,20286,24095,27989,29464,33906,36003,37276,36882,41256,39921,47908,52077
Docentes,19771,21978,26774,30906,32841,38272,42495,44681,46989,51695,53297,57922,61862
Escuelas,19771,20101,25043,29327,30645,37565,41354,43167,43331,49757,51405,56183,61949
