"powered_version", "cantidad"
PHP_5.3.10-1ubuntu3.16, "154"
PHP_5.3.10-1ubuntu3.15, "549"
PHP_5.3.10-1ubuntu3.14, "32"
PHP_5.3.10-1ubuntu3.13, "29"
PHP_5.3.10-1ubuntu3.12, "2"
PHP_5.3.10-1ubuntu3.11, "51"
PHP_5.3.10-1ubuntu3.10, "13"
GerdauS.A_, "3"
PHP_5.4.30-1~dotdeb.1, "6"
W3 Total Cache_0.9.4.1, "78"
PHP_5.2.9-2, "31"
PHP_5.2.9-1, "4"
Phusion Passenger 4.0.58_, "4"
Phusion Passenger 4.0.42_, "4"
PHP_5.4.36-0+deb7u3, "449"
PHP_5.4.36-0+deb7u1, "23"
PHP_5.4.17RC1, "1"
PHP_5.4.32-1~dotdeb.0, "2"
PHP_5.5.4-1+debphp.org~precise+1, "1"
PHP_5.3.10, "285"
PHP_5.3.11, "1"
Phusion Passenger 4.0.20_, "1"
PHP_5.3.13, "616"
PHP_5.3.14, "83"
PHP_5.3.15, "57"
PHP_5.3.16, "62"
PHP_5.3.17, "160"
PHP_5.3.18, "181"
PHP_5.3.19, "82"
ASP.NET_, "30126"
Phusion Passenger 4.0.56_, "1"
o4b.de_, "3"
PHP_5.5.12-2+deb.sury.org~precise+1, "1"
ALSOLNET.com ASP.NET_, "3"
WP Rocket_2.2.3, "5"
Consultix_, "8"
PHP_5.2.6-pl7-gentoo, "2"
OpenNemas_, "2"
TapCommerce_, "4"
PleskWin_, "863"
PHP_5.2.6-1+lenny3, "1137"
PHP_5.2.6-1+lenny2, "3"
EasyEngine 2.0.0_, "4"
PHP_5.2.6-1+lenny4, "5"
PHP_5.2.6-1+lenny6, "2"
PHP_5.2.6-1+lenny9, "67"
PHP_5.2.6-1+lenny8, "13"
Maddora Software_, "4"
PHP_5.3.6-13ubuntu3.9, "5"
JSF_1.2, "2"
PHP_5.3.6-13ubuntu3.6, "3"
PHP_5.3.6-13ubuntu3.1, "4"
PHP_5.4.6-1ubuntu1.4, "2"
PHP_5.4.6-1ubuntu1.5, "2"
PHP_5.4.6-1ubuntu1.1, "6"
PHP_5.4.6-1ubuntu1.2, "3"
PHP_5.4.6-1ubuntu1.3, "2"
Servlet 2.4; JBoss-4.2.3.GA (build: SVNTag=JBoss_4_2_3_GA date=200807181439)_JBossWeb-2.0, "2"
PHP_5.4.6-1ubuntu1.8, "17"
Servlet_2.4, "398"
PHP_, "5"
PHP_5.2.0-8+etch1, "1"
PHP_5.2.0-8+etch7, "1"
UrlRewriter.NET 1.7.0_, "6"
PHP_4.4.4-8+etch4, "1"
PHP_4.4.4-8+etch6, "8"
PHP_4.4.4-8+etch2, "1"
Clubmed web servers_, "1"
PHP_5.3.3-7+squeeze22, "24"
PHP_5.3.3-7+squeeze23, "54"
PHP_5.3.3-7+squeeze21, "13"
W3 Total Cache_0.9.2.10, "1"
PHP_5.3.3-7+squeeze24, "1"
PHP_5.3.3-7+squeeze25, "3741"
PHP_5.5.22, "1788"
PHP_5.5.21, "324"
PHP_5.5.20, "120"
PHP_5.5.22-1+deb.sury.org~precise+1, "3"
TecnoTouch_, "4"
PHP_5.5.21-1+deb.sury.org~precise+2, "1"
Phusion Passenger 4.0.25_, "1"
PHP_4.3.11, "29"
PHP_4.3.10, "175"
PHP_5.2.4-2ubuntu5.25, "2"
PHP_5.2.4-2ubuntu5.26, "2"
PHP_5.2.4-2ubuntu5.27, "36"
Servlet 2.4; JBoss-4.2.2.GA (build: SVNTag=JBoss_4_2_2_GA date=200710221139)_Tomcat-5.5, "7"
Phusion Passenger 4.0.2_, "8"
PHP_5.4.24-1+sury.org~precise+1, "1"
HHVM_3.3.1, "3"
PHP_5.3.2-1ubuntu4.10, "1"
PHP_5.4.16-1~dotdeb.1, "1"
PHP_5.3.2-1ubuntu4.17, "21"
PHP_5.3.2-1ubuntu4.14, "3"
PHP_5.3.2-1ubuntu4.15, "7"
PHP_5.3.8-1+b1, "1"
PHP_5.3.2-1ubuntu4.18, "25"
PHP_5.3.18-pl0-gentoo, "13"
PHP_5.4.34-1~dotdeb.0, "5"
PHP_5.4.36-1+deb.sury.org~precise+2, "2"
PHP_5.3.6, "273"
PHP_5.3.4, "35"
PHP_5.3.5, "38"
PHP_5.3.2, "45"
W3 Total Cache_0.9.3, "11"
PHP_5.3.0, "8"
PHP_5.3.1, "29"
PHP_5.5.6-1+debphp.org~saucy+2, "1"
Phusion Passenger 4.0.18_, "1"
PHP_5.3.8, "669"
PHP_5.3.9, "9"
PHP_5.2.18-dev, "3"
ModLayout_3.4, "136"
PHP_5.5.21-pl0-gentoo, "13"
PHP_5.5.21-1~dotdeb.1, "13"
PHP_5.3.29-1~dotdeb.0, "15"
DomainApps.com_, "1"
web2py_, "18"
PHP_5.4.38-1~dotdeb.0, "2"
PHP_5.4.38-1~dotdeb.1, "4"
PHP_5.4.34-1+deb.sury.org~lucid+1, "10"
PHP_5.5.12-2ubuntu4.2, "5"
PHP_5.4.26-1~dotdeb.1, "1"
Loading_, "5"
Phusion Passenger (mod_rails_mod_rack), "27"
SecureNetSystems.net_, "2"
W3 Total Cache_, "1"
PHP_5.3.3-7+squeeze8, "16"
Phusion Passenger 4.0.24_, "1"
My Little Pony_, "1"
PHP_5.2.7-dev, "1"
PHP_5.2.17-0.dotdeb.0, "6"
Servlet 2.4; JBoss-4.0.5.GA (build: CVSTag=Branch_4_0 date=200610162339)_Tomcat-5.5, "1"
PHP_5.4.28-pl0-gentoo, "34"
PHP_5.3.24-1~dotdeb.0, "43"
Phusion Passenger 4.0.16_, "1"
PHP_5.3.3-7+squeeze1, "3"
PHP_5.2.0-8+etch9~bpo31+1, "2"
PHP_4.4.8, "1"
PHP_4.4.9, "759"
PHP_4.4.4, "166"
PHP_4.4.6, "4"
PHP_4.4.7, "283"
PHP_4.4.0, "43"
PHP_4.4.1, "15"
PHP_4.4.2, "14"
PHP_4.4.3, "6"
PHP_5.5.10-pl0-gentoo, "2"
pimcore_, "11"
PHP_4.2.2, "1"
PHP_5.2.10-2ubuntu6.10, "20"
PHP_5.2.4-2ubuntu5.19, "4"
PHP_5.2.4-2ubuntu5.14, "2"
PHP_5.2.4-2ubuntu5.17, "2"
PHP_5.2.4-2ubuntu5.10, "3"
PHP_5.4.20, "43"
PHP_5.4.21, "29"
PHP_5.4.22, "34"
PHP_5.4.23, "90"
PHP_5.4.24, "194"
PHP_5.4.25, "114"
PHP_5.4.26, "269"
PHP_5.4.27, "135"
PHP_5.4.28, "168"
PHP_5.4.29, "345"
PHP_5.5.12, "75"
PHP_5.5.13, "10"
PHP_5.5.10, "2"
PHP_5.5.11, "19"
PHP_5.5.16, "102"
PHP_5.5.17, "28"
PHP_5.5.14, "51"
PHP_5.5.15, "16"
PHP_5.3.3-7+squeeze3, "7"
PHP_5.4.4-14+deb7u14, "570"
PHP_5.5.18, "60"
PHP_5.5.19, "99"
PHP_5.4.4-14+deb7u11, "21"
PHP_5.3.3-7+squeeze6, "1"
PHP_5.4.4-14+deb7u12, "57"
e107_, "1"
Servlet_3.0;, "1"
PHP_5.3.9-ZS5.6.0, "3"
PHP_5.5.1, "1"
PHP_5.5.3, "8"
PHP_5.5.4, "4"
PHP_5.5.5, "17"
PHP_5.5.6, "12"
PHP_5.5.7, "8"
PHP_5.5.8, "25"
PHP_5.5.9, "4"
PHP_5.5.0, "21"
PHP_5.4.35-1+deb.sury.org~precise+1, "3"
three little monkeys jumping on the bed_, "1"
PHP_5.5.15-1~dotdeb.1, "2"
PHP_5.5.18-1~dotdeb.1, "3"
Servlet 2.4; JBoss-4.2.0.GA_CP05 (build: SVNTag=JBPAPP_4_2_0_GA_CP05 date=200810231548)_JBossWeb-2.0, "1"
PHP_5.5.18-pl0-gentoo, "3"
PHP_5.5.11-1~dotdeb.1, "1"
WEB02_, "2"
PHP_5.3.9-1~dotdeb.2, "2"
PHP_5.1.4, "29"
PHP_5.1.6, "2453"
PHP_5.1.2, "863"
Page Server II 2.1.17 65318fd_, "3"
osC_Sec_, "2"
PHP_5.4.36-1~dotdeb.0, "1"
PHP_5.4.36-1~dotdeb.1, "4"
Phusion Passenger 4.0.50_, "1"
SERBice\u00ae _, "1"
eZ publish_, "1"
PHP_5.5.17-1~dotdeb.1, "2"
PHP_4.4.4-9, "1"
PHP_5.4.4-14, "1"
PHP_5.4.4-15, "7"
PHP_5.4.4-12, "1"
PHP_5.4.4-10, "1"
PHP_5.4.35-0+deb7u2, "52"
PHP_5.4.35-0+deb7u1, "24"
PHP_5.4.30-pl0, "1"
PHP_5.2.10-2ubuntu6.7, "2"
PHP_5.2.10-2ubuntu6.4, "1"
PHP_5.2.10-2ubuntu6.5, "1"
PHP_5.3.15-1~dotdeb.0, "1"
PleskLin_, "2957"
Servlet 2.4; JBoss-4.3.0.GA_CP02 (build: SVNTag=JBPAPP_4_3_0_GA_CP02 date=200808051050)_JBossWeb-2.0, "5"
PHP_5.3.6-13ubuntu3.10, "15"
eZ Publish Platform_, "2"
None_, "1"
PHP_5.4.19-pl0-gentoo, "1"
Page Server II 2.1.16 ef27394_, "1"
pack:tag_, "1"
PHP_5.3.3-7+squeeze19, "517"
PHP_5.3.3-7+squeeze18, "93"
PHP_5.3.3-7+squeeze17, "80"
PHP_5.3.3-7+squeeze16, "3"
PHP_5.3.3-7+squeeze15, "28"
PHP_5.3.3-7+squeeze14, "171"
PHP_5.3.3-7+squeeze13, "17"
PHP_5.5.9-1ubuntu4.3, "22"
PHP_5.5.9-1ubuntu4.2, "3"
PHP_5.5.9-1ubuntu4.1, "3"
PHP_5.2.3-1ubuntu6.5, "1"
PHP_5.5.9-1ubuntu4.6, "191"
PHP_5.6.0RC3, "1"
PHP_5.5.9-1ubuntu4.4, "76"
PHP_4.4.4-loc2, "2"
PHP_5.3.0-0.dotdeb.8, "1"
PHP_5.4.4-14+deb7u3, "9"
PHP_5.4.4-14+deb7u2, "2"
PHP_5.4.4-14+deb7u5, "21"
PHP_5.4.4-14+deb7u4, "16"
PHP_5.4.4-14+deb7u7, "25"
W3 Total Cache_0.9.2.11, "9"
PHP_5.4.4-14+deb7u9, "43"
PHP_5.4.4-14+deb7u8, "44"
PHP_5.5.22-pl0-gentoo, "1"
Servlet 2.4; JBoss-4.2.3.GA (build: SVNTag=JBoss_4_2_3_GA date=200807181417)_JBossWeb-2.0, "5"
PHP_5.3.2-1ubuntu4.28, "87"
PHP_5.3.2-1ubuntu4.27, "12"
PHP_5.3.2-1ubuntu4.26, "34"
PHP_5.3.2-1ubuntu4.24, "11"
PHP_5.3.2-1ubuntu4.22, "7"
PHP_5.3.2-1ubuntu4.21, "26"
PHP_5.3.2-1ubuntu4.20, "22"
PHP_5.3.2-1ubuntu4.9, "2"
PHP_5.5.20-1+deb.sury.org~precise+1, "1"
COTEL Ltda._, "26"
PHP_5.4.38-nmm1, "3"
PHP_5.3.2-1ubuntu4.2, "1"
PHP_5.3.2-1ubuntu4.5, "6"
PHP_5.3.2-1ubuntu4.7, "6"
W3 Total Cache_0.9.1.3, "9"
PHP_5.5.20-pl0-gentoo, "3"
PHP_5.5.9-1+sury.org~precise+1, "3"
CENTINELA PC_, "1"
JUSTIFICO Rechtsberatungs u. Unternehmensberatungs Automobil Operating system www.justifico.com_, "1"
PHP_5.4.27-1~dotdeb.0, "1"
Phusion Passenger 4.0.44_, "1"
PHP_4.4.2-1.1, "1"
eZ Publish_, "45"
ZendServer 6.1.0_, "1"
Phusion Passenger 4.0.38_, "3"
Phusion Passenger 4.0.26_, "2"
Apache2_, "3"
PHP_5.5.18-1+deb.sury.org~precise+1, "7"
PHP_5.3.2-1ubuntu4.11, "2"
PHP_5.3.2-1ubuntu4.19, "44"
Phusion Passenger 4.0.3_, "1"
PHP_5.4.14-1~dotdeb.1, "2"
Seagull http:_, "2"
PHP_5.3.8-ZS5.5.0, "3"
PHP_5.2.0-8+etch7~bpo.1, "1"
PHP_5.4.31-1+deb.sury.org~precise+1, "1"
W3 Total Cache_0.9.4, "35"
An awesome IT Team: Apply now and help to shape the technical future of the world's largest online hotel search._, "1"
PHP_5.3.3, "1529"
PHP_6.0.0-dev, "1"
PHP_5.3.5-0.dotdeb.0, "1"
PHP_5.3.10-1ubuntu3.7, "8"
PHP_5.3.10-1ubuntu3.6, "8"
PHP_5.3.10-1ubuntu3.5, "4"
PHP_5.3.10-1ubuntu3.4, "22"
PHP_5.3.10-1ubuntu3.1, "1"
ASP.NET 2.0_, "1"
PHP_5.4.34-0+deb7u1, "22"
PHP_5.3.10-1ubuntu3.9, "33"
PHP_5.3.10-1ubuntu3.8, "23"
JSF_2.0, "3"
PHP_5.4.11-1~lucid+1, "2"
Express_, "55"
PHP_5.2.13-pl0-gentoo, "3"
PHP_5.4.37, "2279"
PHP_5.4.36, "1193"
PHP_5.4.35, "709"
PHP_5.4.34, "733"
PHP_5.4.33, "536"
PHP_5.4.32, "529"
PHP_5.4.31, "515"
PHP_5.4.30, "334"
Bananas and Rum_, "1"
PHP_5.4.38, "2850"
PHP_5.2.0-8+etch13, "5"
PHP_5.3.5-1ubuntu7.10, "3"
PHP_5.2.0-8+etch11, "2"
PHP_5.2.0-8+etch10, "3"
PHP_5.2.0-8+etch16, "36"
PHP_5.2.0-8+etch15, "4"
PHP_5.5.3-1ubuntu2.2, "4"
Phusion Passenger 4.0.53_, "15"
PHP_5.3.14-pl0-gentoo, "3"
Phusion Passenger 4.0.0.rc4_, "22"
PHP_5.3.23-1~dotdeb.0, "2"
PHP_5.3.3-7, "7"
PHP_5.4.4-qubit1, "1"
Servlet 2.4; JBoss-4.2.0.GA_CP09 (build: SVNTag=JBPAPP_4_2_0_GA_CP09 date=201004202158)_JBossWeb-2.0, "2"
Phusion Passenger 4.0.10_, "1"
HPHP_, "2"
PHP_5.4.37-pl0-gentoo, "5"
PHP_5.4.28-1~dotdeb.0, "1"
