DEPARTAMENTO MUNICIPIOS 	a	s	d
NONO 	401349	432607	381405
OBISPO TREJO 	444147	478740	422078
OLAETA 	281169	303068	267198
OLIVA 	1175124	1266648	1116732
ONCATIVO 	1188646	1281223	1129582
ORDOÑEZ 	438392	472536	416608
PAMPAYASTA SUD 	324950	350259	308804
PASCANAS 	449868	484906	427514
PASCO 	324179	349428	308071
PILAR 	1261247	1359479	1198576
PIQUILLIN 	346135	373093	328935
PORTEÑA 	664232	715965	631226
POZO DEL MOLLE 	671987	724324	638595
PUEBLO ITALIANO 	360514	388593	342600
QUEBRACHO HERRADO 	261534	281903	248538
QUILINO 	651305	702032	618942
REDUCCION 	356230	383975	338529
RIO CEBALLOS 	1635945	1763360	1554655
RIO CUARTO 	12139342	13084810	11536136
RIO DE LOS SAUCES 	333144	359091	316590
RIO PRIMERO 	835693	900780	794167
RIO SEGUNDO 	1706132	1839014	1621355
RIO TERCERO 	3674389	3960568	3491809
ROSALES 	277298	298895	263519
SACANTA 	465880	502165	442731
SAIRA 	295301	318300	280627
SALDAN 	989246	1066293	940090
SALSACATE 	423059	456008	402037
SALSIPUEDES 	893825	963440	849410
SAMPACHO 	825170	889438	784167
SAN AGUSTIN 	505426	544791	480311
SAN ANTONIO DE ARREDONDO 	487310	525264	463096
SAN ANTONIO DE LITIN 	334710	360779	318079
SAN BASILIO 	482364	519932	458395
SAN CARLOS MINAS 	383111	412950	364075
SAN ESTEBAN 	294212	317126	279592
SAN FRANCISCO 	5015233	5405844	4766026
SAN FRANCISCO DEL CHAÑAR 	486016	523869	461866
SAN JAVIER Y YACANTO 	353595	381134	336025
SAN JOSE 	400670	431876	380760
SAN JOSE DE LA DORMIDA 	645509	695785	613434
SAN JOSE DE LAS SALINAS 	305572	329372	290388
SAN MARCOS SIERRAS 	389601	419945	370241
SAN MARCOS SUD 	473132	509982	449622
SAN PEDRO 	612956	660696	582498
SAN PEDRO NORTE 	320270	345214	304356
SANTA CATALINA 	519976	560474	494139
SANTA EUFEMIA 	423191	456152	402163
SANTA MARIA 	850636	916887	808368
SANTA ROSA DE CALAMUCHITA 	1154917	1244867	1097528
SANTA ROSA DE RIO PRIMERO 	878434	946850	834784
SANTIAGO TEMPLE 	438048	472165	416281
SARMIENTO 	343858	370639	326771
SEBASTIAN EL CANO 	443448	477986	421413
SEEBER 	292071	314818	277558
SERRANO 	483710	521384	459674
SERREZUELA 	453052	488338	430540
SILVIO PELLICO 	263932	284488	250817
SINSACATE 	342783	369481	325750
TANCACHA 	651094	701804	618741
TANTI 	667078	719033	633930
TICINO 	401250	432502	381312
TIO PUJIO 	443607	478157	421565
TOLEDO 	531660	573069	505242
TOSQUITA 	269095	290053	255724
TRANSITO 	470399	507036	447025
UCACHA 	636498	686071	604871
UNQUILLO 	1493088	1609377	1418896
VALLE HERMOSO 	676913	729634	643277
VIAMONTE 	371378	400303	352924
VICUÑA MACKENNA 	1012259	1091098	961960
VILLA ALLENDE 	2249936	2425171	2138137
VILLA ASCASUBI 	413330	445522	392792
VILLA CARLOS PAZ 	4346362	4684877	4130391
VILLA CONCEPCION DEL TIO 	369356	398123	351002
VILLA CURA BROCHERO 	683688	736937	649715
VILLA DE LAS ROSAS 	530510	571829	504149
VILLA DE MARIA 	650025	700652	617725
VILLA DE SOTO 	914642	985878	869193
VILLA DEL DIQUE 	473924	510836	450375
VILLA DEL ROSARIO 	1370641	1477393	1302534
VILLA DEL TOTORAL 	922972	994857	877109
VILLA DOLORES 	2531902	2729099	2406092
VILLA FONTANA 	308955	333018	293603
VILLA GIARDINO 	590815	636831	561458
VILLA GRAL. BELGRANO 	810729	873873	770445
VILLA HUIDOBRO 	698316	752705	663617
VILLA MARIA 	6136701	6614655	5831767
VILLA NUEVA 	1648745	1777157	1566818
VILLA PQUE.SANTA ANA 	426352	459559	405167
VILLA ROSSI 	274616	296005	260971
VILLA RUMIPAL 	432700	466401	411199
VILLA SANTA CRUZ DEL LAGO 	391525	422019	372070
VILLA SARMIENTO 	625472	674187	594392
VILLA TULUMBA 	380055	409655	361170
VILLA VALERIA 	470541	507189	447160
VILLA YACANTO 	355603	383299	337933
WENCESLAO ESCALANTE 	349501	376721	332134
YCHO CRUZ 	383877	413775	364802
