DEPARTAMENTO 	2013 ENE	2013 FEB	2013 MAR
ALDEA SANTA MARIA 	44821	48311,8	42593,8
ALTO DE LOS QUEBRACHOS 	43451,1	46835,3	41292
AMBOY 	49024,3	52842,5	46588,3
AMBUL 	102163,7	110120,7	97087,1
ANA ZUMARAN 	46651,8	50285,2	44333,6
ARROYO LOS PATOS 	81001,7	87310,5	76976,7
ASSUNTA 	38258,2	41237,9	36357,2
ATAHONA 	49787,5	53665,2	47313,5
AVELLANEDA 	65314,1	70401	62068,6
BAÑADO DE SOTO 	92729,6	99951,9	88121,9
CABALANGO 	46779,7	50423,1	44455,2
CALMAYO 	40499	43653,3	38486,6
CAMINIAGA 	57189,1	61643,3	54347,4
CANDELARIA SUD 	53596,3	57770,6	50933
CAÑADA DE MACHADO 	49389,7	53236,4	46935,5
CAÑADA DE RIO PINTO 	48318,5	52081,7	45917,5
CAÑADA DEL SAUCE 	39198,6	42251,6	37250,9
CAPILLA DE LOS REMEDIOS 	107785,5	116180,3	102429,6
CAPILLA DE SITON 	67627,1	72894,2	64266,7
CASA GRANDE 	73175,5	78874,7	69539,5
CERRO COLORADO 	63169,4	68089,3	60030,5
CHALACEA 	49628,4	53493,7	47162,4
CHANCANI 	81702,6	88066	77642,8
CHAÑAR VIEJO 	48618,3	52405	46202,5
CHARBONIER 	69054,8	74433,1	65623,4
CHUCUL 	57430,9	61903,9	54577,1
CHUÑA 	76957,9	82951,7	73133,8
CHUÑA HUASI 	52780,9	56891,8	50158,2
CHURQUI CAÑADA 	47352,8	51040,9	44999,9
CIENAGA DEL CORO 	87468,9	94281,4	83122,5
COLONIA ANITA 	33315,7	35910,5	31660,3
COLONIA BARGE 	45515,5	49060,4	43253,8
COLONIA BREMEN 	40833,5	44013,8	38804,4
COLONIA ITURRASPE 	34286,6	36957	32582,9
COLONIA LAS CUATRO ESQUINA 	43979,7	47405,1	41794,4
COLONIA LAS PICHANAS 	52211	56277,5	49616,6
COLONIA SAN PEDRO 	41755,1	45007,1	39680,2
COLONIA VALTELINA 	46759	50400,8	44435,6
COLONIA VICENTE AGUERO 	57258,8	61718,4	54413,6
COLONIA VIDELA 	37466,6	40384,7	35604,9
COMECHINGONES 	61005,2	65756,6	57973,9
CONLARA 	63950,9	68931,7	60773,2
COPACABANA 	44991,6	48495,8	42756
CRUZ DE CAÑA 	55358,3	59669,9	52607,6
CUESTA BLANCA 	57952,1	62465,7	55072,5
DIEGO DE ROJAS 	75484,8	81363,9	71733,9
DIQUE CHICO 	50246,8	54160,3	47750
EL CHACHO 	59989,5	64661,8	57008,7
EL CRISPIN 	47719	51435,6	45347,9
EL MANZANO 	120395,9	129772,9	114413,4
EL RASTREADOR 	38923,7	41955,3	36989,6
EL RODEO 	60311,5	65008,8	57314,6
ESQUINA 	57504,6	61983,4	54647,2
ESTANCIA DE GUADALUPE 	73760,1	79504,8	70094,9
ESTANCIA VIEJA 	81972,8	88357,3	77900,6
EUFRASIO LOZA 	56529,6	60932,4	53720,7
FALDA DEL CARMEN 	104996,6	113174,2	99779,3
GENERAL FOTHERINGHAM 	58861,4	63445,8	55936,6
GUANACO MUERTO 	82328,8	88741	78237,9
GUASAPAMPA 	63935,5	68915,1	60758,5
GUTEMBERG 	91089,9	98184,4	86563,6
IMPIRA 	43826,7	47240,1	41649
KILOMETRO 658 	59891,5	64556,1	56915,4
LA BATEA 	48830,9	52634,1	46404,5
"LA CAROLINA ""EL POTOSI"" "	45171,1	48689,3	42926,6
LA CUMBRECITA 	94829,5	102215,3	90117,4
LA HIGUERA 	68612,9	73956,8	65203,5
LA PAISANITA 	40888,5	44073,1	38856,7
LA PAMPA 	87084,3	93866,8	82757
LA PLAYA 	59425,9	64054,2	56473
LA POBLACION 	68918,6	74286,3	65494
LA POSTA 	52969,9	57095,5	50337,8
LA QUINTA 	49389,7	53236,4	46935,5
LA RANCHERITA 	41183,3	44390,8	39136,9
LA RINCONADA 	72352,4	77987,6	68757,2
LA SERRANITA 	61889,5	66709,7	58814,2
LAS ALBAHACAS 	67094,4	72320	63760,4
LAS BAJADAS 	45845,4	49416,1	43567,3
LAS CALERAS 	53937,2	58138	51257
LAS CALLES 	88229,6	95101,3	83845,5
LAS CAÑADAS 	48328,8	52092,9	45927,3
LAS GRAMILLAS 	39763,2	42860,1	37787,3
LAS ISLETILLAS 	52014,9	56066,1	49430,3
LAS PALMAS 	49829	53710	47353
LAS PEÑAS SUD 	44522,1	47989,7	42309,8
LAS PLAYAS 	68484,9	73818,8	65081,8
LAS RABONAS 	86515,7	93254	82216,8
LAS SALADAS 	45173,2	48691,5	42928,5
LEGUIZAMON 	38165,9	41138,5	36269,5
LOS CEDROS 	108165,2	116589,7	102790,5
LOS CHAÑARITOS 	50909,6	54874,6	48379,8
LOS CHAÑARITOS (C.D.EJE) 	81154,8	87475,5	77122,2
LOS HORNILLOS 	112927,7	121723	107316,3
LOS HOYOS 	53948	58149,8	51267,3
LOS MISTOLES 	45379,3	48913,6	43124,4
LOS MOLINOS 	59717	64368,1	56749,7
LOS POZOS 	42388,1	45689,5	40281,8
LOS REARTES 	124668	134377,7	118473,2
LOS TALARES 	42534,8	45847,6	40421,3
LUTTI 	47868,4	51596,6	45489,8
LUYABA 	143083,4	154227,4	135973,5
MALENA 	54257,8	58483,7	51561,7
MAQUINISTA GALLINI 	42989,2	46337,4	40853,1
MAYU SUMAJ 	109904	118463,8	104442,8
MEDIA NARANJA 	111236	119899,6	105708,7
MI GRANJA 	117165,3	126290,7	111343,4
NICOLAS BRUZZONE 	50079	53979,3	47590,5
OLIVARES DE SAN NICOLAS 	89180,4	96126,1	84749
ONAGOITY 	39213,9	42268,1	37265,4
PACHECO DE MELO 	37370,8	40281,4	35513,8
PAMPAYASTA NORTE 	38821,2	41844,8	36892,2
PANAHOLMA 	78021,2	84097,8	74144,3
PASO DEL DURAZNO 	44029,4	47458,6	41841,5
PASO VIEJO 	121708,7	131187,9	115660,9
PINCEN 	57397,7	61868,1	54545,6
PLAZA DE MERCEDES 	39126,7	42174,1	37182,5
PLAZA LUXARDO 	48327,4	52091,4	45926
POTRERO DE GARAY 	102343,9	110314,9	97258,4
POZO NUEVO 	81597,6	87952,8	77543
PUESTO DE CASTRO 	41789,5	45044,3	39713
PUNTA DEL AGUA 	44027,4	47456,5	41839,7
RAFAEL GARCIA 	70731,9	76240,9	67217,2
RANQUELES 	37403,1	40316,2	35544,5
RAYO CORTADO 	89424,4	96389,1	84980,8
RINCON 	75554,9	81439,5	71800,6
RIO BAMBA 	41943,7	45210,5	39859,5
ROSARIO DEL SALADILLO 	58485,1	63040,2	55580
SAGRADA FAMILIA 	38172,1	41145,1	36275,3
SALADILLO 	45516,5	49060,4	43253,8
SAN CLEMENTE 	44204,4	47647,3	42007,9
SAN GERONIMO 	73622,5	79356,5	69964,1
SAN IGNACIO 	53648,2	57826,5	50982,4
SAN JOAQUIN 	42094,9	45373,4	40003,2
SAN LORENZO 	108720,8	117188,5	103318,5
SAN ROQUE 	102292,8	110259,8	97211,8
SAN VICENTE 	160433,5	172928,9	152461,6
SANTA ELENA 	57112,6	61560,8	54274,6
SAUCE ARRIBA 	93967,1	101285,7	89297,9
SEGUNDA USINA 	40499	43654,3	38486,6
SIMBOLAR 	61735,7	66544	58668
SUCO 	54329,8	58561,3	51630,2
TALA CAÑADA 	70618,9	76119	67109,8
TALA HUASI 	41542,6	44778,1	39479,4
TALAINI 	50084,6	53985,4	47595,8
TINOCO 	65234,4	70315,1	61992,9
TORO PUJIO 	56617,4	61027	53804,1
TOSNO 	54662,4	58919,8	51946,3
TUCLAME 	87923,8	94771,7	83554,9
VALLE DE ANISACATE 	58794,6	63373,8	55873,1
VILLA AMANCAY 	66652,9	71844,1	63340,9
VILLA C.PAR. LOS REARTES 	92734,4	99957	88126,4
VILLA CANDELARIA NORTE 	81513	87861,6	77462,6
VILLA CERRO AZUL 	47496,7	51196	45136,6
VILLA CIUDAD DE AMERICA 	90185,5	97209,6	85704,2
VILLA DE POCHO 	63433,6	68374,1	60281,6
VILLA DEL PRADO 	131818,9	142085,6	125268,8
VILLA EL CHACAY 	45099	48611,5	42858
VILLA ELISA 	33928,8	36571,4	32242,9
VILLA GUTIERREZ 	57431	61904	54577,2
VILLA LA BOLSA 	93648,8	100942,6	88995,3
VILLA LOS AROMOS 	91732,9	98877,5	87174,7
VILLA LOS PATOS 	33227,5	35815,5	31576,5
VILLA PARQUE SIQUIMAN 	123031,6	132613,8	116918,1
