COMUNAS 	Abril 	Mayo 	Junio 	Total general
LA SERRANITA 	35473	43747	43901	123121
LAS ALBAHACAS 	38456	47426	47593	133475
LAS BAJADAS 	26277	32406	32520	91203
LAS CALERAS 	30915	38125	38260	107300
LAS CALLES 	50570	62365	62586	175521
LAS CAÑADAS 	27700	34161	34282	96143
LAS GRAMILLAS 	22791	28107	28206	79103
LAS ISLETILLAS 	29813	36767	36897	103477
LAS PALMAS 	28560	35222	35346	99128
LAS PEÑAS SUD 	25518	31470	31583	88572
LAS PLAYAS 	39253	48409	48580	136241
LAS RABONAS 	49587	61154	61370	172111
LAS SALADAS 	25891	31931	32044	89866
LEGUIZAMON 	21875	26978	27073	75926
LOS CEDROS 	61996	76457	76727	215180
LOS CHAÑARITOS 	29179	35985	36113	101277
LOS CHAÑARITOS (C.D.EJE) 	46515	57364	57567	161446
LOS HORNILLOS 	64726	79823	80105	224654
LOS HOYOS 	30921	38133	38268	107322
LOS MISTOLES 	26010	32076	32190	90276
LOS MOLINOS 	34227	42211	42360	118799
LOS POZOS 	24295	29962	30068	84325
LOS REARTES 	71455	88122	88434	248011
LOS TALARES 	24379	30066	30172	84617
LUTTI 	27436	33836	33956	95228
LUYABA 	82010	101139	101496	284645
MALENA 	31098	38352	38488	107938
MAQUINISTA GALLINI 	24640	30387	30494	85521
MAYU SUMAJ 	62993	77686	77961	218639
MEDIA NARANJA 	63756	78627	78905	221289
MI GRANJA 	67154	82818	83111	233084
NICOLAS BRUZZONE 	28703	35398	35524	99625
OLIVARES DE SAN NICOLAS 	51115	63037	63260	177412
ONAGOITY 	22476	27718	27816	78011
PACHECO DE MELO 	21419	26416	26509	74344
PAMPAYASTA NORTE 	22251	27441	27538	77229
PANAHOLMA 	44719	55149	55344	155212
PASO DEL DURAZNO 	25236	31122	31232	87590
PASO VIEJO 	69759	86030	86334	242123
PINCEN 	32898	40572	40715	114185
PLAZA DE MERCEDES 	22426	27657	27755	77837
PLAZA LUXARDO 	27699	34160	34281	96141
POTRERO DE GARAY 	58659	72342	72598	203599
POZO NUEVO 	46768	57677	57881	162327
PUESTO DE CASTRO 	23952	29539	29643	83134
PUNTA DEL AGUA 	25235	31121	31231	87586
RAFAEL GARCIA 	40541	49997	50174	140711
RANQUELES 	21438	26438	26532	74408
RAYO CORTADO 	51254	63210	63433	177897
RINCON 	43305	53406	53595	150306
RIO BAMBA 	24040	29648	29753	83441
ROSARIO DEL SALADILLO 	33521	41340	41486	116348
SAGRADA FAMILIA 	21879	26982	27077	75938
SALADILLO 	26088	32173	32286	90547
SAN CLEMENTE 	25336	31246	31356	87939
SAN GERONIMO 	42197	52040	52224	146462
SAN IGNACIO 	30749	37921	38055	106726
SAN JOAQUIN 	24127	29755	29860	83742
SAN LORENZO 	62314	76849	77121	216285
SAN ROQUE 	58630	72306	72562	203497
SAN VICENTE 	91954	113402	113804	319160
SANTA ELENA 	32735	40370	40513	113618
SAUCE ARRIBA 	53858	66421	66656	186935
SEGUNDA USINA 	23212	28627	28728	80567
SIMBOLAR 	35384	43638	43792	122815
SUCO 	31140	38403	38539	108082
TALA CAÑADA 	40476	49917	50094	140486
TALA HUASI 	23811	29364	29468	82643
TALAINI 	28706	35402	35528	99636
TINOCO 	37390	46111	46274	129775
TORO PUJIO 	32451	40020	40162	112632
TOSNO 	31330	38638	38775	108743
TUCLAME 	50394	62149	62369	174912
VALLE DE ANISACATE 	33699	41559	41706	116964
VILLA AMANCAY 	38203	47114	47280	132597
VILLA C.PAR. LOS REARTES 	53152	65549	65781	184482
VILLA CANDELARIA NORTE 	46720	57617	57821	162159
VILLA CERRO AZUL 	27223	33573	33692	94488
VILLA CIUDAD DE AMERICA 	51691	63748	63973	179412
VILLA DE POCHO 	36358	44838	44997	126192
VILLA DEL PRADO 	75553	93176	93506	262235
VILLA EL CHACAY 	25849	31878	31991	89718
VILLA ELISA 	19447	23983	24067	67497
VILLA GUTIERREZ 	32917	40595	40739	114251
VILLA LA BOLSA 	53676	66196	66430	186301
VILLA LOS AROMOS 	52578	64841	65071	182490
VILLA LOS PATOS 	19045	23487	23570	66102
VILLA PARQUE SIQUIMAN 	70517	86965	87273	244754
VILLA QUILLINZO 	22260	27452	27549	77262
VILLA SAN ESTEBAN 	21407	26400	26493	74300
VILLA SAN ISIDRO 	64952	80103	80386	225441
VILLA SARMIENTO 	35969	44358	44515	124842
WASHINGTON 	41143	50739	50919	142800
