DEPARTAMENTO 	2012 OCT	2012 NOV	2012 DIC
ALDEA SANTA MARIA 	40638,4	41576,5	40524,2
ALTO DE LOS QUEBRACHOS 	39396,4	40305,8	39285,7
AMBOY 	44449,5	45475,5	44324,6
AMBUL 	92630	94768,3	92369,7
ANA ZUMARAN 	42298,4	43274,8	42179,5
ARROYO LOS PATOS 	73442,9	75138,2	73237,5
ASSUNTA 	34688,1	35488,8	34590,6
ATAHONA 	45141,4	46183,5	45014,6
AVELLANEDA 	59219,1	60586,1	59052,7
BAÑADO DE SOTO 	84076,4	86017,2	83840,1
CABALANGO 	42414,3	43393,4	42296,1
CALMAYO 	36719,8	37567,4	36616,6
CAMINIAGA 	51852,4	53049,4	51706,7
CANDELARIA SUD 	48594,8	49716,6	48458,2
CAÑADA DE MACHADO 	44780,8	45814,5	44655
CAÑADA DE RIO PINTO 	43809,5	44820,8	43686,4
CAÑADA DEL SAUCE 	35540,7	36361,2	35440,9
CAPILLA DE LOS REMEDIOS 	97727,2	99983,2	97452,6
CAPILLA DE SITON 	61316,3	62731,8	61144
CASA GRANDE 	66346,1	67878,6	66161,6
CERRO COLORADO 	57274,6	58596,7	57113,6
CHALACEA 	44997,3	46036	44870,8
CHANCANI 	74078,3	75788,3	73870,1
CHAÑAR VIEJO 	44081,4	45099	43957,5
CHARBONIER 	62610,8	64056,1	62434,8
CHUCUL 	52071,6	53273,6	51926,3
CHUÑA 	69776,4	71387,1	69580,3
CHUÑA HUASI 	47855,6	48960,3	47721,1
CHURQUI CAÑADA 	42934	43925,1	42813,4
CIENAGA DEL CORO 	79306,5	81137,2	79083,7
COLONIA ANITA 	30206,8	30904,1	30121,9
COLONIA BARGE 	41268,1	42220,7	41152,1
COLONIA BREMEN 	37023	37877,6	36919
COLONIA ITURRASPE 	31087,1	31804,7	30999,7
COLONIA LAS CUATRO ESQUINAS 	39875,7	40796,1	39763,6
COLONIA LAS PICHANAS 	47338,8	48431,6	47205,8
COLONIA SAN PEDRO 	37858,6	38732,5	37753,2
COLONIA VALTELINA 	42395,6	43374,3	42276,5
COLONIA VICENTE AGUERO 	51915,6	53114	51769,7
COLONIA VIDELA 	33970,3	34754,5	33874,8
COMECHINGONES 	55312,4	56589,2	55157
CONLARA 	57983,2	59321,7	57820,2
COPACABANA 	40793,1	41734,8	40678,5
CRUZ DE CAÑA 	50192,5	51351,1	50051,4
CUESTA BLANCA 	52544,2	53757,1	52397,5
DIEGO DE ROJAS 	68440,8	70020,6	68248,4
DIQUE CHICO 	45557,9	46609,6	45429,9
EL CHACHO 	54391,5	55647,1	54238,6
EL CRISPIN 	43266	44264,8	43144,5
EL MANZANO 	109160,9	111680,7	108854,1
EL RASTREADOR 	35291,5	36106,2	35192,3
EL RODEO 	54683,4	55945,7	54529,7
ESQUINA 	52138,5	53342	51991,9
ESTANCIA DE GUADALUPE 	66877	68420,8	66689
ESTANCIA VIEJA 	74323,4	76039	74116,5
EUFRASIO LOZA 	51254,4	52437,6	51110,4
FALDA DEL CARMEN 	95198,6	97396,2	94931,1
GENERAL FOTHERINGHAM 	53368,6	54600,6	53218,7
GUANACO MUERTO 	74646,1	76369,2	74436,3
GUASAPAMPA 	57969,2	59307,4	57806,3
GUTEMBERG 	82589,6	84496,1	82357,5
IMPIRA 	39736,9	40654,2	39625,3
KILOMETRO 658 	54302,5	55556,1	54149,9
LA BATEA 	44274,1	45296,2	44149,7
"LA CAROLINA ""EL POTOSI"" "	40955,9	41901,3	40840,8
LA CUMBRECITA 	85980,3	87965,1	85740,7
LA HIGUERA 	62210,1	63646,2	62035,3
LA PAISANITA 	37072,9	37928,7	36969,7
LA PAMPA 	78957,8	80780,5	78735,9
LA PLAYA 	53880,4	55124,2	53729
LA POBLACION 	62487,3	63929,7	62311,7
LA POSTA 	48026,9	49135,6	47891,9
LA QUINTA 	44780,8	45814,5	44655
LA RANCHERITA 	37340,2	38202,1	37235,3
LA RINCONADA 	65600,7	67115	65416,3
LA SERRANITA 	56114,1	57409,4	55956,4
LAS ALBAHACAS 	60833,3	62237,6	60662,3
LAS BAJADAS 	41567,2	42526,8	41450,4
LAS CALERAS 	48903,9	50032,8	48767,5
LAS CALLES 	79996,3	81842,9	79771,4
LAS CAÑADAS 	43818,9	44830,4	43695,8
LAS GRAMILLAS 	36052,6	36884,8	35951,3
LAS ISLETILLAS 	47161	48249,7	47028,5
LAS PALMAS 	45179,1	46222	45052,2
LAS PEÑAS SUD 	40367,4	41299,2	40255
LAS PLAYAS 	62094	63527,4	61919,5
LAS RABONAS 	78442,3	80253,1	78221,9
LEGUIZAMON 	34604,4	35403,2	34507,1
LOS CEDROS 	98071,6	100335,4	97796
LOS CHAÑARITOS 	46158,8	47224,3	46029,1
LOS CHAÑARITOS (C.D.EJE) 	73581,7	75280,2	73374,9
LOS HORNILLOS 	102389,6	104753,1	102102,9
LOS HOYOS 	48913,7	50042,9	48776,3
LOS MISTOLES 	41144,6	42094,4	41029
LOS MOLINOS 	54144,4	55394,3	53992,2
LOS POZOS 	38432,5	39319,7	38324,5
LOS REARTES 	113034,3	115644,6	112718,7
LOS TALARES 	38565,6	39455,8	38457,2
