"Achiras","-33.177349090576","-64.994430541992","2559","584966"
"Adelia María","-33.632770538330","-64.021278381348","7345","1078545"
"Agua de Oro","-31.069549560547","-64.300056457520","2061","528057"
"Alcira Gigena","-32.758399963379","-64.335418701172","5922","931731"
"Aldea Santa María","-33.699630737305","-62.913200378418","173","61435"
"Alejandro Roca","-33.353469848633","-63.717269897461","5300","881526"
"Alejo Ledesma","-33.605751037598","-62.624980926514","3370","670036"
"Alicia","-31.939779281616","-62.464309692383","3211","663989"
"Almafuerte","-32.191730499268","-64.254737854004","11222","1465412"
"Alpa Corral","-32.692409515381","-64.721313476562","879","411736"
"Alta Gracia","-31.657180786133","-64.433776855469","46858","5257998"
"Alto Alegre","-32.345451354980","-62.884021759033","979","424468"
"Alto de Los Quebrachos","-30.543630599976","-65.037261962891","159","59558"
"Altos de Chipion","-30.956560134888","-62.337791442871","1779","511071"
"Amboy","-32.174880981445","-64.573600769043","235","67197"
"Ámbul","-31.491109848022","-65.054161071777","941","140034"
"Ana Zumarán","-32.392791748047","-63.058940887451","198","63945"
"Anisacate","-31.725320816040","-64.404342651367","3053","642762"
"Arias","-33.642059326172","-62.402511596680","7311","1078094"
"Arroyito","-31.419429779053","-63.050018310547","21764","2645166"
"Arroyo Algodón","-32.201469421387","-63.164340972900","713","395824"
"Arroyo Cabral","-32.491230010986","-63.400718688965","2941","629317"
"Arroyo de Los Patos","-31.767580032349","-65.002838134766","657","111027"
"Assunta","-33.634338378906","-63.224681854248","84","52440"
"Atahona","-30.903320312500","-63.706279754639","223","68243"
"Ausonia","-32.662418365479","-63.242710113525","1022","428207"
"Avellaneda","-30.594329833984","-64.206413269043","460","89525"
"Ballesteros","-32.546089172363","-62.981609344482","3844","726961"
"Ballesteros Sud","-32.589118957520","-63.028041839600","578","382129"
"Balnearia","-31.008949279785","-62.664810180664","6197","982846"
"Bañado de Soto","-30.794450759888","-65.052917480469","846","127103"
"Bell Ville","-32.628379821777","-62.689361572266","33325","3839625"
"Bengolea","-33.028091430664","-63.673229217529","912","417538"
"Benjamín Gould","-33.587879180908","-62.728668212891","717","396806"
"Berrotarán","-32.450531005859","-64.388290405273","6748","1016900"
"Bialet Massé","-31.313899993896","-64.461593627930","5515","871721"
"Bouwer","-31.557840347290","-64.195167541504","2046","536667"
"Brinkmann","-30.866859436035","-62.036361694336","10106","1400269"
"Buchardo","-34.724258422852","-63.507320404053","1944","530493"
"Bulnes","-33.505329132080","-64.677711486816","1085","432979"
"Cabalango","-31.393789291382","-64.560470581055","211","64120"
"Calchín","-31.667619705200","-63.199710845947","2227","551232"
"Calchín Oeste","-31.862390518188","-63.277130126953","821","405942"
"Calmayo","-32.027431488037","-64.464248657227","117","55511"
"Camilo Aldao","-33.128349304199","-62.094718933105","5179","857341"
"Caminiaga","-30.069089889526","-64.053039550781","308","78388"
"Cañada de Luque","-30.734600067139","-63.723621368408","1232","457651"
"Cañada de Machado","-31.429540634155","-63.587318420410","218","67697"
"Cañada de Río Pinto","-30.774280548096","-64.217056274414","225","66229"
"Canals","-33.563560485840","-62.886081695557","8979","1269125"
"Candelaria Sud","-30.839160919189","-63.801040649414","278","73463"
"Capilla de Los Remedios","-31.429830551147","-63.832790374756","952","147739"
"Capilla de Sitón","-30.572900772095","-63.652381896973","459","92695"
"Capilla del Carmen","-31.508449554443","-63.342529296875","362","358510"
"Capilla del Monte","-30.861560821533","-64.523727416992","10391","1358541"
"Capitán General Bernardo O'Higgins","-33.248298645020","-62.268619537354","453","368007"
"Carnerillo","-32.913169860840","-64.022819519043","2010","533641"
"Carrilobo","-31.871500015259","-63.116111755371","1772","504216"
"Casa Grande","-31.164190292358","-64.474807739258","589","100300"
"Cavanagh","-33.475978851318","-62.339511871338","1255","451046"
"Cerro Colorado","-30.097240447998","-63.932441711426","371","86585"
"Chaján","-33.555908203125","-65.003349304199","744","397816"
"Chalacea","-30.761749267578","-63.559169769287","221","68025"
"Chañar Viejo","-29.998800277710","-63.852111816406","199","66640"
"Chancaní","-31.416650772095","-65.451469421387","511","111988"
"Charbonier","-30.775690078735","-64.543472290039","530","94652"
"Charras","-33.024131774902","-64.045913696289","1043","431391"
"Chazón","-33.078300476074","-63.274890899658","1074","433656"
"Chilibroste","-32.332248687744","-62.511260986328","574","381705"
"Chucul","-33.009948730469","-64.168731689453","352","78719"
"Chuña","-30.468090057373","-64.668312072754","621","105485"
"Chuña Huasi","-29.935890197754","-64.114280700684","254","72346"
"Churqui Cañada","-30.173690795898","-63.926689147949","176","64906"
"Ciénaga del Coro","-31.042079925537","-65.282218933105","689","119892"
"Cintra","-32.306278228760","-62.651161193848","1343","462899"
"Colazo","-31.964609146118","-63.382701873779","1563","482617"
"Colonia Almada","-32.034599304199","-63.864208221436","502","372292"
"Colonia Anita","-31.110929489136","-62.231109619141","17","45665"
"Colonia Barge","-33.257488250732","-62.606441497803","186","62387"
"Colonia Bismarck","-33.301189422607","-62.713050842285","395","362807"
"Colonia Bremen","-33.464309692383","-62.731498718262","119","55970"
"Colonia Caroya","-31.021310806274","-64.061271667480","19667","2295978"
"Colonia Italiana","-33.311798095703","-62.176780700684","772","401036"
"Colonia Iturraspe","-31.207729339600","-62.110088348389","30","46996"
"Colonia Las Cuatro Esquinas","-31.207700729370","-63.223308563232","150","60282"
"Colonia Las Pichanas","-31.245750427246","-62.925651550293","270","71565"
"Colonia Marina","-31.248609542847","-62.362689971924","1142","443050"
"Colonia Prosperidad","-31.629919052124","-62.366809844971","346","358051"
