"172","Achiras","-33.177349090576","-64.994430541992","http://www.achiras.gov.ar/"
"173","Adelia María","-33.632770538330","-64.021278381348",
"174","Agua de Oro","-31.069549560547","-64.300056457520","http://www.aguadeoro.gob.ar/"
"175","Alcira Gigena","-32.758399963379","-64.335418701172","http://www.labordeonline.com.ar/"
"176","Aldea Santa María","-33.699630737305","-62.913200378418",
"177","Alejandro Roca","-33.353469848633","-63.717269897461","http://www.alejandro.gob.ar/"
"178","Alejo Ledesma","-33.605751037598","-62.624980926514",
"179","Alicia","-31.939779281616","-62.464309692383",
"180","Almafuerte","-32.191730499268","-64.254737854004","http://www.almafuerte.gov.ar/"
"181","Alpa Corral","-32.692409515381","-64.721313476562",
"182","Alta Gracia","-31.657180786133","-64.433776855469","http://www.altagracia.gov.ar/"
"183","Alto Alegre","-32.345451354980","-62.884021759033",
"184","Alto de Los Quebrachos","-30.543630599976","-65.037261962891",
"185","Altos de Chipion","-30.956560134888","-62.337791442871",
"186","Amboy","-32.174880981445","-64.573600769043",
"187","Ámbul","-31.491109848022","-65.054161071777",
"188","Ana Zumarán","-32.392791748047","-63.058940887451",
"189","Anisacate","-31.725320816040","-64.404342651367",
"190","Arias","-33.642059326172","-62.402511596680",
"191","Arroyito","-31.419429779053","-63.050018310547","http://www.municipioarroyito.gob.ar/"
"192","Arroyo Algodón","-32.201469421387","-63.164340972900",
"193","Arroyo Cabral","-32.491230010986","-63.400718688965",
"194","Arroyo de Los Patos","-31.767580032349","-65.002838134766",
"195","Assunta","-33.634338378906","-63.224681854248",
"196","Atahona","-30.903320312500","-63.706279754639",
"197","Ausonia","-32.662418365479","-63.242710113525",
"198","Avellaneda","-30.594329833984","-64.206413269043",
"199","Ballesteros","-32.546089172363","-62.981609344482",
"200","Ballesteros Sud","-32.589118957520","-63.028041839600",
"201","Balnearia","-31.008949279785","-62.664810180664",
"202","Bañado de Soto","-30.794450759888","-65.052917480469",
"203","Bell Ville","-32.628379821777","-62.689361572266","http://www.bellvilleciudad.com.ar/"
"204","Bengolea","-33.028091430664","-63.673229217529",
"205","Benjamín Gould","-33.587879180908","-62.728668212891",
"206","Berrotarán","-32.450531005859","-64.388290405273",
"207","Bialet Massé","-31.313899993896","-64.461593627930","http://www.bialetmasse.gov.ar/"
"208","Bouwer","-31.557840347290","-64.195167541504",
"209","Brinkmann","-30.866859436035","-62.036361694336","http://www.brinkmann.gov.ar"
