M U N I C I P I O 	OCTUBRE 	NOVIEMBRE 	DICIEMBRE 
OLIVA 	585962	623058	542370
ONCATIVO 	594438	632071	550215
ORDOÑEZ 	216667	230384	200549
PAMPAYASTA SUD 	162666	172963	150564
PASCANAS 	224137	238326	207463
PASCO 	161867	172114	149824
PILAR 	630376	670283	583479
PIQUILLIN 	172094	182989	159291
PORTEÑA 	332102	353126	307396
POZO DEL MOLLE 	335443	356679	310488
PUEBLO ITALIANO 	179889	191277	166506
QUEBRACHO HERRADO 	130856	139140	121121
QUILINO 	323393	343866	299334
REDUCCION 	178056	189328	164809
RIO CEBALLOS 	805134	856105	745236
RIO CUARTO 	6047059	6429884	5597184
RIO DE LOS SAUCES 	165288	175752	152991
RIO PRIMERO 	415778	442100	384846
RIO SEGUNDO 	854791	908906	791199
RIO TERCERO 	1840061	1956550	1703169
ROSALES 	138812	147600	128485
SACANTA 	232706	247438	215394
SAIRA 	147860	157221	136860
SALDAN 	495046	526386	458217
SALSACATE 	205372	218374	190094
SALSIPUEDES 	443466	471541	410475
SAMPACHO 	415738	442058	384809
SAN AGUSTIN 	249390	265179	230837
SAN ANTONIO DE ARREDONDO 	242888	258265	224819
SAN ANTONIO DE LITIN 	166901	177468	154485
SAN BASILIO 	242610	257969	224561
SAN CARLOS MINAS 	183376	194985	169734
SAN ESTEBAN 	146796	156089	135875
SAN FRANCISCO 	2505033	2663621	2318670
SAN FRANCISCO DEL CHAÑAR 	245837	261401	227548
SAN JAVIER Y YACANTO 	176908	188108	163747
SAN JOSE 	200033	212697	185152
SAN JOSE DE LA DORMIDA 	312398	332175	289157
SAN JOSE DE LAS SALINAS 	146749	156039	135831
SAN MARCOS SIERRAS 	194415	206722	179951
SAN MARCOS SUD 	235783	250710	218243
SAN PEDRO 	299723	318698	277425
SAN PEDRO NORTE 	157965	167965	146213
SANTA CATALINA 	259915	276370	240578
SANTA EUFEMIA 	212084	225511	196306
SANTA MARIA 	424626	451508	393036
SANTA ROSA DE CALAMUCHITA 	561968	597544	520160
SANTA ROSA DE RIO PRIMERO 	436766	464417	404273
SANTIAGO TEMPLE 	218955	232817	202667
SARMIENTO 	172618	183546	159776
SEBASTIAN EL CANO 	218552	232388	202293
SEEBER 	146135	155386	135263
SERRANO 	240918	256170	222996
SERREZUELA 	225973	240279	209161
SILVIO PELLICO 	132533	140923	122673
SINSACATE 	172373	183285	159549
TANCACHA 	325632	346247	301408
TANTI 	330726	351664	306122
TICINO 	201168	213903	186202
TIO PUJIO 	218953	232814	202664
TOLEDO 	264368	281104	244701
TOSQUITA 	134785	143318	124758
TRANSITO 	235239	250132	217739
UCACHA 	318106	338244	294441
UNQUILLO 	751522	799099	695612
VALLE HERMOSO 	334232	355391	309366
VIAMONTE 	183873	195513	170193
VICUÑA MACKENNA 	513219	545709	475038
VILLA ALLENDE 	1103891	1173776	1021767
VILLA ASCASUBI 	206775	219866	191392
VILLA CARLOS PAZ 	2197925	2337069	2034408
VILLA CONCEPCION DEL TIO 	184997	196709	171234
VILLA CURA BROCHERO 	332153	353181	307443
VILLA DE LAS ROSAS 	262906	279550	243347
VILLA DE MARIA 	321000	341322	297119
VILLA DE SOTO 	454519	483294	420705
VILLA DEL DIQUE 	233108	247865	215767
VILLA DEL ROSARIO 	681738	724898	631021
VILLA DEL TOTORAL 	465815	495305	431161
VILLA DOLORES 	1256780	1336343	1163281
VILLA FONTANA 	154158	163917	142689
VILLA GIARDINO 	299317	318266	277050
VILLA GRAL. BELGRANO 	403119	428640	373130
VILLA HUIDOBRO 	350836	373046	324736
VILLA MARIA 	3025464	3216999	2800383
VILLA NUEVA 	820421	872358	759385
VILLA PQUE.SANTA ANA 	212635	226097	196816
VILLA ROSSI 	136165	144785	126035
VILLA RUMIPAL 	214467	228044	198511
VILLA SANTA CRUZ DEL LAGO 	199207	211818	184387
VILLA SARMIENTO 	307367	326826	284501
VILLA TULUMBA 	181958	193477	168421
VILLA VALERIA 	237546	252585	219874
VILLA YACANTO 	176597	187777	163459
WENCESLAO ESCALANTE 	175023	186104	162003
