DEPARTAMENTO 	2011 ENE	2011 FEB	2011 MAR
VILLA DE POCHO 	36924	36592	38684
VILLA DEL PRADO 	75138	74463	83556
VILLA EL CHACAY 	26259	26023	27488
VILLA ELISA 	20030	19850	20132
VILLA GUTIERREZ 	33364	33065	35153
VILLA LA BOLSA 	53412	52932	59298
VILLA LOS AROMOS 	53162	52685	56407
VILLA LOS PATOS 	19495	19320	19956
VILLA PARQUE SIQUIMAN 	70541	69908	77165
VILLA QUILLINZO 	22566	22364	23764
VILLA SAN ESTEBAN 	21677	21483	22901
VILLA SAN ISIDRO 	65190	64605	70647
VILLA SARMIENTO 	36203	35878	38918
WASHINGTON 	41663	41289	44013
