DEPARTAMENTO 	s	d	f
OLAETA 	226980	242741	235872
OLIVA 	948644	1014518	985808
ONCATIVO 	959560	1026192	997151
ORDOÑEZ 	353901	378476	367766
PAMPAYASTA SUD 	262323	280539	272600
PASCANAS 	363166	388384	377393
PASCO 	261700	279873	271953
PILAR 	1018169	1088871	1058056
PIQUILLIN 	279425	298828	290371
PORTEÑA 	536215	573450	557222
POZO DEL MOLLE 	542475	580145	563727
PUEBLO ITALIANO 	291033	311242	302434
QUEBRACHO HERRADO 	211129	225790	219400
QUILINO 	525780	562290	546378
REDUCCION 	287574	307543	298840
RIO CEBALLOS 	1320652	1412358	1372389
RIO CUARTO 	9799742	10480239	10183656
RIO DE LOS SAUCES 	268938	287613	279474
RIO PRIMERO 	674631	721477	701060
RIO SEGUNDO 	1377312	1472953	1431269
RIO TERCERO 	2966229	3172205	3082434
ROSALES 	223855	239399	232624
SACANTA 	376092	402208	390826
SAIRA 	238388	254942	247727
SALDAN 	798590	854044	829875
SALSACATE 	341523	365238	354902
SALSIPUEDES 	721559	771664	749827
SAMPACHO 	666136	712393	692232
SAN AGUSTIN 	408016	436348	424000
SAN ANTONIO DE ARREDONDO 	393391	420709	408803
SAN ANTONIO DE LITIN 	270202	288965	280788
SAN BASILIO 	389398	416438	404653
SAN CARLOS MINAS 	309275	330751	321391
SAN ESTEBAN 	237509	254001	246813
SAN FRANCISCO 	4048654	4329794	4207264
SAN FRANCISCO DEL CHAÑAR 	392347	419591	407717
SAN JAVIER Y YACANTO 	285447	305268	296629
SAN JOSE 	323449	345909	336120
SAN JOSE DE LA DORMIDA 	521101	557286	541516
SAN JOSE DE LAS SALINAS 	246680	263809	256343
SAN MARCOS SIERRAS 	314514	336353	326835
SAN MARCOS SUD 	381946	408469	396909
SAN PEDRO 	494822	529182	514207
SAN PEDRO NORTE 	258545	276498	268673
SANTA CATALINA 	419762	448910	436206
SANTA EUFEMIA 	341630	365353	355014
SANTA MARIA 	686694	734378	713596
SANTA ROSA DE CALAMUCHITA 	932331	997072	968856
SANTA ROSA DE RIO PRIMERO 	709134	758377	736915
SANTIAGO TEMPLE 	353624	378179	367477
SARMIENTO 	277587	296862	288461
SEBASTIAN EL CANO 	357983	382841	372007
SEEBER 	235780	252153	245017
SERRANO 	390485	417601	405783
SERREZUELA 	365736	391133	380064
SILVIO PELLICO 	213065	227860	221412
