DEPARTAMENTO 	a	s	d
DALMACIO VELEZ 	509109,38	541831,8	455802,17
DEAN FUNES 	2673272,13	2845093,59	2393362,35
DEL CAMPILLO 	752060,36	800398,17	673314,53
DESPEÑADEROS 	1035194,98	1101730,93	926803,02
DEVOTO 	1006003,46	1070663,17	900668,06
EL ARAÑADO 	526489,2	560328,69	471362,2
EL BRETE 	547666,23	582866,84	490321,85
EL FORTIN 	487619,35	518960,52	436562,29
EL TIO 	533375,24	567657,31	477527,22
ELENA 	655297,58	697416,07	586683,47
EMBALSE 	1246944,65	1327090,57	1116381,06
ESTACION GENERAL PAZ 	558444,19	594337,54	499971,29
ESTACION JUAREZ CELMAN 	1571173,07	1672158,4	1406660,56
ETRURIA 	777388,78	827354,54	695990,88
FREYRE 	1067302,35	1135901,97	955548,53
GENERAL BALDISSERA 	588043,43	625839,24	526471,28
GENERAL CABRERA 	1578718,05	1680188,33	1413415,53
GENERAL DEHEZA 	1450721,01	1543964,42	1298820,65
GENERAL LEVALLE 	980913,92	1043961,02	878205,56
GENERAL ROCA 	621962,91	661938,86	556839,17
GUATIMOZIN 	613025,9	652427,42	548837,91
HERNANDO 	1491176,46	1587020,1	1335041,15
HUANCHILLAS 	455985,6	485293,55	408240,81
HUERTA GRANDE 	964370,14	1026353,91	863394,02
HUINCA RENANCO 	1341388,75	1427604,95	1200936,22
IDIAZABAL 	509607,71	542362,16	456248,32
INRIVILLE 	763019,53	812061,73	683126,2
ISLA VERDE 	811258,84	863401,56	726314,52
ITALO 	474951,03	505477,95	425220,42
JAMES CRAIK 	867747,38	923520,84	776888,33
JESUS MARIA 	3531674,77	3758669,07	3161884,39
JOVITA 	909125,36	967558,34	813933,75
JUSTINIANO POSSE 	1228461,08	1307418,99	1099832,85
LA CALERA 	3525303,54	3751888,34	3156180,28
LA CARLOTA 	1721010,21	1831626,14	1540808,73
LA CAUTIVA 	423466,39	450684,2	379126,58
LA CESIRA 	479073,59	509865,49	428911,32
LA CRUZ 	512148,79	545066,56	458523,33
LA CUMBRE 	1143369,96	1216858,74	1023651,35
LA FALDA 	1910656,2	2033461,41	1710597,5
LA FRANCIA 	761137,41	810058,63	681441,14
LA GRANJA 	637913,64	678914,8	571119,74
LA LAGUNA 	486943,93	518241,68	435957,59
LA PALESTINA 	394633,18	419997,77	353312,4
LA PAQUITA 	432428,12	460221,93	387149,95
LA PARA 	775761,99	825623,2	694534,43
LA PAZ 	685979,97	730070,54	614153,2
LA PLAYOSA 	629606,74	670073,98	563682,63
LA PUERTA 	600093,99	638664,33	537260,07
LA TORDILLA 	472961,82	503360,89	423439,5
LABORDE 	991403,59	1055124,9	887596,89
LABOULAYE 	2643932,35	2813868,04	2367094,65
LAGUNA LARGA 	1138518,44	1211695,39	1019307,81
LAS ACEQUIAS 	573480,62	610340,42	513433,3
LAS ARRIAS 	488463,63	519859,07	437318,17
LAS HIGUERAS 	980094,35	1043088,78	877471,8
LAS JUNTURAS 	517049,74	550282,51	462911,11
LAS PEÑAS 	526995,77	560867,81	471815,73
LAS PERDICES 	883125,64	939887,52	790656,38
LAS TAPIAS 	542621,14	577497,48	485805,01
LAS VARAS 	478179,89	508914,34	428111,2
LAS VARILLAS 	2155036,28	2293548,74	1929390,32
LAS VERTIENTES 	422605,64	449768,12	378355,95
LASPIUR 	601889,63	640575,39	538867,69
LEONES 	1483701,49	1579064,68	1328347,85
LOS CERRILLOS 	593492,13	631638,15	531349,46
LOS CISNES 	398146,21	423736,6	356457,59
LOS COCOS 	445957,2	474620,58	399262,45
LOS CONDORES 	669201,44	712213,58	599131,49
LOS SURGENTES 	649960,08	691735,51	581904,84
LOS ZORROS 	410596,26	436986,86	367604,04
LOZADA 	456533,36	485876,51	408731,21
LUCA 	393434,71	418722,27	352239,42
LUCIO V. MANSILLA 	445141,75	473752,72	398532,38
LUQUE 	982693,08	1045854,54	879798,43
MALAGUEÑO 	1726084,13	1837026,18	1545351,38
MALVINAS ARGENTINAS 	1646359,34	1752177,17	1473974,32
MANFREDI 	434516,17	462444,19	389019,37
MARCOS JUAREZ 	3204810,54	3410796,02	2869246,07
MARULL 	530817,69	564935,38	475237,46
MATORRALES 	443972,11	472507,9	397485,21
MATTALDI 	545178,69	580219,42	488094,77
MELO 	473682,55	504127,94	424084,76
MENDIOLAZA 	1186152,33	1262390,9	1061954,11
MINA CLAVERO 	1367429,65	1455319,61	1224250,46
MIRAMAR 	577125,44	614219,51	516696,48
MONTE BUEY 	1026076,75	1092026,64	918639,53
MONTE CRISTO 	1513914,38	1611219,47	1355397,24
MONTE DE LOS GAUCHOS 	413491,52	440068,21	370196,15
MONTE LEÑA 	387837,75	412765,57	347228,5
MONTE MAIZ 	1154786,28	1229008,83	1033872,3
MONTE RALO 	393702,41	419007,18	352479,09
MORRISON 	695168,21	739849,34	622379,37
MORTEROS 	2191126,18	2331958,28	1961700,37
NOETINGER 	877376,3	933768,64	785509,03
NONO 	572092,71	608863,3	512190,71
OBISPO TREJO 	633099,18	673790,9	566809,39
OLAETA 	400786,13	426546,2	358821,1
OLIVA 	1675052,52	1782714,58	1499663,13
ONCATIVO 	1694326,83	1803227,72	1516919,28
ORDOÑEZ 	624895,24	665059,66	559464,46
PAMPAYASTA SUD 	463192,88	492964,06	414693,43
PASCANAS 	641253,69	682469,53	574110,07
PASCO 	462093,25	491793,76	413708,95
PILAR 	1797815,02	1913367,5	1609571,56
PIQUILLIN 	493389,29	525101,31	441728,07
PORTEÑA 	946813,22	1007668,54	847675,44
POZO DEL MOLLE 	957867,12	1019432,92	857571,92
PUEBLO ITALIANO 	513886,77	546916,25	460079,33
QUEBRACHO HERRADO 	372797,2	396758,31	333762,8
QUILINO 	928387,32	988058,33	831178,85
REDUCCION 	507779,12	540416,04	454611,2
RIO CEBALLOS 	2331919,22	2481800,63	2087751,42
RIO CUARTO 	17303734,84	18415912,33	15491916,09
RIO DE LOS SAUCES 	474872,78	505394,67	425150,37
RIO PRIMERO 	1191218,01	1267782,17	1066489,38
RIO SEGUNDO 	2431964,41	2588276,1	2177321,19
RIO TERCERO 	5237570,3	5574209,05	4689161,06
ROSALES 	395267,42	420672,78	353880,23
SACANTA 	664078,1	706760,95	594544,6
SAIRA 	420929,43	447984,18	376855,26
SALDAN 	1410096,71	1500729,04	1262449,99
SALSACATE 	603038,68	641798,29	539896,42
SALSIPUEDES 	1274081,06	1355971,14	1140676,1
SAMPACHO 	1176218,65	1251818,74	1053060,56
SAN AGUSTIN 	720447,21	766753,11	645011,48
SAN ANTONIO DE ARREDONDO 	694624,58	739270,77	621892,66
SAN ANTONIO DE LITIN 	477104,97	507770,34	427148,84
SAN BASILIO 	687573,81	731766,81	615580,15
SAN CARLOS MINAS 	546097,1	581196,86	488917,02
SAN ESTEBAN 	419376,78	446331,73	375465,18
SAN FRANCISCO 	7148845,26	7608327,94	6400312,64
SAN FRANCISCO DEL CHAÑAR 	692779,52	737307,12	620240,79
SAN JAVIER Y YACANTO 	504023,11	536418,61	451248,46
SAN JOSE 	571124,87	607833,26	511324,21
SAN JOSE DE LA DORMIDA 	920125,72	979265,74	823782,3
SAN JOSE DE LAS SALINAS 	435570,49	463566,28	389963,3
SAN MARCOS SIERRAS 	555347,12	591041,42	497198,5
SAN MARCOS SUD 	674415,38	717762,65	603799,51
SAN PEDRO 	873723,24	929880,79	782238,47
SAN PEDRO NORTE 	456521	485863,36	408720,15
SANTA CATALINA 	741187,68	788826,65	663580,28
SANTA EUFEMIA 	603228,12	641999,91	540066,04
SANTA MARIA 	1212518,59	1290451,82	1085559,65
SANTA ROSA DE CALAMUCHITA 	1646248,14	1752058,83	1473874,76
SANTA ROSA DE RIO PRIMERO 	1252142,12	1332622,1	1121034,32
SANTIAGO TEMPLE 	624405,15	664538,07	559025,68
SARMIENTO 	490143,96	521647,39	438822,55
SEBASTIAN EL CANO 	632102,52	672730,17	565917,08
SEEBER 	416325,01	443083,82	372732,95
SERRANO 	689493	733809,36	617298,39
SERREZUELA 	645792,22	687299,76	578173,38
SILVIO PELLICO 	376215,51	400396,33	336823,19
SINSACATE 	488611,9	520016,86	437450,91
TANCACHA 	928086,67	987738,36	830909,68
TANTI 	950869,89	1011985,95	851307,34
TICINO 	571952,68	608714,27	512065,34
TIO PUJIO 	632329,03	672971,25	566119,88
TOLEDO 	757842,65	806552,11	678491,37
TOSQUITA 	383575,17	408229,01	343412,24
TRANSITO 	670519,34	713616,19	600311,4
UCACHA 	907280,3	965594,69	812281,88
UNQUILLO 	2128287	2265080,18	1905440,88
VALLE HERMOSO 	964889,06	1026906,19	863858,61
VIAMONTE 	529372,11	563396,89	473943,25
VICUÑA MACKENNA 	1442900,09	1535640,82	1291818,64
VILLA ALLENDE 	3207117,87	3413251,59	2871310,92
VILLA ASCASUBI 	589171,88	627040,22	527481,58
VILLA CARLOS PAZ 	6195416,82	6593620,05	5546715,53
VILLA CONCEPCION DEL TIO 	526489,2	560328,69	471362,2
VILLA CURA BROCHERO 	974546,81	1037184,67	872505,13
VILLA DE LAS ROSAS 	756203,51	804807,62	677023,86
VILLA DE MARIA 	926562,85	986116,6	829545,41
VILLA DE SOTO 	1303754,43	1387551,73	1167242,47
VILLA DEL DIQUE 	675543,84	718963,63	604809,8
VILLA DEL ROSARIO 	1953747,45	2079322,31	1749176,81
VILLA DEL TOTORAL 	1315627,89	1400188,35	1177872,7
VILLA DOLORES 	3609039,69	3841006,53	3231148,68
VILLA FONTANA 	440393,18	468698,95	394281,02
VILLA GIARDINO 	842163,62	896292,71	753983,36
VILLA GRAL. BELGRANO 	1155634,68	1229911,76	1034631,87
VILLA HUIDOBRO 	995398,48	1059376,56	891173,48
VILLA MARIA 	8747413,21	9309643,04	7831499,54
