DEPARTAMENTO M U N I C I P I O 	TOTALOCTUBRE	TOTALNOVIEMBRE	TOTALDICIEMBRE
LAS HIGUERAS 	820786,98	853307,55	831706
LAS JUNTURAS 	433006,98	450163,23	438767,32
LAS PEÑAS 	441336,35	458822,63	447207,5
LAS PERDICES 	739579,85	768882,89	749418,57
LAS TAPIAS 	454421,93	472426,67	460467,16
LAS VARAS 	400455,14	416321,66	405782,45
LAS VARILLAS 	1804750,45	1876256,83	1828760,26
LAS VERTIENTES 	353914,09	367936,6	358622,25
LASPIUR 	504056,75	524028,08	510762,28
LEONES 	1242536,36	1291767,14	1259065,97
LOS CERRILLOS 	497024,2	516716,9	503636,17
LOS CISNES 	333430,37	346641,29	337866,04
LOS COCOS 	373470,03	388267,36	378438,34
LOS CONDORES 	560427,5	582632,31	567882,93
LOS SURGENTES 	544313,69	565880,05	551554,76
LOS ZORROS 	343856,76	357480,77	348431,12
LOZADA 	382327,1	397475,36	387413,25
LUCA 	329484,7	342539,28	333867,87
LUCIO V. MANSILLA 	372787,12	387557,39	377746,35
LUQUE 	822963,31	855570,1	833911,29
MALAGUEÑO 	1445521,42	1502794,72	1464752,36
MALVINAS ARGENTINAS 	1378755,33	1433383,27	1397097,07
MANFREDI 	363888,65	378306,36	368729,51
MARCOS JUAREZ 	2683891,36	2790230,37	2719596,49
MARULL 	444537,04	462150,14	450450,77
MATORRALES 	371807,6	386539,06	376753,8
MATTALDI 	456563,77	474653,38	462637,49
MELO 	396688,81	412406,1	401966,01
MENDIOLAZA 	993351,7	1032709,49	1006566,38
MINA CLAVERO 	1145163,68	1190536,44	1160397,93
MIRAMAR 	483317,8	502467,44	489747,44
MONTE BUEY 	859295,26	893341,58	870726,57
MONTE CRISTO 	1267838,35	1318071,64	1284704,56
MONTE DE LOS GAUCHOS 	346281,42	360001,5	350888,04
MONTE LEÑA 	324797,48	337666,35	329118,3
MONTE MAIZ 	967083,98	1005401,01	979950,22
MONTE RALO 	329708,88	342772,35	334095,04
MORRISON 	582173,56	605239,98	589918,28
MORTEROS 	1834974,19	1907679,08	1859386,07
NOETINGER 	734765,02	763877,29	744539,68
NONO 	479103,1	498085,74	485476,67
OBISPO TREJO 	530193,41	551200,31	537246,63
OLAETA 	335641,19	348939,7	340106,27
OLIVA 	1402784,63	1458364,65	1421447,05
ONCATIVO 	1418926,04	1475145,6	1437802,18
ORDOÑEZ 	523322,96	544057,65	530284,79
PAMPAYASTA SUD 	387904,17	403273,4	393064,5
PASCANAS 	537022,46	558299,94	544166,54
PASCO 	386983,28	402316,02	392131,36
PILAR 	1505592,97	1565246,37	1525622,05
PIQUILLIN 	413192,37	429563,55	418689,11
PORTEÑA 	792915,46	824331,73	803463,71
POZO DEL MOLLE 	802172,63	833955,67	812844,03
PUEBLO ITALIANO 	430358,13	447409,44	436083,24
QUEBRACHO HERRADO 	312201,67	324571,47	316354,92
QUILINO 	777484,55	808289,43	787827,53
REDUCCION 	425243,24	442091,88	430900,3
RIO CEBALLOS 	1952882,33	2030257,88	1978863,75
RIO CUARTO 	14491135,7	15065291,96	14683914,03
RIO DE LOS SAUCES 	397685,58	413442,36	402976,04
RIO PRIMERO 	997593,99	1037119,87	1010865,1
RIO SEGUNDO 	2036665,87	2117362,03	2063760,89
RIO TERCERO 	4386240,46	4560028,59	4444592,14
ROSALES 	331019,51	344134,9	335423,1
SACANTA 	556136,92	578171,74	563535,28
SAIRA 	352510,34	366477,23	357199,83
SALDAN 	1180895,51	1227684,01	1196605,1
SALSACATE 	505019,02	525028,49	511737,35
SALSIPUEDES 	1066988,23	1109263,59	1081182,51
SAMPACHO 	985032,67	1024060,85	998136,68
SAN AGUSTIN 	603343,63	627248,83	611369,98
SAN ANTONIO DE ARREDONDO 	581718,29	604766,67	589457,96
SAN ANTONIO DE LITIN 	399554,95	415385,8	404870,28
SAN BASILIO 	575813,57	598628	583473,69
SAN CARLOS MINAS 	457332,9	475452,98	463416,85
SAN ESTEBAN 	351210,06	365125,43	355882,25
SAN FRANCISCO 	5986850,43	6224056,65	6066495,22
SAN FRANCISCO DEL CHAÑAR 	580173,13	603160,29	587891,24
SAN JAVIER Y YACANTO 	422097,73	438821,75	427712,95
SAN JOSE 	478292,58	497243,11	484655,37
SAN JOSE DE LA DORMIDA 	770565,82	801096,57	780816,75
SAN JOSE DE LAS SALINAS 	364771,6	379224,29	369624,2
SAN MARCOS SIERRAS 	465079,39	483506,4	471266,4
SAN MARCOS SUD 	564793,96	587171,77	572307,48
SAN PEDRO 	731705,74	760696,8	741439,71
SAN PEDRO NORTE 	382316,76	397464,61	387402,76
SANTA CATALINA 	620712,89	645306,28	628970,31
SANTA EUFEMIA 	505177,68	525193,43	511898,12
SANTA MARIA 	1015432,31	1055664,96	1028940,73
SANTA ROSA DE CALAMUCHITA 	1378662,2	1433286,46	1397002,71
SANTA ROSA DE RIO PRIMERO 	1048615,31	1090162,72	1062565,17
SANTIAGO TEMPLE 	522912,53	543630,95	529868,9
SARMIENTO 	410474,54	426738,04	415935,13
SEBASTIAN EL CANO 	529358,74	550332,58	536400,87
SEEBER 	348654,34	362468,45	353292,53
SERRANO 	577420,81	600298,92	585102,31
SERREZUELA 	540823,28	562251,35	548017,92
SILVIO PELLICO 	315064,35	327547,58	319255,69
SINSACATE 	409191,51	425404,17	414635,03
TANCACHA 	777232,78	808027,68	787573,4
TANTI 	796312,74	827863,61	806906,19
TICINO 	478985,84	497963,83	485357,84
TIO PUJIO 	529548,44	550529,79	536593,09
TOLEDO 	634660,72	659806,74	643103,68
TOSQUITA 	321227,75	333955,18	325501,08
TRANSITO 	561531,19	583779,73	569001,3
UCACHA 	759808,34	789912,86	769916,16
UNQUILLO 	1782349,07	1852967,89	1806059,88
VALLE HERMOSO 	808053,2	840069,24	818802,83
VIAMONTE 	443326,44	460891,57	449224,06
VICUÑA MACKENNA 	1208366,93	1256243,89	1224442,99
VILLA ALLENDE 	2685822,81	2792239,35	2721553,63
VILLA ASCASUBI 	493406,18	512955,53	499970,02
VILLA CARLOS PAZ 	5188395,84	5393966,34	5257418,7
VILLA CONCEPCION DEL TIO 	440912,12	458381,59	446777,63
VILLA CURA BROCHERO 	816141,15	848477,64	826998,37
VILLA DE LAS ROSAS 	633288,01	658379,64	641712,71
VILLA DE MARIA 	775956,64	806700,98	786279,28
VILLA DE SOTO 	1091838,41	1135098,36	1106363,27
VILLA DEL DIQUE 	565738,99	588154,25	573265,08
VILLA DEL ROSARIO 	1636179,69	1701007,1	1657945,98
VILLA DEL TOTORAL 	1101781,93	1145435,86	1116439,07
VILLA DOLORES 	3022415,93	3142167,7	3062623,5
VILLA FONTANA 	368810,4	383423,11	373716,73
VILLA GIARDINO 	705275,91	733219,79	714659,28
VILLA GRAL. BELGRANO 	967794,47	1006139,66	980670,16
VILLA HUIDOBRO 	833603,53	866631,9	844693,06
VILLA MARIA 	7325583,35	7615831,79	7423036,47
VILLA NUEVA 	1968161,48	2046143,4	1994345,17
VILLA PQUE.SANTA ANA 	508950,9	529116,15	515721,54
VILLA ROSSI 	327818,82	340807,4	332179,84
VILLA RUMIPAL 	516528,4	536993,87	523399,84
VILLA SANTA CRUZ DEL LAGO 	467376,44	485894,46	473594,01
VILLA SARMIENTO 	746646,88	776229,93	756579,62
VILLA TULUMBA 	453683,84	471659,34	459719,25
VILLA VALERIA 	561700,19	583955,43	569172,55
VILLA YACANTO 	424494,8	441313,79	430141,9
WENCESLAO ESCALANTE 	417210,47	433740,85	422760,67
YCHO CRUZ 	458246,89	476403,18	464343
