DEPARTAMENTO MUNICIPIOS  	a	s	d
ACHIRAS 	284907	372596	369499
ADELIA MARIA 	525305	686982	681273
AGUA DE ORO 	257190	336347	333552
ALCIRA 	453799	593468	588536
ALEJANDRO 	429347	561491	556824
ALEJO LEDESMA 	326341	426782	423235
ALICIA 	323396	422930	419415
ALMAFUERTE 	713728	933398	925640
ALPA CORRAL 	200536	262257	260077
ALTA GRACIA 	2560905	3349095	3321261
ALTO ALEGRE 	206737	270366	268120
ALTOS DE CHIPION 	248917	325528	322823
ANISACATE 	313057	409409	406007
ARIAS 	525085	686695	680988
ARROYITO 	1288326	1684845	1670843
ARROYO ALGODON 	192786	252121	250026
ARROYO CABRAL 	306509	400845	397514
AUSONIA 	208558	272748	270481
BALLESTEROS 	354066	463040	459192
BALLESTEROS SUR 	186116	243398	241376
BALNEARIA 	478695	626026	620823
BELL VILLE 	1870087	2445658	2425334
BENGOLEA 	203362	265952	263742
BENJAMIN GOULD 	193264	252747	250646
BERROTARAN 	495281	647717	642334
BIALET MASSE 	424571	555245	550631
BOWER 	261383	341831	338990
BRINCKMAN 	682000	891905	884494
BUCHARDO 	258376	337899	335092
BULNES 	210882	275787	273495
CALCHIN 	268478	351109	348191
CALCHIN OESTE 	197714	258566	256417
CAMILO ALDAO 	417568	546086	541547
CANALS 	618127	808373	801655
CAÑADA DE LUQUE 	222899	291502	289080
CAP. GRAL. B. O'HIGGINS 	179238	234403	232455
CAPILLA DEL CARMEN 	174612	228354	226456
CAPILLA DEL MONTE 	661676	865325	858135
CARNERILLO 	259910	339904	337079
CARRILOBO 	245578	321162	318493
CAVANAGH 	219682	287295	284907
CHAJAN 	193756	253390	251284
CHARRAS 	210109	274776	272492
CHAZON 	211212	276219	273923
CHILIBROSTE 	185910	243129	241108
CINTRA 	225455	294845	292394
COLAZO 	235058	307404	304850
COLONIA ALMADA 	181325	237133	235162
COLONIA BISMARCK 	176705	231091	229171
COLONIA CAROYA 	1118256	1462429	1450276
