M U N I C I P I O 	TOTAL JULIO 	Total - AGOSTO 	Total - SETIEMBRE 
ONCATIVO 	455387	441078	443886
ORDOÑEZ 	165984	160769	161793
PAMPAYASTA SUD 	124615	120699	121468
PASCANAS 	171707	166311	167370
PASCO 	124003	120106	120871
PILAR 	482918	467744	470722
PIQUILLIN 	131838	127695	128508
PORTEÑA 	254416	246422	247991
POZO DEL MOLLE 	256976	248901	250486
PUEBLO ITALIANO 	137809	133479	134329
QUEBRACHO HERRADO 	100246	97096	97715
QUILINO 	247745	239960	241488
REDUCCION 	136405	132119	132960
RIO CEBALLOS 	616797	597416	601220
RIO CUARTO 	4632530	4486971	4515535
RIO DE LOS SAUCES 	126624	122645	123426
RIO PRIMERO 	318519	308511	310475
RIO SEGUNDO 	654839	634263	638301
RIO TERCERO 	1409633	1365341	1374033
ROSALES 	106341	103000	103655
SACANTA 	178271	172670	173769
SAIRA 	113273	109714	110412
SALDAN 	379244	367328	369666
SALSACATE 	157332	152388	153358
SALSIPUEDES 	339731	329056	331151
SAMPACHO 	318489	308481	310445
SAN AGUSTIN 	191053	185050	186228
SAN ANTONIO DE ARREDONDO 	186072	180225	181372
SAN ANTONIO DE LITIN 	127860	123842	124631
SAN BASILIO 	185858	180019	181165
SAN CARLOS MINAS 	140481	136067	136933
SAN ESTEBAN 	112457	108924	109617
SAN FRANCISCO 	1919055	1858757	1870590
SAN FRANCISCO DEL CHAÑAR 	188331	182413	183575
SAN JAVIER Y YACANTO 	135526	131268	132103
SAN JOSE 	153241	148426	149371
SAN JOSE DE LA DORMIDA 	239322	231802	233278
SAN MARCOS SIERRAS 	148937	144257	145176
SAN MARCOS SUD 	180629	174953	176067
SAN PEDRO 	229612	222397	223813
SAN PEDRO NORTE 	121014	117211	117957
SANTA CATALINA 	199116	192859	194087
SANTA EUFEMIA 	162473	157368	158370
SANTA MARIA 	325297	315076	317082
SANTA ROSA DE CALAMUCHITA 	430512	416985	419639
SANTA ROSA DE RIO PRIMERO 	334598	324084	326147
