DEPARTAMENTO 	2012 JUL	2012 AGO	2012 SET
VILLA DE POCHO 	51208	54764	53214
VILLA DEL PRADO 	106414	113803	110582
VILLA EL CHACAY 	36407	38935	37833
VILLA ELISA 	27390	29292	28463
VILLA GUTIERREZ 	46362	49582	48179
VILLA LA BOLSA 	75600	80850	78562
VILLA LOS AROMOS 	74053	79196	76954
VILLA LOS PATOS 	26824	28686	27874
VILLA PARQUE SIQUIMAN 	99320	106217	103211
VILLA QUILLINZO 	31352	33529	32581
VILLA SAN ESTEBAN 	30151	32244	31332
VILLA SAN ISIDRO 	91483	97835	95067
VILLA SARMIENTO 	50660	54178	52645
WASHINGTON 	57948	61971	60218
