COMUNAS 	2011 OCT	2011 NOV	2011 DIC
ALDEA SANTA MARIA 	30430,82	33923,13	32836,83
ALTO DE LOS QUEBRACHOS 	29500,78	32886,36	31833,26
AMBOY 	33284,61	37104,43	35916,25
AMBUL 	69363,14	77323,42	74847,33
ANA ZUMARAN 	31673,82	35308,78	34178,11
ARROYO LOS PATOS 	54995,42	61306,83	59343,62
ASSUNTA 	25975,08	28956,05	28028,8
ATAHONA 	33802,78	37682,07	36475,39
AVELLANEDA 	44344,42	49433,49	47850,5
BAÑADO DE SOTO 	62958	70183,2	67935,76
CABALANGO 	31760,67	35405,6	34271,82
CALMAYO 	27496,47	30652,03	29670,47
CAMINIAGA 	38828,08	43284,08	41898,01
CANDELARIA SUD 	36388,72	40565,78	39267,79
CAÑADA DE MACHADO 	33532,73	37381,03	36183,99
CAÑADA DE RIO PINTO 	32805,41	36570,24	35399,16
CAÑADA DEL SAUCE 	26613,58	29667,82	28717,78
CAPILLA DE LOS REMEDIOS 	73180,02	81578,33	78965,98
CAPILLA DE SITON 	45914,86	51184,15	49545,1
CASA GRANDE 	49682,21	55383,74	53610,25
CERRO COLORADO 	42888,32	47810,28	46279,27
CHALACEA 	33694,8	37561,7	36358,88
CHANCANI 	55471,26	61837,27	59857,09
CHAÑAR VIEJO 	33009,01	36797,2	35618,86
CHARBONIER 	46884,15	52264,69	50591,04
CHUCUL 	38992,2	43467,03	42075,11
CHUÑA 	52249,9	58246,22	56381,03
CHUÑA HUASI 	35835,17	39947,69	38668,47
CHURQUI CAÑADA 	32149,81	35839,4	34691,73
CIENAGA DEL CORO 	59386,24	66201,55	64081,6
COLONIA ANITA 	22619,43	25215,29	24407,83
COLONIA BARGE 	30902,35	34448,77	33345,64
COLONIA BREMEN 	27724,54	30905,15	29915,49
COLONIA ITURRASPE 	23278,61	25950,12	25119,13
COLONIA LAS CUATRO ESQUINAS 	29859,65	33286,42	32220,5
COLONIA LAS PICHANAS 	35448,22	39516,34	38250,93
COLONIA SAN PEDRO 	28349,24	31602,66	30590,66
COLONIA VALTELINA 	31746,63	35389,95	34256,68
COLONIA VICENTE AGUERO 	38875,38	43336,81	41949,05
COLONIA VIDELA 	25437,62	28356,9	27448,84
COMECHINGONES 	41418,98	46172,32	44693,77
CONLARA 	43418,91	48401,77	46851,82
COPACABANA 	30546,69	34052,3	32961,86
CRUZ DE CAÑA 	37585,08	41898,43	40556,73
CUESTA BLANCA 	39346,1	43861,55	42456,99
DIEGO DE ROJAS 	51249,75	57131,29	55301,8
DIQUE CHICO 	34114,64	38029,72	36811,91
EL CHACHO 	40729,39	45403,59	43949,65
EL CRISPIN 	32398,44	36116,56	34960,01
EL MANZANO 	81741,76	91122,64	88204,66
EL RASTREADOR 	26426,94	29459,76	28516,39
EL RODEO 	40947,97	45647,26	44185,51
ESQUINA 	39042,27	43522,86	42129,14
ESTANCIA DE GUADALUPE 	50078,76	55825,92	54038,23
ESTANCIA VIEJA 	55654,75	62041,82	60056,09
EUFRASIO LOZA 	38380,31	42784,92	41414,84
FALDA DEL CARMEN 	71286,53	79467,54	76922,79
GENERAL FOTHERINGHAM 	39963,47	44549,77	43123,17
GUANACO MUERTO 	55896,44	62311,25	60315,88
GUASAPAMPA 	43408,46	48390,11	46840,54
GUTEMBERG 	61844,68	68942,12	66734,42
IMPIRA 	29755,77	33170,61	32108,41
KILOMETRO 658 	40662,79	45329,35	43877,78
LA BATEA 	33153,32	36958,07	35774,58
"LA CAROLINA ""EL POTOSI"" "	30668,56	34188,15	33093,36
LA CUMBRECITA 	64383,68	71772,51	69475,17
LA HIGUERA 	46584,13	51930,23	50267,3
LA PAISANITA 	27760,89	30946,79	29955,8
LA PAMPA 	59125,11	65910,45	63799,83
LA PLAYA 	40346,68	44976,96	43536,69
LA POBLACION 	46791,67	52161,6	50491,25
LA POSTA 	35963,46	40090,72	38806,91
LA QUINTA 	33532,73	37381,03	36183,99
LA RANCHERITA 	27961,05	31169,92	30171,78
LA RINCONADA 	49123,06	54760,54	53006,96
LA SERRANITA 	42019,32	46841,56	45341,57
LAS ALBAHACAS 	45553,13	50780,92	49154,78
LAS BAJADAS 	31126,34	34698,47	33587,34
LAS CALERAS 	36620,17	40822,78	39515,53
