DEPARTAMENTO 	2013 OCT	2013 NOV	2013 DIC
PUESTO DE CASTRO 	49885,53	51862,05	50549,16
PUNTA DEL AGUA 	52556,99	54639,37	53256,17
RAFAEL GARCIA 	84435,05	87780,47	85558,3
RANQUELES 	44649,27	46418,33	45243,25
RAYO CORTADO 	106748,82	110978,34	108168,92
RINCON 	90192,38	93765,91	91392,22
RIO BAMBA 	50069,59	52053,41	50735,67
ROSARIO DEL SALADILLO 	69815,62	72581,8	70744,39
SAGRADA FAMILIA 	45567,27	47372,7	46173,46
SALADILLO 	54333,35	56486,1	55056,15
SAN CLEMENTE 	52768,31	54859,05	53470,29
SAN GERONIMO 	87885,57	91367,7	89054,72
SAN IGNACIO 	64041,58	66578,99	64893,53
SAN JOAQUIN 	50250,05	52241,02	50918,53
SAN LORENZO 	129783,68	134925,87	131510,21
SAN ROQUE 	122110,28	126948,44	123734,73
SAN VICENTE 	191514,85	199102,9	194062,59
SANTA ELENA 	68177,19	70878,45	69084,16
SAUCE ARRIBA 	112171,71	116616,09	113663,94
SEGUNDA USINA 	48345,04	50260,53	48988,18
SIMBOLAR 	73695,96	76615,88	74676,35
SUCO 	64855,34	67424,98	65718,11
TALA CAÑADA 	84300,09	87640,16	85421,54
TALA HUASI 	49590,8	51555,64	50251,51
TALAINI 	59787,59	62156,45	60582,95
TINOCO 	77872,44	80957,84	78908,39
TORO PUJIO 	67586,06	70263,9	68485,16
TOSNO 	65252,38	67837,76	66120,44
TUCLAME 	104957,56	109116,11	106353,83
VALLE DE ANISACATE 	70185,03	72965,85	71118,71
VILLA AMANCAY 	79565,76	82718,25	80624,24
VILLA C.PAR. LOS REARTES 	110700,11	115086,18	112173,77
VILLA CANDELARIA NORTE 	97304,73	101160,06	98599,18
VILLA CERRO AZUL 	56698,39	58944,85	57452,65
VILLA CIUDAD DE AMERICA 	107657,44	111922,95	109089,62
VILLA DE POCHO 	75722,83	78723,06	76730,18
VILLA DEL PRADO 	157356,59	163591,24	159449,92
VILLA EL CHACAY 	53836,17	55969,23	54552,36
VILLA ELISA 	40501,97	42106,71	41040,77
VILLA GUTIERREZ 	68557,27	71273,59	69469,29
VILLA LA BOLSA 	111791,63	116220,95	113278,81
VILLA LOS AROMOS 	109504,61	113843,31	110962,36
VILLA LOS PATOS 	39664,82	41236,39	40192,49
VILLA PARQUE SIQUIMAN 	146866,86	152685,9	148820,65
VILLA QUILLINZO 	46361,49	48198,38	46978,24
VILLA SAN ESTEBAN 	44584,36	46350,85	45177,48
VILLA SAN ISIDRO 	135277,77	140637,64	137077,39
VILLA SARMIENTO 	74912,42	77880,54	75908,98
WASHINGTON 	85688,52	89083,6	86828,44
