COMUNAS 	2010 ABR	2010 MAY	2010 JUN
VILLA CIUDAD DE AMERICA 	37136	44526	46607
VILLA DE POCHO 	26843	32185	33690
VILLA DEL PRADO 	54625	65495	68556
VILLA EL CHACAY 	19090	22889	23959
VILLA ELISA 	14562	17459	18276
VILLA GUTIERREZ 	24256	29082	30442
VILLA LA BOLSA 	38830	46558	48734
VILLA LOS AROMOS 	38649	46340	48506
VILLA LOS PATOS 	14173	16993	17788
VILLA PARQUE SIQUIMAN 	51283	61488	64363
VILLA QUILLINZO 	16406	19670	20590
VILLA SAN ESTEBAN 	15759	18895	19779
VILLA SAN ISIDRO 	47393	56824	59481
VILLA SARMIENTO 	26320	31557	33032
WASHINGTON 	30289	36316	38014
YCHO CRUZ 	68763	82446	86300
