405	Los Zorros	723
406	Lozada	1119
407	Luca	546
408	Lucio V. Mansilla	860
409	Luque	6037
410	Lutti	219
411	Luyaba	1587
412	Malagueño	12706
413	Malena	308
414	Malvinas Argentinas	12568
415	Manfredi	936
416	Maquinista Gallini	140
417	Marcos Juárez	26662
418	Marull	1773
419	Matorrales	1024
420	Mattaldi	1883
421	Mayu Sumaj	1115
422	Media Naranja	1104
423	Melo	1244
424	Mendiolaza	8161
425	Mi Granja	1212
426	Mina Clavero	9328
427	Miramar	2190
428	Monte Buey	6428
429	Monte Cristo	10014
430	Monte de Los Gauchos	742
431	Monte Leña	491
432	Monte Maíz	7476
433	Monte Ralo	546
434	Morrison	3290
435	Morteros	16724
436	Nicolás Bruzzone	239
437	Noetinger	4963
438	Nono	2150
439	Obispo Trejo	2529
440	Olaeta	608
441	Oliva	12647
442	Olivares de San Nicolás	790
443	Onagoyti	95
444	Oncativo	12659
445	Ordóñez	2650
446	Pacheco de Melo	72
447	Pampayasta Norte	95
448	Pampayasta Sud	1219
449	Panaholma	617
450	Pascanas	2799
451	Pasco	1176
452	Paso del Durazno	164
453	Paso Viejo	1250
454	Pilar	13622
455	Pincén	336
456	Piquillín	1348
457	Plaza de Mercedes	89
458	Plaza Luxardo	218
459	Porteña	5519
460	Potrero de Garay	954
461	Pozo del Molle	5806
462	Pozo Nuevo	607
463	Pueblo Italiano	1639
464	Puesto de Castro	117
465	Punta del Agua	168
466	Quebracho Herrado	350
467	Quilino	5528
468	Rafael García	525
469	Ranqueles	71
470	Rayo Cortado	689
471	Reducción	1581
472	Rincón	602
473	Río Bamba	131
474	Río Ceballos	19133
475	Río Cuarto	158256
476	Río de Los Sauces	1312
477	Río Primero	7247
478	Río Segundo	19523
479	Río Tercero	46242
480	Rosales	546
481	Rosario del Saladillo	304
482	Sacanta	2973
483	Sagrada Familia	77
484	Saira	808
485	Saladillo	186
486	Saldán	10432
487	Salsacate	1863
488	Salsipuedes	9003
489	Sampacho	7855
490	San Agustín	3598
491	San Antonio de Arredondo	3474
492	San Antonio de Litín	1304
493	San Basilio	3298
494	San Carlos Minas	1780
495	San Clemente	165
496	San Esteban	823
497	San Francisco	61368
498	San Francisco del Chañar	2956
499	San Gerónimo	448
500	San Ignacio	299
501	San Javier Yacanto	1635
502	San Joaquín	133
503	San José	2280
504	San José de La Dormida	4533
505	San José de Las Salinas	786
506	San Lorenzo	1029
507	San Marcos Sierras	2076
508	San Marcos Sud	3101
509	San Pedro	4872
510	San Pedro Norte	948
511	San Roque	1006
512	San Vicente	1723
513	Santa Catalina	3798
514	Santa Elena	301
515	Santa Eufemia	2449
516	Santa María	8462
517	Santa Rosa de Calamuchita	12216
518	Santa Rosa de Río Primero	7762
519	Santiago Temple	2703
520	Sarmiento	1359
521	Saturnino María Laspiur	2413
522	Sauce Arriba	831
523	Sebastián Elcano	2408
524	Seeber	742
525	Segunda Usina	117
526	Serrano	3165
527	Serrezuela	2924
528	Silvio Pellico	388
529	Simbolar	383
530	Sinsacate	1342
531	Suco	309
532	Tala Cañada	410
533	Tala Huasi	136
534	Talaini	224
535	Tancacha	5603
536	Tanti	5942
537	Ticino	2184
538	Tinoco	463
539	Tío Pujio	2738
540	Toledo	3869
541	Toro Pujio	329
542	Tosno	285
543	Tosquita	463
544	Tránsito	3031
545	Tuclame	779
546	Ucacha	5214
547	Unquillo	17183
548	Valle de Anisacate	363
549	Valle Hermoso	6077
550	Viamonte	1780
551	Vicuña Mackenna	10342
552	Villa Allende	27514
553	Villa Amancay	479
554	Villa Ascasubi	2407
555	Villa Candelaria Norte	594
556	Villa Carlos Paz	56454
557	Villa Cerro Azul	220
558	Villa Ciudad de América	789
559	Villa Ciudad Parque Los Reartes	840
560	Villa Concepción del Tío	1734
561	Villa Cura Brochero	5782
562	Villa de Las Rosas	4059
563	Villa de María	4786
564	Villa de Pocho	323
565	Villa de Soto	9093
566	Villa del Dique	3180
567	Villa del Prado	1354
568	Villa del Rosario	15073
569	Villa del Totoral	8517
570	Villa Dolores	31481
571	Villa El Chacay	181
572	Villa Elisa	26
574	Villa Fontana	900
575	Villa General Belgrano	7649
576	Villa Giardino	4895
577	Villa Gutiérrez	351
578	Villa Huidobro	5896
579	Villa La Bolsa	836
580	Villa Los Aromos	810
581	Villa Los Patos	16
582	Villa María	77198
583	Villa Nueva	18500
584	Villa Parque Santa Ana	2499
585	Villa Parque Siquiman	1303
586	Villa Quillinzo	94
587	Villa Rossi	512
588	Villa Rumipal	2633
589	Villa San Esteban	71
590	Villa San Isidro	1103
591	Villa Santa Cruz del Lago	2159
592	Villa Sarmiento GR	5033
593	Villa Sarmiento SA	407
594	Villa Tulumba	1607
595	Villa Valeria	3002
596	Villa Yacanto	1610
597	Washington	551
598	Wenceslao Escalante	1496
599	Villa Río Icho Cruz	2054
