M U N I C I P I O 	2009 ABR	2009 MAY	2009 JUN
ONCATIVO 	413380	445159	472289
ORDOÑEZ 	150673	162256	172145
PAMPAYASTA SUD 	113120	121816	129240
PASCANAS 	155868	167850	178080
PASCO 	112564	121218	128605
PILAR 	438372	472072	500842
PIQUILLIN 	119677	128877	136731
PORTEÑA 	230948	248702	263859
POZO DEL MOLLE 	233271	251204	266514
PUEBLO ITALIANO 	125097	134714	142924
QUEBRACHO HERRADO 	90999	97995	103967
QUILINO 	224892	242181	256940
REDUCCION 	123822	133341	141469
RIO CEBALLOS 	559901	602944	639690
RIO CUARTO 	4205207	4528483	4804473
RIO DE LOS SAUCES 	114943	123780	131323
RIO PRIMERO 	289138	311365	330342
RIO SEGUNDO 	594435	640131	679144
RIO TERCERO 	1279603	1377974	1461955
ROSALES 	96532	103952	110288
SACANTA 	161827	174267	184888
SAIRA 	102824	110729	117477
SALDAN 	344261	370727	393321
SALSACATE 	142819	153798	163171
SALSIPUEDES 	308393	332100	352340
SAMPACHO 	289110	311335	330310
SAN AGUSTIN 	173429	186762	198144
SAN ANTONIO DE ARREDONDO 	168908	181892	192978
SAN ANTONIO DE LITIN 	116066	124988	132606
SAN BASILIO 	168714	181684	192757
SAN CARLOS MINAS 	127522	137326	145695
SAN ESTEBAN 	102084	109932	116631
SAN FRANCISCO 	1742035	1875954	1990285
SAN FRANCISCO DEL CHAÑAR 	170959	184101	195321
SAN JAVIER Y YACANTO 	123024	132482	140556
SAN JOSE 	139106	149800	158929
SAN JOSE DE LA DORMIDA 	217246	233947	248204
SAN MARCOS SIERRAS 	135199	145592	154465
SAN MARCOS SUD 	163967	176572	187333
SAN PEDRO 	208431	224455	238134
SAN PEDRO NORTE 	109851	118296	125505
SANTA CATALINA 	180748	194644	206506
SANTA EUFEMIA 	147486	158824	168504
SANTA MARIA 	295291	317991	337371
SANTA ROSA DE CALAMUCHITA 	390800	420843	446491
SANTA ROSA DE RIO PRIMERO 	303733	327083	347017
SANTIAGO TEMPLE 	152266	163970	173963
SARMIENTO 	120041	129269	137147
SEBASTIAN EL CANO 	151984	163668	173643
SEEBER 	101624	109436	116106
SERRANO 	167538	180417	191413
SERREZUELA 	157145	169225	179539
SILVIO PELLICO 	92165	99251	105299
SINSACATE 	119870	129085	136952
TANCACHA 	226449	243858	258720
TANTI 	229991	247672	262766
TICINO 	139895	150649	159831
TIO PUJIO 	152263	163968	173961
TOLEDO 	183845	197978	210044
TOSQUITA 	93731	100937	107089
TRANSITO 	163589	176165	186901
UCACHA 	221215	238221	252740
UNQUILLO 	522619	562795	597095
VALLE HERMOSO 	232429	250297	265552
VIAMONTE 	127868	137697	146089
VICUÑA MACKENNA 	356899	384336	407759
VILLA ALLENDE 	767661	826675	877058
VILLA ASCASUBI 	143794	154849	164286
VILLA CARLOS PAZ 	1528466	1645967	1746282
VILLA CONCEPCION DEL TIO 	128650	138540	146983
VILLA CURA BROCHERO 	230984	248741	263900
VILLA DE LAS ROSAS 	182828	196883	208882
VILLA DE MARIA 	223228	240389	255039
VILLA DE SOTO 	316079	340377	361122
VILLA DEL DIQUE 	162106	174568	185207
VILLA DEL ROSARIO 	474090	510536	541651
VILLA DEL TOTORAL 	323934	348837	370097
VILLA DOLORES 	873982	941169	998529
VILLA FONTANA 	107203	115446	122480
VILLA GIARDINO 	208149	224151	237812
VILLA GRAL. BELGRANO 	280335	301885	320285
