M U N I C I P I O 	ENERO 	Febrero 	Marzo 
OLAETA 	168433	166921	161969
OLIVA 	701605	695305	681611
ONCATIVO 	711755	705363	685321
ORDOÑEZ 	259428	257099	258887
PAMPAYASTA SUD 	194769	193020	186974
PASCANAS 	268372	265962	261379
PASCO 	193812	192072	187514
PILAR 	754785	748007	728062
PIQUILLIN 	206058	204208	201966
PORTEÑA 	397644	394073	383154
POZO DEL MOLLE 	401644	398038	388906
PUEBLO ITALIANO 	215391	213457	208818
QUEBRACHO HERRADO 	156682	155275	150636
QUILINO 	387217	383740	381051
REDUCCION 	213196	211282	205609
RIO CEBALLOS 	964032	955376	974200
RIO CUARTO 	7240487	7175469	7055719
RIO DE LOS SAUCES 	197908	196131	195216
RIO PRIMERO 	497835	493365	486946
RIO SEGUNDO 	1023490	1014299	979962
RIO TERCERO 	2203209	2183424	2112507
ROSALES 	166207	164715	159553
SACANTA 	278632	276130	269272
SAIRA 	177042	175452	169825
SALDAN 	592746	587423	569576
SALSACATE 	245904	243696	258692
SALSIPUEDES 	530987	526219	523761
SAMPACHO 	497787	493317	468430
SAN AGUSTIN 	298609	295928	299444
SAN ANTONIO DE ARREDONDO 	290824	288212	282903
SAN ANTONIO DE LITIN 	199841	198046	194138
SAN BASILIO 	290490	287882	274817
SAN CARLOS MINAS 	219567	217595	240473
SAN ESTEBAN 	175767	174189	170436
SAN FRANCISCO 	2999419	2972485	2898881
SAN FRANCISCO DEL CHAÑAR 	294355	291712	273582
SAN JAVIER Y YACANTO 	211822	209920	203684
SAN JOSE 	239511	237360	231820
SAN JOSE DE LA DORMIDA 	374052	370693	397011
SAN JOSE DE LAS SALINAS 	175711	174133	190643
SAN MARCOS SIERRAS 	232784	230693	225637
SAN MARCOS SUD 	282316	279781	274764
SAN PEDRO 	358875	355653	369648
SAN PEDRO NORTE 	189140	187442	189901
SANTA CATALINA 	311211	308416	300090
SANTA EUFEMIA 	253941	251660	242927
SANTA MARIA 	508429	503863	492285
SANTA ROSA DE CALAMUCHITA 	672876	666833	703070
SANTA ROSA DE RIO PRIMERO 	522965	518269	512511
SANTIAGO TEMPLE 	262168	259813	252824
SARMIENTO 	206685	204829	196690
SEBASTIAN EL CANO 	261685	259335	263336
SEEBER 	174975	173404	168225
SERRANO 	288465	285875	281230
SERREZUELA 	270570	268140	262633
SILVIO PELLICO 	158689	157264	150880
SINSACATE 	206391	204538	195374
TANCACHA 	389898	386397	375340
TANTI 	395997	392441	391467
TICINO 	240870	238707	230142
TIO PUJIO 	262164	259810	262663
TOLEDO 	316542	313700	310141
TOSQUITA 	161386	159937	154644
TRANSITO 	281665	279136	271225
UCACHA 	380886	377466	367465
UNQUILLO 	899840	891760	849326
VALLE HERMOSO 	400195	396601	400505
VIAMONTE 	220161	218184	218536
VICUÑA MACKENNA 	614506	608988	566957
VILLA ALLENDE 	1321752	1309883	1347979
VILLA ASCASUBI 	247584	245361	238141
VILLA CARLOS PAZ 	2631701	2608067	2447938
VILLA CONCEPCION DEL TIO 	221508	219519	212278
VILLA CURA BROCHERO 	397706	394135	417445
VILLA DE LAS ROSAS 	314792	311965	311592
VILLA DE MARIA 	384352	380901	384491
VILLA DE SOTO 	544221	539334	534233
VILLA DEL DIQUE 	279113	276607	282542
VILLA DEL ROSARIO 	816284	808954	799108
VILLA DEL TOTORAL 	557747	552739	522036
VILLA DOLORES 	1504813	1491301	1482233
VILLA FONTANA 	184582	182924	178964
