DEPARTAMENTO 	2014 ENE	2014 FEB	2014 MAR
ALDEA SANTA MARIA 	63889	67995,39	57199,39
ALTO DE LOS QUEBRACHOS 	61936,4	65917,29	55451,24
AMBOY 	69880,49	74371,97	62563,52
AMBUL 	145626,76	154986,75	130378,65
ANA ZUMARAN 	66498,66	70772,78	59535,8
ARROYO LOS PATOS 	115461,97	122883,15	103372,31
ASSUNTA 	54534,25	58039,38	48824,15
ATAHONA 	70968,37	75529,78	63537,5
AVELLANEDA 	93100,36	99084,28	83352,12
BAÑADO DE SOTO 	132179,26	140674,92	118339,19
CABALANGO 	66681	70966,84	59699,04
CALMAYO 	57728,37	61438,8	51683,82
CAMINIAGA 	81518,9	86758,43	72983,31
CANDELARIA SUD 	76397,5	81307,86	68398,16
CAÑADA DE MACHADO 	70401,41	74926,37	63029,9
CAÑADA DE RIO PINTO 	68874,41	73301,23	61662,79
CAÑADA DEL SAUCE 	55874,77	59466,05	50024,3
CAPILLA DE LOS REMEDIOS 	153640,22	163515,27	137553,05
CAPILLA DE SITON 	96397,47	102593,3	86304
CASA GRANDE 	104304,88	111008,95	93384,45
CERRO COLORADO 	90043,3	95830,73	80615,16
CHALACEA 	70741,68	75288,52	63334,54
CHANCANI 	116460,98	123946,38	104266,72
CHAÑAR VIEJO 	69301,86	73756,16	62045,48
CHARBONIER 	98432,49	104759,13	88125,94
CHUCUL 	81863,46	87125,14	73291,8
CHUÑA 	109697,78	116748,48	98211,68
CHUÑA HUASI 	75235,33	80070,99	67357,68
CHURQUI CAÑADA 	67497,98	71836,34	60430,48
CIENAGA DEL CORO 	124680,42	132694,11	111625,53
COLONIA ANITA 	47489,11	50541,42	42516,68
COLONIA BARGE 	64878,96	69048,98	58085,69
COLONIA BREMEN 	58205,09	61946,15	52110,62
COLONIA ITURRASPE 	48873,06	52014,32	43755,72
COLONIA LAS CUATRO ESQUIN	62689,84	66719,16	56125,79
COLONIA LAS PICHANAS 	74422,95	79206,4	66630,36
COLONIA SAN PEDRO 	59518,74	63344,24	53286,73
COLONIA VALTELINA 	66651,53	70935,48	59672,66
COLONIA VICENTE AGUERO 	81618,2	86864,11	73072,22
COLONIA VIDELA 	53405,85	56838,45	47813,9
COMECHINGONES 	86958,46	92547,62	77853,32
CONLARA 	91157,28	97016,31	81612,49
COPACABANA 	64132,27	68254,3	57417,18
CRUZ DE CAÑA 	78909,24	83981,04	70646,9
CUESTA BLANCA 	82606,47	87915,91	73957,01
DIEGO DE ROJAS 	107597,99	114513,73	96331,75
DIQUE CHICO 	71623,13	76226,62	64123,7
EL CHACHO 	85510,66	91006,76	76557,12
EL CRISPIN 	68019,97	72391,88	60897,82
EL MANZANO 	171615,46	182645,84	153646,15
EL RASTREADOR 	55482,93	59049,03	49673,49
EL RODEO 	85969,58	91495,17	76967,98
ESQUINA 	81968,6	87237,04	73385,93
ESTANCIA DE GUADALUPE 	105139,51	111897,23	94130,69
ESTANCIA VIEJA 	116846,22	124356,38	104611,63
EUFRASIO LOZA 	80578,82	85757,93	72141,67
FALDA DEL CARMEN 	149664,88	159284,42	133993,95
GENERAL FOTHERINGHAM 	83902,63	89295,37	75117,45
GUANACO MUERTO 	117353,63	124896,4	105065,91
GUASAPAMPA 	91135,33	96992,95	81592,84
GUTEMBERG 	129841,87	138187,31	116246,55
IMPIRA 	62471,74	66487,04	55930,53
KILOMETRO 658 	85370,84	90857,95	76431,93
LA BATEA 	69604,83	74078,6	62316,73
"LA CAROLINA ""EL POTOSI"" "	64388,12	68526,6	57646,25
LA CUMBRECITA 	135172,47	143860,52	121020
LA HIGUERA 	97802,6	104088,75	87562
LA PAISANITA 	58283,52	62029,62	52180,84
LA PAMPA 	124132,18	132110,63	111134,7
LA PLAYA 	84707,18	90151,64	75837,77
LA POBLACION 	98238,34	104552,49	87952,11
LA POSTA 	75504,69	80357,67	67598,84
LA QUINTA 	70401,41	74926,37	63029,9
LA RANCHERITA 	58703,75	62476,87	52557,07
LA RINCONADA 	103133,04	109761,8	92334,31
LA SERRANITA 	88218,86	93889,02	78981,74
LAS ALBAHACAS 	95638,04	101785,06	85624,09
LAS BAJADAS 	65349,23	69549,48	58506,72
LAS CALERAS 	76883,42	81825,02	68833,21
LAS CALLES 	125764,77	133848,16	112596,34
LAS CAÑADAS 	68889,15	73316,91	61675,98
LAS GRAMILLAS 	56679,48	60322,48	50744,75
LAS ISLETILLAS 	74143,46	78908,94	66380,13
LAS PALMAS 	71027,61	75592,83	63590,54
LAS PEÑAS SUD 	63462,93	67541,94	56817,93
LAS PLAYAS 	97620,11	103894,53	87398,62
LAS RABONAS 	123321,79	131248,16	110409,16
LAS SALADAS 	64391,04	68529,7	57648,86
LEGUIZAMON 	54402,72	57899,39	48706,38
LOS CEDROS 	154181,56	164091,4	138037,7
LOS CHAÑARITOS 	72567,81	77232,02	64969,47
LOS CHAÑARITOS (C.D.EJE) 	115680,22	123115,43	103567,71
LOS HORNILLOS 	160970,08	171316,24	144115,42
LOS HOYOS 	76898,93	81841,51	68847,08
LOS MISTOLES 	64684,8	68842,35	57911,87
LOS MOLINOS 	85122,2	90593,33	76209,33
LOS POZOS 	60421,07	64304,56	54094,57
LOS REARTES 	177705,02	189126,8	159099,09
LOS TALARES 	60630,26	64527,2	54281,86
LUTTI 	68232,85	72618,44	61088,41
LUYABA 	203954,79	217063,75	182599,34
MALENA 	77340,49	82311,46	69242,42
MAQUINISTA GALLINI 	61277,96	65216,53	54861,74
MAYU SUMAJ 	156659,99	166729,13	140256,62
MEDIA NARANJA 	158558,72	168749,9	141956,54
MI GRANJA 	167010,53	177744,94	149523,39
NICOLAS BRUZZONE 	71383,85	75971,96	63909,47
OLIVARES DE SAN NICOLAS 	127120,02	135290,51	113809,69
ONAGOITY 	55896,56	59489,25	50043,81
PACHECO DE MELO 	53269,25	56693,07	47691,6
PAMPAYASTA NORTE 	55336,81	58893,52	49542,67
PANAHOLMA 	111213,42	118361,54	99568,62
PASO DEL DURAZNO 	62760,6	66794,46	56189,14
PASO VIEJO 	173486,71	184637,37	155321,47
PINCEN 	81816,19	87074,83	73249,48
PLAZA DE MERCEDES 	55772,24	59356,94	49932,51
PLAZA LUXARDO 	68887,15	73314,79	61674,2
POTRERO DE GARAY 	145883,69	155260,19	130608,68
POZO NUEVO 	116311	123787	104132
PUESTO DE CASTRO 	59567,86	63396,51	53330,7
PUNTA DEL AGUA 	62757,83	66791,52	56186,66
RAFAEL GARCIA 	100823,13	107303,42	90266,26
RANQUELES 	53315,3	56742,08	47732,82
RAYO CORTADO 	127467,81	135660,66	114121,06
RINCON 	107697,91	114620,07	96421,21
RIO BAMBA 	59787,65	63630,43	53527,47
ROSARIO DEL SALADILLO 	83366,21	88724,48	74637,2
SAGRADA FAMILIA 	54411,47	57908,7	48714,22
SALADILLO 	64878,96	69048,98	58085,69
SAN CLEMENTE 	63010,16	67060,06	56412,57
SAN GERONIMO 	104943,36	111688,48	93955,08
SAN IGNACIO 	76471,48	81386,59	68464,39
SAN JOAQUIN 	60003,13	63859,77	53720,4
SAN LORENZO 	154973,53	164934,27	138746,74
SAN ROQUE 	145810,79	155182,61	130543,4
SAN VICENTE 	228686,16	243384,7	204741,16
SANTA ELENA 	81409,77	86642,29	72885,61
SAUCE ARRIBA 	133943,23	142552,27	119918,46
SEGUNDA USINA 	57728,37	61438,8	51683,82
SIMBOLAR 	87999,69	93655,76	78785,52
SUCO 	77443,17	82420,74	69334,35
TALA CAÑADA 	100661,97	107131,91	90121,98
TALA HUASI 	59215,92	63021,96	53015,61
TALAINI 	71391,83	75980,45	63916,62
TINOCO 	92986,79	98963,4	83250,44
TORO PUJIO 	80703,9	85891,05	72253,66
TOSNO 	77917,28	82925,32	69758,81
TUCLAME 	125328,88	133384,25	112206,09
VALLE DE ANISACATE 	83807,32	89193,93	75032,12
VILLA AMANCAY 	95008,76	101115,34	85060,7
VILLA C.PAR. LOS REARTES 	132186,01	140682,11	118345,23
VILLA CANDELARIA NORTE 	116190,7	123658,72	104024,74
VILLA CERRO AZUL 	67703,03	72054,57	60614,07
VILLA CIUDAD DE AMERICA 	128552,78	136815,36	115092,43
VILLA DE POCHO 	90419,95	96231,59	80952,36
VILLA DEL PRADO 	187898,09	199975,02	168223,88
VILLA EL CHACAY 	64285,29	68417,15	57554,18
VILLA ELISA 	48363,04	51471,52	43299,1
VILLA GUTIERREZ 	81863,62	87125,31	73291,94
VILLA LA BOLSA 	133489,38	142069,26	119512,13
VILLA LOS AROMOS 	130758,47	139162,82	117068,17
VILLA LOS PATOS 	47363,41	50407,64	42404,14
VILLA PARQUE SIQUIMAN 	175372,4	186644,25	157009,71
VILLA QUILLINZO 	55359,83	58918,02	49563,28
VILLA SAN ESTEBAN 	53237,79	56659,59	47663,43
VILLA SAN ISIDRO 	161533,97	171916,38	144620,27
VILLA SARMIENTO 	89452,24	95201,68	80086,99
WASHINGTON 	102319,89	108896,38	91606,3
