Nivel,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Inicial,68201,67714,85531,93478,96211,97171,99714,101269,100639,104516,109969,113341,115950
Primario,365357,368976,371116,368857,370407,364191,362467,361642,351320,365922,365125,365874,366424
Primario adulto,6705,6400,6712,7574,8959,9129,9143,8496,9017,8755,8204,8874,8506
Secundario,264579,262073,262199,268141,275367,283476,286239,287390,286823,286888,286097,287827,294799
Secundario adulto,19771,20286,24095,27989,29464,33906,36003,37276,36882,41256,39921,47908,52077
Superior no universitario,33139,36980,42756,46066,51043,56642,60137,60812,62986,62738,62396,64819,68089
Especial,5849,6367,6620,6910,7470,7250,7435,7990,7750,7710,7213,7149,7390
Artistico,,11237,11446,11724,12954,11099,10354,10241,10109,9457,10339,10845,10258
